County,Polish name,County seat,Voivodeship,Area,Gminy,Population,Density (per km2)
Bydgoszcz County,powiat bydgoski,Bydgoszcz,Kuyavian-Pomeranian,"1394,8 km2",8,95.773,67
Bytom,"",city county,Silesian,"69,43 km2",,187.205,2.696
Bytów County,powiat bytowski,Bytów,Pomeranian,"2192,81 km2",10,75.313,34
Chełm,"",city county,Lublin,"35,28 km2",,67.989,1.927
Chełm County,powiat chełmski,Chełm,Lublin,"1779,64 km2",15,79.991,45
Chełmno County,powiat chełmiński,Chełmno,Kuyavian-Pomeranian,"527,62 km2",7,51.425,97
Chodzież County,powiat chodzieski,Chodzież,Greater Poland,"680,58 km2",5,46.967,69
Chojnice County,powiat chojnicki,Chojnice,Pomeranian,"1364,25 km2",5,91.585,67
Chorzów,"",city county,Silesian,"33,5 km2",,114.434,3.415
Choszczno County,powiat choszczeński,Choszczno,West Pomeranian,"1327,95 km2",6,50.066,37
Chrzanów County,powiat chrzanowski,Chrzanów,Lesser Poland,"371,49 km2",5,128.103,345
Ciechanów County,powiat ciechanowski,Ciechanów,Masovian,"1062,62 km2",9,91.05,86
Cieszyn County,powiat cieszyński,Cieszyn,Silesian,"730,2 km2",12,171.029,234
Czarnków-Trzcianka County,powiat czarnkowsko-trzcianecki,Czarnków,Greater Poland,"1808,19 km2",8,86.134,47
Częstochowa,"",city county,Silesian,160 km2,,246.129,1.538
Częstochowa County,powiat częstochowski,Częstochowa,Silesian,"1519,49 km2",16,133.553,88
Człuchów County,powiat człuchowski,Człuchów,Pomeranian,"1574,41 km2",7,56.797,36
Dąbrowa County,powiat dąbrowski,Dąbrowa Tarnowska,Lesser Poland,"530,0 km2",7,58.572,111
Dąbrowa Górnicza,"",city county,Silesian,188 km2,,129.753,690
Dębica County,powiat dębicki,Dębica,Subcarpathian,"776,36 km2",7,132.473,171
Drawsko County,powiat drawski,Drawsko Pomorskie,West Pomeranian,"1764,21 km2",6,58.073,33
Działdowo County,powiat działdowski,Działdowo,Warmian-Masurian,"953,18 km2",6,65.11,68
Dzierżoniów County,powiat dzierżoniowski,Dzierżoniów,Lower Silesian,"478,34 km2",7,104.852,219
Elbląg,"",city county,Warmian-Masurian,80 km2,,127.055,1.588
Elbląg County,powiat elbląski,Elbląg,Warmian-Masurian,"1430,55 km2",9,56.412,39
Ełk County,powiat ełcki,Ełk,Warmian-Masurian,"1111,87 km2",5,84.76,76
Garwolin County,powiat garwoliński,Garwolin,Masovian,"1284,29 km2",14,106.227,83
Gdańsk,"",city county,Pomeranian,262 km2,,457.63,1.747
Gdańsk County,powiat gdański,Pruszcz Gdański,Pomeranian,"793,17 km2",8,85.566,108
Gdynia,"",city county,Pomeranian,136 km2,,252.443,1.856
Giżycko County,powiat giżycki,Giżycko,Warmian-Masurian,"1118,74 km2",6,56.863,51
Gliwice,"",city county,Silesian,"134,20 km2",,199.099,1.486
Gliwice County,powiat gliwicki,Gliwice,Silesian,"663,35 km2",8,114.963,173
Głogów County,powiat głogowski,Głogów,Lower Silesian,"443,06 km2",6,87.651,198
Głubczyce County,powiat głubczycki,Głubczyce,Opole,"673,1 km2",4,50.326,75
Gniezno County,powiat gnieźnieński,Gniezno,Greater Poland,"1254,34 km2",10,140.333,112
Gołdap County,powiat gołdapski,Gołdap,Warmian-Masurian,"771,93 km2",3,26.989,35
Goleniów County,powiat goleniowski,Goleniów,West Pomeranian,"1616,99 km2",6,78.738,49
Golub-Dobrzyń County,powiat golubsko-dobrzyński,Golub-Dobrzyń,Kuyavian-Pomeranian,"612,98 km2",6,45.06,74
Góra County,powiat górowski,Góra,Lower Silesian,"738,11 km2",4,36.556,50
Gorlice County,powiat gorlicki,Gorlice,Lesser Poland,"967,36 km2",10,106.54,110
Gorzów County,powiat gorzowski,Gorzów Wielkopolski,Lubusz,"1213,32 km2",7,65.546,54
Gorzów Wielkopolski,"",city county,Lubusz,86 km2,,125.204,1.456
Gostyń County,powiat gostyński,Gostyń,Greater Poland,"810,34 km2",7,75.683,93
Gostynin County,powiat gostyniński,Gostynin,Masovian,"615,56 km2",5,47.034,76
Grajewo County,powiat grajewski,Grajewo,Podlaskie,"967,24 km2",6,50.12,52
Grodzisk Mazowiecki County,powiat grodziski,Grodzisk Mazowiecki,Masovian,"366,87 km2",6,78.208,213
Grodzisk Wielkopolski County,powiat grodziski,Grodzisk Wielkopolski,Greater Poland,"643,72 km2",5,49.444,77
Grójec County,powiat grójecki,Grójec,Masovian,"1268,82 km2",10,96.489,76
Grudziądz,"",city county,Kuyavian-Pomeranian,"57,76 km2",,99.299,1.712
Grudziądz County,powiat grudziądzki,Grudziądz,Kuyavian-Pomeranian,"728,39 km2",6,38.424,53
Gryfice County,powiat gryficki,Gryfice,West Pomeranian,"1018,19 km2",6,60.773,60
Gryfino County,powiat gryfiński,Gryfino,West Pomeranian,"1869,54 km2",9,82.813,44
Hajnówka County,powiat hajnowski,Hajnówka,Podlaskie,"1623,65 km2",9,48.13,30
Hrubieszów County,powiat hrubieszowski,Hrubieszów,Lublin,"1269,45 km2",8,68.822,54
Iława County,powiat iławski,Iława,Warmian-Masurian,1385 km2,7,89.96,65
Inowrocław County,powiat inowrocławski,Inowrocław,Kuyavian-Pomeranian,"1224,94 km2",9,165.237,135
Janów Lubelski County,powiat janowski,Janów Lubelski,Lublin,"875,34 km2",7,47.875,55
Jarocin County,powiat jarociński,Jarocin,Greater Poland,"587,7 km2",4,70.39,120
Jarosław County,powiat jarosławski,Jarosław,Subcarpathian,"1029,15 km2",11,122.368,119
Jasło County,powiat jasielski,Jasło,Subcarpathian,"830,41 km2",10,115.128,139
Jastrzębie-Zdrój,"",city county,Silesian,"85,44 km2",,95.149,1.119
Jawor County,powiat jaworski,Jawor,Lower Silesian,"581,25 km2",6,52.058,90
Jaworzno,"",city county,Silesian,"152,2 km2",,96.051,632
Jędrzejów County,powiat jędrzejowski,Jędrzejów,Świętokrzyskie,"1257,17 km2",9,89.304,71
Jelenia Góra,"",city county,Lower Silesian,"109,22 km2",,86.663,795
Kalisz,"",city county,Greater Poland,70 km2,,108.575,1.552
Kalisz County,powiat kaliski,Kalisz,Greater Poland,"1160,02 km2",11,80.369,69
Kamień County,powiat kamieński,Kamień Pomorski,West Pomeranian,"1006,65 km2",6,47.604,47
Kamienna Góra County,powiat kamiennogórski,Kamienna Góra,Lower Silesian,"396,13 km2",4,46.47,117
Karkonosze County,powiat karkonoski,Jelenia Góra,Lower Silesian,"628,21 km2",9,63.817,102
Kartuzy County,powiat kartuski,Kartuzy,Pomeranian,"1120,04 km2",8,109.311,98
Katowice,"",city county,Silesian,"164,67 km2",,315.996,1.915
Kazimierza County,powiat kazimierski,Kazimierza Wielka,Świętokrzyskie,"422,48 km2",5,35.77,85
Kędzierzyn-Koźle County,powiat kędzierzyńsko-kozielski,Kędzierzyn-Koźle,Opole,"625,28 km2",6,102.118,163
Kępno County,powiat kępiński,Kępno,Greater Poland,"608,39 km2",7,55.335,91
Kętrzyn County,powiat kętrzyński,Kętrzyn,Warmian-Masurian,"1212,97 km2",6,66.165,55
Kielce,"",city county,Świętokrzyskie,"109,65 km2",,207.718,1.888
Kielce County,powiat kielecki,Kielce,Świętokrzyskie,"2247,45 km2",19,198.581,88
Kłobuck County,powiat kłobucki,Kłobuck,Silesian,"889,15 km2",9,84.73,95
Kłodzko County,powiat kłodzki,Kłodzko,Lower Silesian,"1643,37 km2",14,166.447,101
Kluczbork County,powiat kluczborski,Kluczbork,Opole,"851,59 km2",4,70.082,82
Kolbuszowa County,powiat kolbuszowski,Kolbuszowa,Subcarpathian,"773,93 km2",6,61.399,79
Kolno County,powiat kolneński,Kolno,Podlaskie,"939,73 km2",6,39.676,42
Koło County,powiat kolski,Koło,Greater Poland,"1011,03 km2",11,88.601,88
Kołobrzeg County,powiat kołobrzeski,Kołobrzeg,West Pomeranian,"725,86 km2",7,76.089,105
Konin,"",city county,Greater Poland,82 km2,,80.618,983
Konin County,powiat koniński,Konin,Greater Poland,"1578,71 km2",14,123.646,78
Końskie County,powiat konecki,Końskie,Świętokrzyskie,"1139,90 km2",8,84.239,74
Kościan County,powiat kościański,Kościan,Greater Poland,"722,53 km2",5,77.76,108
Kościerzyna County,powiat kościerski,Kościerzyna,Pomeranian,"1165,85 km2",8,66.778,57
Koszalin,"",city county,West Pomeranian,84 km2,,107.783,1.283
Koszalin County,powiat koszaliński,Koszalin,West Pomeranian,"1669,09 km2",8,64.087,38
Kozienice County,powiat kozienicki,Kozienice,Masovian,"916,96 km2",7,61.614,67
Kraków,"",city county,Lesser Poland,327 km2,,756.757,2.314
Kraków County,powiat krakowski,Kraków,Lesser Poland,"1229,62 km2",17,244.97,199
Krapkowice County,powiat krapkowicki,Krapkowice,Opole,"442,35 km2",5,67.926,154
Kraśnik County,powiat kraśnicki,Kraśnik,Lublin,"1005,34 km2",10,99.77,99
Krasnystaw County,powiat krasnostawski,Krasnystaw,Lublin,"1067,18 km2",10,69.274,65
Krosno,"",city county,Subcarpathian,"43,48 km2",,47.693,1.109
Krosno County,powiat krośnieński,Krosno,Subcarpathian,"923,79 km2",9,109.715,118
Krosno Odrzańskie County,powiat krośnieński,Krosno Odrzańskie,Lubusz,1390 km2,7,56.463,41
Krotoszyn County,powiat krotoszyński,Krotoszyn,Greater Poland,"714,23 km2",6,77.092,108
Kutno County,powiat kutnowski,Kutno,Łódź,"886,29 km2",11,104.124,118
Kwidzyn County,powiat kwidzyński,Kwidzyn,Pomeranian,"834,64 km2",6,80.704,97
Łańcut County,powiat łańcucki,Łańcut,Subcarpathian,"451,95 km2",7,77.71,172
Łask County,powiat łaski,Łask,Łódź,"617,38 km2",5,50.874,82
Lębork County,powiat lęborski,Lębork,Pomeranian,"706,99 km2",5,63.659,90
Łęczna County,powiat łęczyński,Łęczna,Lublin,"633,75 km2",6,57.314,91
Łęczyca County,powiat łęczycki,Łęczyca,Łódź,774 km2,8,53.435,69
Legionowo County,powiat legionowski,Legionowo,Masovian,"389,86 km2",5,96.497,247
Legnica,"",city county,Lower Silesian,"56,29 km2",,105.485,1.884
Legnica County,powiat legnicki,Legnica,Lower Silesian,"744,6 km2",8,52.995,71
Lesko County,powiat leski,Lesko,Subcarpathian,"834,86 km2",5,26.613,32
Leszno,"",city county,Greater Poland,"31,9 km2",,64.079,2.002
Leszno County,powiat leszczyński,Leszno,Greater Poland,"804,65 km2",7,50.024,62
Leżajsk County,powiat leżajski,Leżajsk,Subcarpathian,"583,01 km2",5,69.235,119
Lidzbark County,powiat lidzbarski,Lidzbark Warmiński,Warmian-Masurian,"924,42 km2",5,43.006,47
Limanowa County,powiat limanowski,Limanowa,Lesser Poland,"951,96 km2",12,121.658,128
Lipno County,powiat lipnowski,Lipno,Kuyavian-Pomeranian,"1015,6 km2",9,66.216,65
Lipsko County,powiat lipski,Lipsko,Masovian,"747,58 km2",6,36.669,49
Łobez County,powiat łobeski,Łobez,West Pomeranian,"1065,61 km2",5,38.232,36
Łódź,"",city county,Łódź,"293,25 km2",,764.168,2.608
Łódź East County,powiat łódzki wschodni,Łódź,Łódź,"499,32 km2",6,64.574,129
Łomża,"",city county,Podlaskie,"32,72 km2",,63.572,1.926
Łomża County,powiat łomżyński,Łomża,Podlaskie,"1353,93 km2",9,50.887,38
Łosice County,powiat łosicki,Łosice,Masovian,"771,77 km2",6,32.769,42
Łowicz County,powiat łowicki,Łowicz,Łódź,"987,13 km2",10,82.338,83
Lubaczów County,powiat lubaczowski,Lubaczów,Subcarpathian,"1308,37 km2",8,57.12,44
Lubań County,powiat lubański,Lubań,Lower Silesian,"428,19 km2",7,57.061,133
Lubartów County,powiat lubartowski,Lubartów,Lublin,"1290,35 km2",13,90.484,70
Lubin County,powiat lubiński,Lubin,Lower Silesian,"711,99 km2",4,105.582,148
Lublin,"",city county,Lublin,147 km2,,354.272,2.41
Lublin County,powiat lubelski,Lublin,Lublin,"1679,42 km2",16,140.562,84
Lubliniec County,powiat lubliniecki,Lubliniec,Silesian,"822,13 km2",8,76.628,93
Łuków County,powiat łukowski,Łuków,Lublin,"1394,09 km2",11,108.393,78
Lwówek Śląski County,powiat lwówecki,Lwówek Śląski,Lower Silesian,"709,94 km2",5,48.144,68
Maków County,powiat makowski,Maków Mazowiecki,Masovian,1064.56 km2,10,46.474,44
Malbork County,powiat malborski,Malbork,Pomeranian,494.63 km2,6,62.96,127
Miechów County,powiat miechowski,Miechów,Lesser Poland,676.73 km2,7,50.769,75
Międzychód County,powiat międzychodzki,Międzychód,Greater Poland,736.66 km2,4,36.329,49
Międzyrzecz County,powiat międzyrzecki,Międzyrzecz,Lubusz,1387.83 km2,6,58.335,42
Mielec County,powiat mielecki,Mielec,Subcarpathian,880.21 km2,10,133.148,151
Mikołów County,powiat mikołowski,Mikołów,Silesian,231.53 km2,5,91.022,392
Milicz County,powiat milicki,Milicz,Lower Silesian,715.01 km2,3,36.845,51
Mińsk County,powiat miński,Mińsk Mazowiecki,Masovian,1164.35 km2,13,141.048,121
Mława County,powiat mławski,Mława,Masovian,1182.3 km2,10,73.355,62
Mogilno County,powiat mogileński,Mogilno,Kuyavian-Pomeranian,675.86 km2,4,46.875,69
Mońki County,powiat moniecki,Mońki,Podlaskie,1382.39 km2,7,42.96,31
Mrągowo County,powiat mrągowski,Mrągowo,Warmian-Masurian,1065.23 km2,5,50.087,47
Myślenice County,powiat myślenicki,Myślenice,Lesser Poland,673.3 km2,9,116.793,174
Myślibórz County,powiat myśliborski,Myślibórz,West Pomeranian,1181.95 km2,5,67.412,57
Mysłowice,"",city county,Silesian,65.57 km2,,74.988,1.136
Myszków County,powiat myszkowski,Myszków,Silesian,478.62 km2,5,71.619,150
Nakło County,powiat nakielski,Nakło nad Notecią,Kuyavian-Pomeranian,1120.48 km2,5,84.786,76
Namysłów County,powiat namysłowski,Namysłów,Opole,747.67 km2,5,43.957,59
Nidzica County,powiat nidzicki,Nidzica,Warmian-Masurian,960.7 km2,4,33.955,35
Nisko County,powiat niżański,Nisko,Subcarpathian,785.58 km2,7,67.042,85
Nowa Sól County,powiat nowosolski,Nowa Sól,Lubusz,770.58 km2,8,86.773,113
Nowe Miasto County,powiat nowomiejski,Nowe Miasto Lubawskie,Warmian-Masurian,695.01 km2,5,43.388,62
Nowy Dwór County,powiat nowodworski,Nowy Dwór Mazowiecki,Masovian,691.65 km2,6,75.736,109
Nowy Dwór Gdański County,powiat nowodworski,Nowy Dwór Gdański,Pomeranian,652.75 km2,5,35.498,54
Nowy Sącz,"",city county,Lesser Poland,57 km2,,84.594,1.484
Nowy Sącz County,powiat nowosądecki,Nowy Sącz,Lesser Poland,1550.24 km2,16,197.718,128
Nowy Targ County,powiat nowotarski,Nowy Targ,Lesser Poland,1474.66 km2,14,181.878,123
Nowy Tomyśl County,powiat nowotomyski,Nowy Tomyśl,Greater Poland,1011.67 km2,6,71.817,71
Nysa County,powiat nyski,Nysa,Opole,1223.87 km2,9,145.64,119
Oborniki County,powiat obornicki,Oborniki,Greater Poland,712.65 km2,3,55.976,79
Oława County,powiat oławski,Oława,Lower Silesian,523.73 km2,4,71.118,136
Olecko County,powiat olecki,Olecko,Warmian-Masurian,873.83 km2,4,34.215,39
Oleśnica County,powiat oleśnicki,Oleśnica,Lower Silesian,1049.74 km2,8,103.366,98
Olesno County,powiat oleski,Olesno,Opole,973.62 km2,7,68.269,70
Olkusz County,powiat olkuski,Olkusz,Lesser Poland,622.19 km2,6,114.286,184
Olsztyn,"",city county,Warmian-Masurian,88.328 km2,,174.693,1.985
Olsztyn County,powiat olsztyński,Olsztyn,Warmian-Masurian,2840.29 km2,12,113.529,40
Opatów County,powiat opatowski,Opatów,Świętokrzyskie,911.51 km2,8,56.645,62
Opoczno County,powiat opoczyński,Opoczno,Łódź,1038.77 km2,8,78.659,76
Opole,"",city county,Opole,96.2 km2,,128.034,1.334
Opole County,powiat opolski,Opole,Opole,1586.82 km2,13,134.874,85
Opole Lubelskie County,powiat opolski,Opole Lubelskie,Lublin,804.14 km2,7,63.026,78
Ostróda County,powiat ostródzki,Ostróda,Warmian-Masurian,1764.89 km2,9,105.286,60
Ostrołęka,"",city county,Masovian,29.00 km2,,53.758,1.854
Ostrołęka County,powiat ostrołęcki,Ostrołęka,Masovian,2099.32 km2,11,84.344,40
Ostrów Mazowiecka County,powiat ostrowski,Ostrów Mazowiecka,Masovian,1218.06 km2,11,75.073,62
Ostrów Wielkopolski County,powiat ostrowski,Ostrów Wielkopolski,Greater Poland,1160.65 km2,8,158.407,136
Ostrowiec County,powiat ostrowiecki,Ostrowiec Świętokrzyski,Świętokrzyskie,616.33 km2,6,116.179,189
Ostrzeszów County,powiat ostrzeszowski,Ostrzeszów,Greater Poland,772.37 km2,7,54.49,71
Oświęcim County,powiat oświęcimski,Oświęcim,Lesser Poland,406.03 km2,9,153.39,378
Otwock County,powiat otwocki,Otwock,Masovian,615.09 km2,8,116.086,189
Pabianice County,powiat pabianicki,Pabianice,Łódź,490.77 km2,7,119.008,242
Pajęczno County,powiat pajęczański,Pajęczno,Łódź,804.14 km2,8,53.395,66
Parczew County,powiat parczewski,Parczew,Lublin,952.62 km2,7,36.512,38
Piaseczno County,powiat piaseczyński,Piaseczno,Masovian,621.04 km2,6,145.276,234
Piekary Śląskie,"",city county,Silesian,40 km2,,59.494,1.487
Piła County,powiat pilski,Piła,Greater Poland,1267.1 km2,9,137.099,108
Pińczów County,powiat pińczowski,Pińczów,Świętokrzyskie,611.03 km2,5,42.127,69
Piotrków County,powiat piotrkowski,Piotrków Trybunalski,Łódź,1429.12 km2,11,90.227,63
Piotrków Trybunalski,"",city county,Łódź,67.27 km2,,79.367,1.185
Pisz County,powiat piski,Pisz,Warmian-Masurian,1776.17 km2,4,57.553,32
Pleszew County,powiat pleszewski,Pleszew,Greater Poland,711.91 km2,6,61.951,87
Płock,"",city county,Masovian,88.06 km2,,127.307,1.447
Płock County,powiat płocki,Płock,Masovian,1798.71 km2,15,106.455,59
Płońsk County,powiat płoński,Płońsk,Masovian,1383.67 km2,12,87.43,63
Poddębice County,powiat poddębicki,Poddębice,Łódź,880.91 km2,6,42.195,48
Police County,powiat policki,Police,West Pomeranian,664.16 km2,4,64.147,97
Polkowice County,powiat polkowicki,Polkowice,Lower Silesian,779.93 km2,6,61.138,78
Poznań,"",city county,Greater Poland,261.85 km2,,566.546,2.162
Poznań County,powiat poznański,Poznań,Greater Poland,1899.61 km2,17,291.562,153
Proszowice County,powiat proszowicki,Proszowice,Lesser Poland,414.57 km2,6,43.441,105
Prudnik County,powiat prudnicki,Prudnik,Opole,571.16 km2,4,59.931,105
Pruszków County,powiat pruszkowski,Pruszków,Masovian,246.31 km2,6,145.87,593
Przasnysz County,powiat przasnyski,Przasnysz,Masovian,1217.82 km2,7,52.948,43
Przemyśl,"",city county,Subcarpathian,44 km2,,66.715,1.516
Przemyśl County,powiat przemyski,Przemyśl,Subcarpathian,1213.73 km2,10,70.882,58
Przeworsk County,powiat przeworski,Przeworsk,Subcarpathian,698.35 km2,9,78.691,113
Przysucha County,powiat przysuski,Przysucha,Masovian,800.68 km2,8,43.822,55
Pszczyna County,powiat pszczyński,Pszczyna,Silesian,473.46 km2,6,104.638,221
Puck County,powiat pucki,Puck,Pomeranian,577.85 km2,7,74.196,128
Puławy County,powiat puławski,Puławy,Lublin,933 km2,11,116.829,125
Pułtusk County,powiat pułtuski,Pułtusk,Masovian,828.63 km2,7,51.033,62
Pyrzyce County,powiat pyrzycki,Pyrzyce,West Pomeranian,725.71 km2,6,39.931,55
Racibórz County,powiat raciborski,Racibórz,Silesian,543.98 km2,8,111.505,205
Radom,"",city county,Masovian,111.71 km2,,226.372,2.021
Radom County,powiat radomski,Radom,Masovian,1529.75 km2,13,145.232,95
Radomsko County,powiat radomszczański,Radomsko,Łódź,1442.78 km2,14,118.856,82
Radziejów County,powiat radziejowski,Radziejów,Kuyavian-Pomeranian,607 km2,7,42.289,70
Radzyń Podlaski County,powiat radzyński,Radzyń Podlaski,Lublin,965.21 km2,8,61.445,64
Rawa County,powiat rawski,Rawa Mazowiecka,Łódź,646.6 km2,6,49.443,76
Rawicz County,powiat rawicki,Rawicz,Greater Poland,553.23 km2,5,59.375,107
Ropczyce-Sędziszów County,powiat ropczycko-sędziszowski,Ropczyce,Subcarpathian,548.89 km2,5,71.22,130
Ruda Śląska,"",city county,Silesian,77.7 km2,,145.929,1.878
Rybnik,"",city county,Silesian,148 km2,,141.382,955
Rybnik County,powiat rybnicki,Rybnik,Silesian,224.63 km2,5,73.527,327
Ryki County,powiat rycki,Ryki,Lublin,615.54 km2,6,59.129,96
Rypin County,powiat rypiński,Rypin,Kuyavian-Pomeranian,587.08 km2,6,44.306,75
Rzeszów,"",city county,Subcarpathian,77.31 km2,,163.155,2.118
Rzeszów County,powiat rzeszowski,Rzeszów,Subcarpathian,1218.8 km2,14,169.586,139
Sandomierz County,powiat sandomierski,Sandomierz,Świętokrzyskie,675.89 km2,9,81.733,121
Sanok County,powiat sanocki,Sanok,Subcarpathian,1225.12 km2,8,94.74,77
Sejny County,powiat sejneński,Sejny,Podlaskie,856.07 km2,5,21.331,25
Sępólno County,powiat sępoleński,Sępólno Krajeńskie,Kuyavian-Pomeranian,790.86 km2,4,40.88,52
Siedlce,"",city county,Masovian,32 km2,,77.047,2.408
Siedlce County,powiat siedlecki,Siedlce,Masovian,1603.22 km2,13,80.56,50
Siemianowice Śląskie,"",city county,Silesian,25.5 km2,,72.451,2.841
Siemiatycze County,powiat siemiatycki,Siemiatycze,Podlaskie,1459.58 km2,9,48.603,33
Sieradz County,powiat sieradzki,Sieradz,Łódź,1491.04 km2,11,121.013,81
Sierpc County,powiat sierpecki,Sierpc,Masovian,852.89 km2,7,53.811,63
Skarżysko County,powiat skarżyski,Skarżysko-Kamienna,Świętokrzyskie,395.30 km2,5,80.024,203
Skierniewice,"",city county,Łódź,32.6 km2,,48.761,1.478
Skierniewice County,powiat skierniewicki,Skierniewice,Łódź,756.12 km2,9,37.779,50
Sławno County,powiat sławieński,Sławno,West Pomeranian,1043.62 km2,6,57.643,55
Słubice County,powiat słubicki,Słubice,Lubusz,999.77 km2,5,46.777,47
Słupca County,powiat słupecki,Słupca,Greater Poland,837.91 km2,8,58.725,70
Słupsk,"",city county,Pomeranian,43.15 km2,,98.402,2.288
Słupsk County,powiat słupski,Słupsk,Pomeranian,2304 km2,10,92.172,40
Sochaczew County,powiat sochaczewski,Sochaczew,Masovian,731.02 km2,8,83.318,114
Sokółka County,powiat sokólski,Sokółka,Podlaskie,2054.42 km2,10,72.424,35
Sokołów County,powiat sokołowski,Sokołów Podlaski,Masovian,1131.42 km2,9,56.823,50
Sopot,"",city county,Pomeranian,17.31 km2,,39.836,2.343
Sosnowiec,"",city county,Silesian,91.26 km2,,225.202,2.474
Śrem County,powiat śremski,Śrem,Greater Poland,574.41 km2,4,58.646,102
Środa Śląska County,powiat średzki,Środa Śląska,Lower Silesian,703.68 km2,5,49.208,70
Środa Wielkopolska County,powiat średzki,Środa Wielkopolska,Greater Poland,623.18 km2,5,54.568,88
Stalowa Wola County,powiat stalowowolski,Stalowa Wola,Subcarpathian,832.92 km2,6,109.17,131
Starachowice County,powiat starachowicki,Starachowice,Świętokrzyskie,523.27 km2,5,94.395,180
Stargard County,powiat stargardzki,Stargard,West Pomeranian,1519.59 km2,10,119.402,79
Starogard County,powiat starogardzki,Starogard Gdański,Pomeranian,1345.28 km2,13,121.963,91
Staszów County,powiat staszowski,Staszów,Świętokrzyskie,924.84 km2,8,74.004,80
Strzelce County,powiat strzelecki,Strzelce Opolskie,Opole,744.28 km2,7,80.828,109
Strzelce-Drezdenko County,powiat strzelecko-drezdenecki,Strzelce Krajeńskie,Lubusz,1248.32 km2,5,50.151,40
Strzelin County,powiat strzeliński,Strzelin,Lower Silesian,622.27 km2,5,44.146,71
Strzyżów County,powiat strzyżowski,Strzyżów,Subcarpathian,503.36 km2,5,61.938,123
Sucha County,powiat suski,Sucha Beskidzka,Lesser Poland,685.75 km2,9,82.045,120
Sulęcin County,powiat sulęciński,Sulęcin,Lubusz,1177.43 km2,5,35.329,30
Suwałki,"",city county,Podlaskie,65.24 km2,,69.234,1.065
Suwałki County,powiat suwalski,Suwałki,Podlaskie,1307.31 km2,9,35.136,27
Świdnica County,powiat świdnicki,Świdnica,Lower Silesian,742.89 km2,8,160.337,216
Świdnik County,powiat świdnicki,Świdnik,Lublin,468.97 km2,5,72.29,154
Świdwin County,powiat świdwiński,Świdwin,West Pomeranian,1093.1 km2,6,48.92,45
Świebodzin County,powiat świebodziński,Świebodzin,Lubusz,937.45 km2,6,55.989,60
Świecie County,powiat świecki,Świecie,Kuyavian-Pomeranian,1472.78 km2,11,96.941,66
Świętochłowice,"",city county,Silesian,13.22 km2,,55.172,4.244
Świnoujście,"",city county,West Pomeranian,197.23 km2,,40.899,208
Szamotuły County,powiat szamotulski,Szamotuły,Greater Poland,1119.55 km2,8,85.849,77
Szczecin,"",city county,West Pomeranian,301 km2,,410.809,1.365
Szczecinek County,powiat szczecinecki,Szczecinek,West Pomeranian,1765.22 km2,6,77.232,44
Szczytno County,powiat szczycieński,Szczytno,Warmian-Masurian,1933.1 km2,8,69.289,36
