DATE,BIALOWIEZA_SD,BIALYSTOK_SD,BIEBRZA-PIENCZYKOWEK_SD,BIELSKO-BIALA_SD,BORUSOWA_SD,CHOJNICE_SD,CHORZELOW_SD,CIESZANOW_SD,DRONIOWICE_SD,DYNOW_SD,ELBLAG_SD,ELBLAG-MILEJEWO_SD,FRANKFURT/ODER_SD,GDANSK-REBIECHOWO_SD,GDANSK-SWIBNO_SD,GORZOW WLKP_SD,GORZYN_SD,HEL_SD,JABLONKA_SD,JARCZEW_SD,JELENIA GORA_SD,KALISZ_SD,KASPROWY WIERCH_SD,KATOWICE-MUCHOWIEC_SD,KETRZYN_SD,KIELCE_SD,KLODZKO_SD,KOLOBRZEG-DZWIRZYNO_SD,KOLUDA WIELKA_SD,KOMANCZA_SD,KOSZALIN_SD,KOZIENCE_SD,KRAKOW OBS. ASTRONOMICZNE_SD,KRAKOW-BALICE_SD,KROSCIENKO_SD,KROSNO_SD,KRYNICA_SD,LACKO_SD,LAZY_SD,LEBA_SD,LEBORK_SD,LEGIONOWO_SD,LEGNICA_SD,LESKO_SD,LESZNO_SD,LIDZBARK WARMINSKI_SD,LIMANOWA_SD,LODZ_SD,LUBLIN-RADAWIEC_SD,MIKOLAJKI_SD,MLAWA_SD,MSZANA DOLNA_SD,NOWY SACZ_SD,OLECKO_SD,OLSZTYN_SD,OPOLE_SD,PILA_SD,PIWNICZNA_SD,PLOCK_SD,PORONIN_SD,POZNAN_SD,PSZCZYNA_SD,PUCZNIEW_SD,PULAWY_SD,PULTUSK_SD,RACIBORZ_SD,ROZANYSTOK_SD,RZESZOW JASIONKA_SD,SIEDLCE_SD,SKIERNIEWICE_SD,SLUBICE_SD,SNIEZKA_SD,SOLINA-JAWOR_SD,STASZOW_SD,SULEJOW_SD,SWINOUJSCIE_SD,SZCZECIN_SD,SZEPIETOWO_SD,TARNOW_SD,TERESPOL_SD,TORUN_SD,USTKA_SD,WARSZAWA-BIELANY_SD,WARSZAWA-FILTRY_SD,WARSZAWA-OKECIE_SD,WIELICHOWO_SD,WIELUN_SD,WLODAWA_SD,WROCLAW_SD,ZAKOPANE_SD,ZAMOSC_SD,ZIELONA GORA_SD,mean_SD
2017-01-11,14.0,11.0,8.0,8.0,,7.0,7.0,4.0,15.0,13.0,11.0,6.0,1.0,15.0,4.0,3.0,1.0,8.0,29.0,4.0,9.0,2.0,109.0,18.0,5.0,9.0,7.0,8.0,1.0,53.0,5.0,2.0,5.0,7.0,12.0,15.0,44.0,12.0,6.0,4.0,,,,28.0,4.0,9.0,13.0,4.0,12.0,7.0,9.0,19.0,4.0,8.0,6.0,4.0,2.0,14.0,,20.0,1.0,7.0,2.0,5.0,3.0,2.0,11.0,11.0,7.0,3.0,,43.0,29.0,5.0,,5.0,5.0,8.0,10.0,9.0,2.0,2.0,4.0,4.0,4.0,3.0,13.0,8.0,1.0,28.0,,8.0,10.80952380952381
2017-01-12,14.0,11.0,9.0,8.0,,8.0,10.0,5.0,21.0,13.0,11.0,8.0,7.0,15.0,7.0,5.0,6.0,8.0,32.0,6.0,8.0,4.0,108.0,22.0,4.0,12.0,7.0,8.0,3.0,53.0,8.0,4.0,6.0,8.0,15.0,17.0,42.0,13.0,6.0,5.0,,,,26.0,9.0,12.0,14.0,8.0,12.0,8.0,12.0,20.0,9.0,8.0,9.0,7.0,7.0,15.0,,20.0,5.0,14.0,9.0,6.0,5.0,5.0,10.0,11.0,8.0,5.0,,46.0,27.0,8.0,,5.0,5.0,8.0,8.0,9.0,5.0,1.0,6.0,7.0,7.0,5.0,11.0,8.0,4.0,29.0,,6.0,12.333333333333334
2017-01-13,16.0,12.0,10.0,7.0,,6.0,12.0,7.0,19.0,21.0,11.0,5.0,4.0,12.0,3.0,4.0,4.0,6.0,33.0,7.0,7.0,2.0,108.0,17.0,4.0,17.0,7.0,7.0,0.0,54.0,5.0,4.0,5.0,8.0,17.0,19.0,46.0,11.0,5.0,2.0,,,,27.0,7.0,12.0,15.0,10.0,14.0,7.0,10.0,18.0,13.0,10.0,7.0,6.0,1.0,13.0,,20.0,1.0,13.0,5.0,7.0,3.0,2.0,12.0,16.0,8.0,4.0,,54.0,29.0,11.0,,4.0,2.0,8.0,12.0,10.0,5.0,0.0,6.0,8.0,6.0,2.0,10.0,8.0,0.0,30.0,,6.0,12.095238095238095
2017-01-14,17.0,12.0,10.0,4.0,,11.0,13.0,17.0,17.0,28.0,15.0,17.0,1.0,17.0,5.0,2.0,2.0,8.0,32.0,7.0,11.0,0.0,125.0,15.0,7.0,16.0,6.0,9.0,0.0,75.0,10.0,4.0,4.0,4.0,18.0,28.0,52.0,13.0,5.0,4.0,,,,41.0,6.0,14.0,14.0,8.0,15.0,9.0,11.0,18.0,13.0,15.0,10.0,3.0,2.0,17.0,,27.0,0.0,12.0,3.0,8.0,2.0,1.0,12.0,19.0,9.0,3.0,,59.0,46.0,11.0,,5.0,2.0,9.0,11.0,13.0,4.0,1.0,5.0,7.0,6.0,1.0,10.0,13.0,0.0,35.0,,7.0,14.023809523809524
2017-01-15,20.0,15.0,14.0,6.0,,11.0,13.0,22.0,23.0,36.0,16.0,21.0,3.0,18.0,4.0,3.0,1.0,8.0,33.0,7.0,14.0,0.0,129.0,18.0,9.0,15.0,7.0,9.0,0.0,77.0,8.0,3.0,6.0,6.0,19.0,32.0,57.0,10.0,7.0,4.0,,,,46.0,6.0,13.0,16.0,8.0,16.0,13.0,9.0,21.0,16.0,16.0,10.0,8.0,2.0,20.0,,32.0,1.0,14.0,3.0,8.0,2.0,3.0,15.0,25.0,9.0,3.0,,64.0,53.0,10.0,,8.0,3.0,9.0,11.0,16.0,3.0,4.0,4.0,6.0,6.0,1.0,9.0,15.0,2.0,40.0,,9.0,15.619047619047619
2017-01-16,20.0,15.0,14.0,8.0,,10.0,14.0,22.0,21.0,30.0,16.0,22.0,4.0,20.0,4.0,3.0,2.0,10.0,32.0,10.0,24.0,6.0,129.0,18.0,9.0,17.0,9.0,7.0,0.0,74.0,14.0,10.0,7.0,8.0,19.0,29.0,54.0,10.0,7.0,4.0,,,,38.0,10.0,11.0,15.0,9.0,16.0,12.0,9.0,20.0,13.0,15.0,10.0,9.0,3.0,19.0,,30.0,5.0,13.0,5.0,8.0,2.0,3.0,15.0,26.0,9.0,6.0,,68.0,50.0,10.0,,8.0,3.0,9.0,12.0,16.0,3.0,5.0,7.0,9.0,8.0,5.0,11.0,13.0,5.0,36.0,,16.0,16.154761904761905
2017-01-17,19.0,15.0,14.0,7.0,,13.0,14.0,22.0,21.0,28.0,15.0,20.0,4.0,22.0,4.0,3.0,3.0,12.0,31.0,10.0,28.0,7.0,128.0,18.0,10.0,16.0,11.0,9.0,0.0,71.0,16.0,10.0,6.0,7.0,18.0,28.0,53.0,10.0,6.0,3.0,,,,38.0,8.0,10.0,15.0,10.0,16.0,12.0,9.0,20.0,14.0,14.0,9.0,16.0,2.0,19.0,,29.0,5.0,13.0,9.0,8.0,4.0,2.0,15.0,25.0,10.0,6.0,,76.0,47.0,10.0,,8.0,3.0,9.0,13.0,15.0,3.0,6.0,7.0,8.0,7.0,5.0,11.0,13.0,5.0,34.0,,18.0,16.285714285714285
2017-01-18,18.0,15.0,14.0,7.0,,13.0,14.0,22.0,20.0,28.0,15.0,18.0,3.0,22.0,7.0,2.0,3.0,15.0,31.0,9.0,24.0,6.0,127.0,18.0,5.0,15.0,10.0,10.0,0.0,69.0,13.0,9.0,6.0,7.0,18.0,27.0,52.0,10.0,6.0,3.0,,,,37.0,6.0,10.0,15.0,10.0,16.0,11.0,9.0,18.0,13.0,13.0,9.0,13.0,5.0,19.0,,28.0,4.0,12.0,9.0,8.0,4.0,2.0,14.0,24.0,10.0,7.0,,77.0,45.0,10.0,,8.0,3.0,9.0,13.0,15.0,3.0,6.0,7.0,8.0,7.0,4.0,10.0,12.0,3.0,33.0,,18.0,15.80952380952381
2017-01-19,18.0,14.0,14.0,7.0,,13.0,14.0,22.0,19.0,26.0,15.0,18.0,3.0,20.0,7.0,2.0,3.0,13.0,30.0,9.0,22.0,6.0,126.0,18.0,10.0,14.0,10.0,10.0,0.0,67.0,13.0,8.0,6.0,7.0,17.0,27.0,50.0,10.0,7.0,3.0,,,,37.0,7.0,10.0,15.0,10.0,16.0,11.0,9.0,18.0,14.0,13.0,9.0,10.0,4.0,19.0,,28.0,4.0,12.0,8.0,8.0,4.0,2.0,14.0,23.0,10.0,6.0,,76.0,44.0,10.0,5.0,8.0,3.0,9.0,13.0,15.0,3.0,6.0,7.0,7.0,7.0,4.0,10.0,12.0,3.0,33.0,,18.0,15.435294117647059
2017-01-20,18.0,14.0,12.0,7.0,,10.0,14.0,20.0,17.0,26.0,14.0,17.0,3.0,15.0,6.0,2.0,3.0,9.0,30.0,8.0,20.0,6.0,125.0,18.0,10.0,14.0,10.0,9.0,0.0,65.0,10.0,8.0,6.0,7.0,17.0,26.0,48.0,10.0,7.0,2.0,,,,36.0,8.0,10.0,14.0,10.0,16.0,11.0,9.0,18.0,14.0,14.0,10.0,10.0,5.0,19.0,,27.0,3.0,12.0,8.0,7.0,4.0,2.0,14.0,22.0,10.0,6.0,,75.0,42.0,10.0,10.0,8.0,2.0,9.0,13.0,14.0,3.0,0.0,7.0,7.0,7.0,2.0,11.0,11.0,3.0,32.0,,14.0,14.847058823529412
2017-01-21,16.0,13.0,7.0,7.0,,6.0,12.0,18.0,17.0,25.0,12.0,11.0,2.0,11.0,5.0,2.0,2.0,3.0,30.0,8.0,17.0,4.0,124.0,18.0,3.0,13.0,9.0,4.0,0.0,62.0,5.0,6.0,6.0,7.0,16.0,27.0,48.0,10.0,6.0,0.0,,,,36.0,7.0,9.0,14.0,9.0,15.0,8.0,9.0,17.0,14.0,11.0,8.0,10.0,4.0,19.0,,27.0,2.0,12.0,4.0,7.0,3.0,2.0,12.0,21.0,10.0,5.0,,75.0,40.0,9.0,10.0,7.0,1.0,8.0,13.0,14.0,1.0,0.0,5.0,5.0,5.0,2.0,12.0,11.0,2.0,32.0,,13.0,13.552941176470588
2017-01-22,14.0,10.0,5.0,5.0,,4.0,10.0,16.0,15.0,23.0,7.0,9.0,1.0,4.0,2.0,0.0,1.0,0.0,30.0,7.0,16.0,2.0,123.0,17.0,4.0,12.0,8.0,0.0,0.0,61.0,2.0,4.0,5.0,7.0,15.0,26.0,46.0,9.0,5.0,0.0,,,,37.0,8.0,9.0,14.0,8.0,12.0,6.0,7.0,16.0,11.0,8.0,6.0,9.0,2.0,19.0,,26.0,0.0,11.0,4.0,6.0,2.0,2.0,9.0,18.0,7.0,3.0,,73.0,39.0,7.0,9.0,4.0,0.0,4.0,11.0,11.0,0.0,0.0,4.0,4.0,4.0,1.0,11.0,9.0,2.0,32.0,,10.0,12.0
2017-01-23,13.0,10.0,5.0,5.0,,4.0,8.0,14.0,14.0,20.0,7.0,9.0,1.0,4.0,2.0,0.0,0.0,0.0,30.0,6.0,16.0,2.0,122.0,16.0,4.0,12.0,7.0,0.0,0.0,59.0,0.0,2.0,5.0,6.0,15.0,26.0,46.0,8.0,5.0,0.0,,,,36.0,7.0,7.0,14.0,8.0,12.0,5.0,7.0,13.0,12.0,8.0,6.0,8.0,2.0,18.0,,26.0,0.0,11.0,3.0,5.0,2.0,2.0,9.0,16.0,7.0,3.0,,72.0,37.0,7.0,9.0,4.0,0.0,4.0,11.0,10.0,0.0,0.0,3.0,3.0,3.0,1.0,10.0,7.0,2.0,32.0,,10.0,11.470588235294118
2017-01-24,13.0,10.0,4.0,4.0,,4.0,7.0,14.0,14.0,18.0,7.0,9.0,1.0,2.0,2.0,0.0,0.0,0.0,30.0,6.0,16.0,2.0,120.0,14.0,4.0,11.0,7.0,0.0,0.0,59.0,0.0,2.0,5.0,6.0,14.0,26.0,45.0,8.0,5.0,0.0,,,,32.0,7.0,7.0,14.0,8.0,12.0,5.0,7.0,13.0,11.0,8.0,6.0,6.0,2.0,18.0,,25.0,0.0,11.0,3.0,4.0,2.0,2.0,9.0,15.0,6.0,3.0,,71.0,35.0,7.0,9.0,4.0,0.0,4.0,11.0,10.0,0.0,0.0,2.0,2.0,2.0,1.0,11.0,7.0,0.0,31.0,,10.0,11.08235294117647
2017-01-25,13.0,10.0,4.0,4.0,,4.0,7.0,14.0,14.0,18.0,6.0,9.0,1.0,2.0,0.0,0.0,1.0,0.0,30.0,6.0,16.0,2.0,119.0,14.0,4.0,11.0,7.0,0.0,0.0,58.0,0.0,2.0,5.0,6.0,14.0,27.0,44.0,8.0,5.0,0.0,,,,31.0,8.0,7.0,14.0,8.0,12.0,5.0,7.0,13.0,11.0,7.0,5.0,6.0,2.0,18.0,,23.0,1.0,11.0,3.0,4.0,2.0,2.0,9.0,15.0,6.0,3.0,,71.0,35.0,7.0,9.0,3.0,0.0,4.0,11.0,10.0,0.0,0.0,2.0,2.0,2.0,1.0,11.0,7.0,0.0,32.0,,10.0,11.0
2017-01-26,13.0,9.0,3.0,5.0,,4.0,7.0,14.0,13.0,15.0,6.0,9.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,6.0,16.0,2.0,118.0,14.0,4.0,11.0,7.0,0.0,0.0,56.0,0.0,2.0,5.0,5.0,14.0,25.0,44.0,7.0,5.0,0.0,,,,31.0,7.0,7.0,14.0,8.0,12.0,4.0,6.0,13.0,14.0,7.0,6.0,6.0,2.0,18.0,,22.0,0.0,10.0,3.0,4.0,2.0,2.0,9.0,15.0,6.0,2.0,,71.0,35.0,7.0,9.0,0.0,0.0,4.0,11.0,11.0,0.0,0.0,2.0,2.0,2.0,1.0,11.0,7.0,0.0,33.0,,10.0,10.8
2017-01-27,13.0,8.0,0.0,4.0,,4.0,7.0,14.0,13.0,15.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,16.0,2.0,115.0,14.0,4.0,11.0,6.0,0.0,0.0,56.0,0.0,2.0,5.0,5.0,14.0,25.0,43.0,7.0,4.0,0.0,,,,31.0,7.0,7.0,14.0,8.0,12.0,3.0,6.0,11.0,13.0,7.0,6.0,6.0,1.0,18.0,,22.0,0.0,10.0,3.0,4.0,2.0,2.0,9.0,14.0,6.0,2.0,,70.0,34.0,7.0,9.0,0.0,0.0,4.0,11.0,11.0,0.0,0.0,2.0,2.0,2.0,1.0,10.0,7.0,0.0,32.0,,10.0,10.494117647058824
2017-01-28,12.0,8.0,0.0,4.0,,4.0,7.0,14.0,12.0,15.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,16.0,2.0,114.0,13.0,4.0,11.0,6.0,0.0,0.0,55.0,0.0,2.0,5.0,4.0,14.0,25.0,43.0,6.0,4.0,0.0,,,,31.0,8.0,7.0,14.0,8.0,12.0,3.0,6.0,11.0,13.0,7.0,6.0,4.0,2.0,18.0,,22.0,0.0,10.0,3.0,4.0,2.0,3.0,8.0,13.0,6.0,2.0,,68.0,31.0,7.0,9.0,0.0,0.0,4.0,11.0,11.0,0.0,0.0,2.0,2.0,2.0,1.0,10.0,7.0,0.0,31.0,,10.0,10.31764705882353
2017-01-29,12.0,8.0,0.0,4.0,,4.0,7.0,13.0,12.0,15.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,16.0,1.0,113.0,13.0,4.0,11.0,6.0,0.0,0.0,55.0,0.0,2.0,5.0,4.0,14.0,26.0,42.0,6.0,4.0,0.0,,,,29.0,0.0,7.0,14.0,8.0,11.0,3.0,6.0,11.0,13.0,7.0,6.0,4.0,1.0,18.0,,22.0,0.0,10.0,3.0,4.0,2.0,2.0,8.0,12.0,6.0,2.0,,65.0,28.0,6.0,8.0,0.0,0.0,4.0,11.0,10.0,0.0,0.0,2.0,2.0,2.0,1.0,9.0,7.0,0.0,31.0,,10.0,10.0
2017-01-30,12.0,8.0,0.0,4.0,,4.0,7.0,13.0,11.0,15.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,15.0,1.0,112.0,13.0,4.0,11.0,6.0,0.0,0.0,55.0,0.0,2.0,5.0,4.0,14.0,27.0,40.0,5.0,4.0,0.0,,,,29.0,8.0,7.0,14.0,8.0,11.0,3.0,6.0,10.0,13.0,7.0,6.0,4.0,1.0,18.0,,22.0,0.0,10.0,3.0,4.0,2.0,2.0,8.0,12.0,6.0,2.0,,62.0,26.0,6.0,7.0,0.0,0.0,4.0,10.0,10.0,0.0,0.0,2.0,2.0,2.0,1.0,10.0,7.0,0.0,31.0,,10.0,9.952941176470588
2017-01-31,12.0,7.0,0.0,4.0,,4.0,6.0,13.0,11.0,10.0,4.0,9.0,7.0,0.0,0.0,3.0,1.0,0.0,29.0,5.0,16.0,1.0,111.0,12.0,4.0,11.0,7.0,0.0,0.0,55.0,0.0,2.0,5.0,4.0,14.0,27.0,40.0,5.0,4.0,0.0,,,,29.0,8.0,7.0,14.0,8.0,11.0,3.0,6.0,9.0,13.0,7.0,6.0,3.0,2.0,18.0,,22.0,0.0,10.0,3.0,4.0,2.0,2.0,8.0,11.0,6.0,2.0,,63.0,25.0,6.0,8.0,1.0,1.0,4.0,11.0,10.0,0.0,0.0,2.0,2.0,2.0,1.0,10.0,7.0,1.0,31.0,,12.0,10.047058823529412
2017-02-01,11.0,7.0,0.0,5.0,,4.0,5.0,13.0,12.0,10.0,4.0,9.0,7.0,0.0,0.0,2.0,1.0,0.0,29.0,5.0,20.0,1.0,111.0,13.0,4.0,11.0,10.0,0.0,0.0,54.0,0.0,2.0,5.0,4.0,14.0,,40.0,5.0,4.0,0.0,,,,28.0,,7.0,14.0,8.0,11.0,3.0,6.0,8.0,13.0,7.0,6.0,12.0,,17.0,,22.0,0.0,10.0,3.0,4.0,2.0,,8.0,11.0,6.0,2.0,,67.0,25.0,6.0,,0.0,0.0,4.0,11.0,10.0,0.0,0.0,2.0,2.0,2.0,1.0,11.0,7.0,4.0,32.0,,13.0,10.3375
2017-02-02,11.0,7.0,0.0,10.0,,4.0,8.0,12.0,16.0,8.0,4.0,9.0,6.0,0.0,0.0,2.0,0.0,0.0,36.0,5.0,18.0,1.0,124.0,18.0,4.0,13.0,10.0,0.0,0.0,55.0,0.0,2.0,8.0,6.0,14.0,24.0,50.0,4.0,4.0,0.0,,,,26.0,8.0,7.0,14.0,8.0,11.0,3.0,6.0,9.0,14.0,7.0,6.0,15.0,1.0,18.0,,25.0,0.0,14.0,3.0,3.0,2.0,17.0,8.0,10.0,6.0,2.0,,67.0,23.0,8.0,8.0,0.0,0.0,4.0,11.0,10.0,0.0,0.0,2.0,2.0,2.0,1.0,11.0,7.0,3.0,35.0,,13.0,11.094117647058823
