DATE,BIALOWIEZA_HU,BIALYSTOK_HU,BIEBRZA-PIENCZYKOWEK_HU,BIELSKO-BIALA_HU,CHOJNICE_HU,CHORZELOW_HU,CIESZANOW_HU,CZOSTOCHOWA_HU,DRONIOWICE_HU,ELBLAG_HU,ELBLAG-MILEJEWO_HU,GDANSK-SWIBNO_HU,GORZOW WLKP_HU,GORZYN_HU,HEL_HU,JARCZEW_HU,JELENIA GORA_HU,KALISZ_HU,KASPROWY WIERCH_HU,KATOWICE-MUCHOWIEC_HU,KETRZYN_HU,KIELCE_HU,KLODZKO_HU,KOLO_HU,KOLOBRZEG-DZWIRZYNO_HU,KOMANCZA_HU,KOSZALIN_HU,KOZIENCE_HU,KRAKOW_HU,KRAKOW OBS. ASTRONOMICZNE_HU,KRAKOW-BALICE_HU,KROSNO_HU,KRYNICA_HU,LEBA_HU,LEBORK_HU,LEGNICA_HU,LESKO_HU,LESZNO_HU,LIDZBARK WARMINSKI_HU,LIMANOWA_HU,LODZ_HU,LUBLIN-RADAWIEC_HU,MIKOLAJKI_HU,MLAWA_HU,MSZANA DOLNA_HU,NOWY SACZ_HU,OLSZTYN_HU,OPOLE_HU,PILA_HU,PLOCK_HU,PORONIN_HU,POZNAN_HU,PULAWY_HU,PULTUSK_HU,RACIBORZ_HU,RESKO-SMOLSKO_HU,RZESZOW JASIONKA_HU,SANDOMIERZ_HU,SIEDLCE_HU,SKIERNIEWICE_HU,SLUBICE_HU,SNIEZKA_HU,SULEJOW_HU,SWINOUJSCIE_HU,SZCZECIN_HU,TARNOW_HU,TERESPOL_HU,TORUN_HU,USTKA_HU,WARSZAWA-BIELANY_HU,WARSZAWA-OKECIE_HU,WIELUN_HU,WLODAWA_HU,WROCLAW_HU,ZAKOPANE_HU,ZAMOSC_HU,ZIELONA GORA_HU,mean_HU
2017-01-11,89.0,,92.0,,,74.0,83.0,,78.0,,,,,,,63.0,,,,,,,,,,76.0,,,,78.0,,,80.0,,,,,,75.0,70.0,,,,,69.0,,,,,,79.0,,67.0,79.0,,,,,,78.0,,,,,,,,,,71.0,,,,,,,,76.52941176470588
2017-01-12,87.0,88.0,96.0,77.0,92.0,87.0,84.0,88.0,93.0,87.0,93.0,86.0,87.0,,85.0,85.0,72.0,91.0,89.0,85.0,83.0,85.0,80.0,88.0,82.0,85.0,84.0,83.0,,80.0,83.0,81.0,87.0,91.0,85.0,74.0,74.0,82.0,89.0,85.0,88.0,87.0,83.0,89.0,84.0,75.0,85.0,79.0,93.0,88.0,87.0,86.0,81.0,88.0,80.0,,80.0,86.0,86.0,93.0,79.0,95.0,87.0,89.0,83.0,77.0,88.0,90.0,87.0,93.0,83.0,87.0,89.0,76.0,81.0,87.0,86.0,85.24324324324324
2017-01-13,86.0,,97.0,,,73.0,77.0,,85.0,,,,,,,82.0,,,,,,,,,,89.0,,,,65.0,,,85.0,,,,,,91.0,83.0,,,,,69.0,,,,,,65.0,,83.0,87.0,,,,,,86.0,,,,,,,,,,86.0,,,,,,,,81.70588235294117
2017-01-14,93.0,85.0,95.0,84.0,94.0,94.0,98.0,84.0,90.0,91.0,98.0,90.0,94.0,,92.0,93.0,91.0,90.0,89.0,84.0,92.0,83.0,78.0,86.0,92.0,92.0,92.0,80.0,,74.0,81.0,95.0,97.0,95.0,93.0,88.0,96.0,89.0,91.0,88.0,84.0,89.0,86.0,89.0,73.0,82.0,89.0,82.0,90.0,87.0,84.0,87.0,92.0,85.0,83.0,,97.0,86.0,86.0,89.0,91.0,92.0,83.0,99.0,95.0,84.0,90.0,88.0,91.0,86.0,84.0,86.0,94.0,86.0,82.0,96.0,95.0,88.82432432432432
2017-01-15,96.0,,94.0,,,85.0,92.0,,90.0,,,,,,,85.0,,,,,,,,,,89.0,,,,86.0,,,89.0,,,,,,87.0,77.0,,,,,80.0,,,,,,78.0,,95.0,90.0,,,,,,89.0,,,,,,,,,,90.0,,,,,,,,87.76470588235294
2017-01-16,92.0,93.0,97.0,76.0,93.0,83.0,86.0,91.0,91.0,94.0,98.0,95.0,89.0,,93.0,83.0,92.0,98.0,86.0,87.0,91.0,87.0,87.0,92.0,76.0,84.0,88.0,91.0,,74.0,84.0,87.0,89.0,70.0,90.0,91.0,90.0,92.0,88.0,83.0,92.0,92.0,91.0,96.0,78.0,82.0,86.0,91.0,82.0,92.0,81.0,89.0,90.0,88.0,85.0,,89.0,86.0,91.0,91.0,91.0,91.0,91.0,86.0,88.0,81.0,91.0,87.0,82.0,94.0,92.0,94.0,93.0,92.0,79.0,91.0,97.0,88.41891891891892
2017-01-17,86.0,,92.0,,,94.0,91.0,,92.0,,,,,,,82.0,,,,,,,,,,86.0,,,,80.0,,,89.0,,,,,,94.0,90.0,,,,,88.0,,,,,,82.0,,89.0,91.0,,,,,,89.0,,,,,,,,,,93.0,,,,,,,,88.70588235294117
2017-01-18,89.0,88.0,96.0,91.0,94.0,90.0,90.0,84.0,83.0,89.0,95.0,91.0,97.0,,86.0,78.0,86.0,97.0,78.0,87.0,89.0,87.0,87.0,94.0,86.0,88.0,87.0,85.0,,87.0,91.0,91.0,91.0,92.0,89.0,89.0,90.0,93.0,89.0,89.0,91.0,91.0,88.0,93.0,86.0,87.0,84.0,83.0,94.0,92.0,81.0,93.0,87.0,89.0,81.0,,93.0,90.0,81.0,82.0,94.0,78.0,81.0,87.0,90.0,92.0,91.0,97.0,88.0,84.0,85.0,87.0,92.0,90.0,83.0,95.0,97.0,88.64864864864865
2017-01-19,84.0,,94.0,,,84.0,84.0,,87.0,,,,,,,70.0,,,,,,,,,,88.0,,,,83.0,,,87.0,,,,,,88.0,87.0,,,,,78.0,,,,,,76.0,,86.0,87.0,,,,,,82.0,,,,,,,,,,89.0,,,,,,,,84.3529411764706
2017-01-20,91.0,95.0,99.0,66.0,98.0,82.0,91.0,89.0,94.0,97.0,100.0,95.0,98.0,,96.0,82.0,79.0,99.0,73.0,78.0,97.0,91.0,82.0,96.0,95.0,79.0,95.0,92.0,,69.0,76.0,83.0,86.0,99.0,98.0,70.0,82.0,95.0,96.0,74.0,94.0,95.0,94.0,98.0,70.0,77.0,94.0,82.0,97.0,96.0,75.0,95.0,92.0,94.0,78.0,,85.0,90.0,95.0,91.0,91.0,96.0,92.0,96.0,95.0,65.0,94.0,98.0,97.0,97.0,95.0,87.0,95.0,76.0,71.0,95.0,93.0,88.94594594594595
2017-01-21,97.0,,100.0,,,92.0,96.0,,98.0,,,,,,,100.0,,,,,,,,,,90.0,,,,72.0,,,92.0,,,,,,100.0,85.0,,,,,87.0,,,,,,93.0,,97.0,95.0,,,,,,95.0,,,,,,,,,,97.0,,,,,,,,93.29411764705883
2017-01-22,99.0,97.0,99.0,80.0,96.0,89.0,94.0,86.0,83.0,98.0,100.0,98.0,97.0,,94.0,90.0,82.0,93.0,33.0,84.0,97.0,90.0,74.0,95.0,93.0,93.0,93.0,92.0,,82.0,85.0,89.0,96.0,99.0,95.0,86.0,94.0,85.0,94.0,88.0,94.0,95.0,96.0,99.0,82.0,82.0,95.0,69.0,95.0,96.0,88.0,90.0,95.0,93.0,76.0,,91.0,92.0,97.0,93.0,94.0,72.0,94.0,95.0,92.0,84.0,96.0,97.0,97.0,96.0,92.0,88.0,97.0,84.0,88.0,97.0,97.0,90.4054054054054
2017-01-23,91.0,,95.0,,,82.0,94.0,,81.0,,,,,,,83.0,,,,,,,,,,83.0,,,,89.0,,,94.0,,,,,,84.0,84.0,,,,,73.0,,,,,,84.0,,85.0,82.0,,,,,,84.0,,,,,,,,,,80.0,,,,,,,,85.17647058823529
2017-01-24,97.0,92.0,96.0,90.0,96.0,86.0,89.0,93.0,95.0,93.0,99.0,89.0,96.0,,89.0,80.0,88.0,99.0,35.0,90.0,92.0,90.0,85.0,95.0,93.0,85.0,94.0,88.0,,81.0,88.0,93.0,90.0,91.0,90.0,89.0,95.0,94.0,94.0,91.0,94.0,92.0,90.0,94.0,83.0,87.0,90.0,89.0,93.0,92.0,86.0,92.0,90.0,95.0,85.0,,92.0,89.0,92.0,86.0,95.0,74.0,93.0,97.0,94.0,90.0,93.0,94.0,90.0,94.0,90.0,94.0,94.0,88.0,88.0,94.0,98.0,90.28378378378379
2017-01-25,82.0,,98.0,,,91.0,98.0,,99.0,,,,,,,90.0,,,,,,,,,,92.0,,,,89.0,,,96.0,,,,,,94.0,94.0,,,,,86.0,,,,,,87.0,,91.0,88.0,,,,,,94.0,,,,,,,,,,89.0,,,,,,,,91.6470588235294
2017-01-26,76.0,80.0,97.0,86.0,94.0,78.0,81.0,85.0,91.0,90.0,97.0,91.0,88.0,,88.0,68.0,77.0,90.0,12.0,86.0,87.0,81.0,81.0,93.0,88.0,78.0,89.0,78.0,,85.0,92.0,79.0,78.0,96.0,90.0,85.0,85.0,84.0,87.0,83.0,91.0,80.0,81.0,87.0,83.0,79.0,80.0,81.0,91.0,84.0,80.0,81.0,78.0,83.0,84.0,,84.0,75.0,80.0,87.0,89.0,21.0,94.0,93.0,90.0,75.0,77.0,87.0,91.0,77.0,80.0,86.0,80.0,87.0,75.0,88.0,92.0,82.77027027027027
2017-01-27,87.0,,99.0,,,68.0,79.0,,69.0,,,,,,,75.0,,,,,,,,,,73.0,,,,77.0,,,74.0,,,,,,88.0,63.0,,,,,61.0,,,,,,71.0,,82.0,83.0,,,,,,76.0,,,,,,,,,,81.0,,,,,,,,76.82352941176471
2017-01-28,96.0,96.0,98.0,74.0,76.0,66.0,82.0,66.0,74.0,98.0,74.0,84.0,81.0,,77.0,78.0,77.0,67.0,15.0,81.0,94.0,67.0,80.0,75.0,73.0,72.0,64.0,79.0,,75.0,83.0,63.0,80.0,71.0,67.0,79.0,74.0,77.0,81.0,43.0,69.0,81.0,93.0,81.0,67.0,68.0,77.0,58.0,80.0,76.0,77.0,70.0,81.0,81.0,75.0,,78.0,69.0,89.0,75.0,78.0,12.0,72.0,83.0,81.0,60.0,94.0,75.0,67.0,79.0,76.0,64.0,91.0,75.0,64.0,90.0,80.0,74.9054054054054
2017-01-29,85.0,,98.0,,,81.0,93.0,,82.0,,,,,,,83.0,,,,,,,,,,64.0,,,,76.0,,,77.0,,,,,,83.0,52.0,,,,,72.0,,,,,,80.0,,86.0,80.0,,,,,,78.0,,,,,,,,,,78.0,,,,,,,,79.29411764705883
2017-01-30,83.0,84.0,97.0,74.0,84.0,70.0,93.0,62.0,64.0,87.0,80.0,82.0,82.0,,80.0,84.0,73.0,71.0,64.0,79.0,87.0,73.0,76.0,76.0,82.0,69.0,79.0,80.0,,80.0,81.0,50.0,71.0,83.0,77.0,76.0,55.0,75.0,76.0,61.0,67.0,87.0,86.0,88.0,45.0,65.0,82.0,58.0,84.0,77.0,75.0,76.0,81.0,93.0,66.0,,91.0,80.0,84.0,77.0,79.0,72.0,74.0,91.0,87.0,59.0,83.0,78.0,80.0,82.0,81.0,62.0,85.0,74.0,70.0,90.0,77.0,76.83783783783784
2017-01-31,84.0,,94.0,,,70.0,89.0,,88.0,,,,,,,78.0,,,,,,,,,,79.0,,,,77.0,,,78.0,,,,,,81.0,72.0,,,,,69.0,,,,,,82.0,,79.0,89.0,,,,,,83.0,,,,,,,,,,81.0,,,,,,,,80.76470588235294
2017-02-01,90.0,85.0,98.0,95.0,92.0,80.0,81.0,76.0,91.0,90.0,96.0,95.0,87.0,,90.0,83.0,83.0,83.0,95.0,90.0,86.0,82.0,84.0,93.0,76.0,85.0,72.0,86.0,,83.0,84.0,81.0,92.0,89.0,86.0,88.0,75.0,90.0,88.0,81.0,88.0,85.0,85.0,92.0,85.0,81.0,86.0,91.0,86.0,90.0,87.0,78.0,81.0,89.0,92.0,,85.0,82.0,88.0,85.0,91.0,95.0,87.0,89.0,88.0,82.0,86.0,91.0,80.0,87.0,87.0,79.0,85.0,90.0,87.0,88.0,94.0,86.52702702702703
2017-02-02,88.0,,97.0,,,91.0,88.0,,99.0,,,,,,,88.0,,,,,,,,,,98.0,,,,85.0,,,95.0,,,,,,84.0,85.0,,,,,83.0,,,,,,88.0,,92.0,93.0,,,,,,92.0,,,,,,,,,,97.0,,,,,,,,90.76470588235294
2017-02-03,91.0,92.0,97.0,97.0,90.0,95.0,96.0,96.0,99.0,92.0,94.0,91.0,94.0,,87.0,93.0,93.0,96.0,86.0,98.0,94.0,92.0,95.0,92.0,89.0,94.0,85.0,96.0,,95.0,95.0,95.0,95.0,91.0,89.0,99.0,96.0,93.0,89.0,97.0,85.0,94.0,93.0,94.0,90.0,89.0,87.0,96.0,94.0,94.0,85.0,94.0,89.0,95.0,91.0,,98.0,94.0,94.0,94.0,94.0,86.0,89.0,97.0,93.0,95.0,94.0,89.0,87.0,98.0,91.0,99.0,96.0,96.0,89.0,97.0,100.0,93.08108108108108
2017-02-04,92.0,,91.0,,,91.0,88.0,,97.0,,,,,,,82.0,,,,,,,,,,97.0,,,,98.0,,,99.0,,,,,,95.0,99.0,,,,,95.0,,,,,,89.0,,93.0,92.0,,,,,,91.0,,,,,,,,,,97.0,,,,,,,,93.29411764705883
2017-02-05,93.0,90.0,92.0,92.0,89.0,94.0,93.0,98.0,98.0,86.0,86.0,81.0,98.0,,82.0,79.0,93.0,100.0,94.0,96.0,82.0,93.0,92.0,95.0,90.0,97.0,86.0,93.0,,97.0,100.0,96.0,97.0,84.0,81.0,98.0,97.0,97.0,85.0,94.0,93.0,95.0,83.0,87.0,91.0,95.0,77.0,97.0,94.0,89.0,87.0,95.0,96.0,89.0,92.0,,98.0,92.0,91.0,89.0,96.0,100.0,94.0,98.0,94.0,98.0,91.0,87.0,86.0,87.0,89.0,,95.0,96.0,91.0,99.0,100.0,92.04109589041096
2017-02-06,86.0,,95.0,,,88.0,96.0,,92.0,,,,,,,82.0,,,,,,,,,,95.0,,,,92.0,,,98.0,,,,,,81.0,95.0,,,,,92.0,,,,,,85.0,,87.0,85.0,,,,,,84.0,,,,,,,,,,83.0,,,,,,,,89.17647058823529
2017-02-07,79.0,75.0,93.0,97.0,83.0,84.0,87.0,92.0,93.0,73.0,89.0,84.0,81.0,,83.0,73.0,84.0,88.0,88.0,91.0,83.0,85.0,92.0,85.0,71.0,89.0,70.0,83.0,,86.0,93.0,91.0,95.0,82.0,80.0,88.0,89.0,83.0,88.0,94.0,84.0,86.0,82.0,84.0,91.0,92.0,80.0,84.0,79.0,83.0,85.0,79.0,84.0,89.0,87.0,,87.0,85.0,80.0,83.0,82.0,94.0,88.0,75.0,76.0,91.0,78.0,79.0,77.0,82.0,80.0,88.0,83.0,82.0,94.0,88.0,88.0,84.77027027027027
2017-02-08,78.0,,92.0,,,75.0,82.0,,87.0,,,,,,,67.0,,,,,,,,,,88.0,,,,78.0,,,89.0,,,,,,85.0,90.0,,,,,84.0,,,,,,83.0,,76.0,88.0,,,,,,76.0,,,,,,,,,,71.0,,,,,,,,81.70588235294117
2017-02-09,70.0,69.0,68.0,89.0,78.0,76.0,78.0,81.0,87.0,63.0,82.0,78.0,75.0,,79.0,71.0,79.0,81.0,84.0,83.0,73.0,76.0,82.0,81.0,70.0,87.0,69.0,75.0,,78.0,84.0,84.0,93.0,77.0,76.0,77.0,85.0,76.0,77.0,91.0,78.0,77.0,74.0,79.0,85.0,80.0,75.0,73.0,75.0,78.0,80.0,74.0,87.0,89.0,75.0,,76.0,75.0,74.0,77.0,73.0,94.0,81.0,76.0,71.0,79.0,70.0,77.0,72.0,75.0,76.0,81.0,72.0,73.0,87.0,79.0,83.0,78.13513513513513
2017-02-10,64.0,,58.0,,,59.0,60.0,,86.0,,,,,,,69.0,,,,,,,,,,80.0,,,,69.0,,,88.0,,,,,,59.0,91.0,,,,,87.0,,,,,,81.0,,82.0,79.0,,,,,,79.0,,,,,,,,,,47.0,,,,,,,,72.82352941176471
2017-02-11,91.0,85.0,95.0,76.0,65.0,69.0,77.0,65.0,88.0,85.0,83.0,74.0,58.0,,75.0,70.0,71.0,64.0,85.0,67.0,82.0,63.0,87.0,71.0,46.0,79.0,46.0,73.0,,71.0,73.0,73.0,82.0,65.0,65.0,71.0,77.0,61.0,83.0,85.0,62.0,75.0,84.0,83.0,83.0,78.0,78.0,62.0,54.0,74.0,79.0,57.0,94.0,84.0,68.0,,76.0,64.0,84.0,73.0,60.0,95.0,65.0,,48.0,70.0,84.0,68.0,57.0,75.0,76.0,65.0,79.0,60.0,85.0,80.0,67.0,73.17808219178082
2017-02-12,91.0,,94.0,,,75.0,79.0,,83.0,,,,,,,77.0,,,,,,,,,,80.0,,,,75.0,,,77.0,,,,,,83.0,79.0,,,,,87.0,,,,,,80.0,,92.0,91.0,,,,,,80.0,,,,8.0,,,,,,83.0,,,,,,,,78.55555555555556
2017-02-13,92.0,91.0,94.0,94.0,87.0,75.0,82.0,93.0,91.0,91.0,91.0,83.0,84.0,,84.0,69.0,77.0,93.0,61.0,91.0,89.0,79.0,92.0,88.0,80.0,81.0,82.0,80.0,,88.0,92.0,85.0,80.0,88.0,87.0,90.0,83.0,89.0,74.0,91.0,87.0,85.0,85.0,86.0,92.0,88.0,81.0,86.0,81.0,80.0,76.0,82.0,85.0,90.0,88.0,,82.0,76.0,87.0,82.0,79.0,51.0,88.0,,82.0,84.0,90.0,82.0,86.0,77.0,79.0,94.0,90.0,88.0,76.0,85.0,88.0,84.36986301369863
2017-02-14,90.0,,98.0,,,80.0,78.0,,91.0,,,,,,,78.0,,,,,,,,,,70.0,,,,79.0,,,69.0,,,,,,91.0,77.0,,,,,75.0,,,,,,67.0,,86.0,91.0,,,,,,77.0,,,,,,,,,,84.0,,,,,,,,81.23529411764706
2017-02-15,96.0,96.0,98.0,53.0,75.0,76.0,84.0,68.0,85.0,97.0,95.0,96.0,53.0,,93.0,80.0,71.0,75.0,48.0,69.0,98.0,74.0,74.0,78.0,63.0,78.0,63.0,79.0,,65.0,73.0,66.0,63.0,91.0,79.0,77.0,68.0,67.0,98.0,41.0,77.0,80.0,95.0,95.0,68.0,68.0,95.0,70.0,73.0,83.0,73.0,69.0,78.0,93.0,74.0,,73.0,66.0,96.0,79.0,59.0,55.0,77.0,67.0,63.0,70.0,96.0,79.0,84.0,91.0,82.0,72.0,95.0,68.0,67.0,85.0,45.0,76.52702702702703
2017-02-16,88.0,,96.0,,,71.0,80.0,,73.0,,,,,,,79.0,,,,,,,,,,83.0,,,,70.0,,,83.0,,,,,,73.0,53.0,,,,,73.0,,,,,,78.0,,78.0,81.0,,,,,,67.0,,,,,,,,,,76.0,,,,,,,,76.58823529411765
2017-02-17,94.0,91.0,98.0,83.0,94.0,79.0,81.0,89.0,90.0,91.0,95.0,91.0,94.0,,93.0,89.0,83.0,94.0,77.0,83.0,91.0,89.0,88.0,91.0,93.0,86.0,93.0,85.0,,84.0,90.0,85.0,89.0,98.0,94.0,86.0,80.0,92.0,89.0,76.0,94.0,86.0,88.0,96.0,74.0,79.0,88.0,91.0,95.0,93.0,80.0,91.0,82.0,93.0,90.0,,78.0,82.0,90.0,95.0,94.0,98.0,91.0,93.0,90.0,78.0,89.0,97.0,95.0,90.0,92.0,88.0,86.0,86.0,75.0,79.0,95.0,88.5
2017-02-18,97.0,,98.0,,,95.0,97.0,,96.0,,,,,,,92.0,,,,,,,,,,97.0,,,,92.0,,,92.0,,,,,,93.0,98.0,,,,,93.0,,,,,,89.0,,96.0,95.0,,,,,,97.0,,,,,,,,,,97.0,,,,,,,,94.94117647058823
2017-02-19,86.0,89.0,94.0,78.0,88.0,91.0,89.0,91.0,97.0,88.0,93.0,85.0,85.0,,87.0,93.0,70.0,87.0,91.0,88.0,86.0,88.0,75.0,84.0,87.0,81.0,88.0,87.0,,80.0,88.0,91.0,92.0,94.0,86.0,78.0,87.0,81.0,87.0,88.0,88.0,94.0,83.0,92.0,84.0,87.0,83.0,84.0,83.0,88.0,84.0,82.0,88.0,92.0,87.0,,90.0,92.0,89.0,86.0,82.0,84.0,90.0,87.0,85.0,89.0,88.0,86.0,88.0,89.0,87.0,87.0,92.0,76.0,84.0,92.0,83.0,86.79729729729729
2017-02-20,88.0,,94.0,,,82.0,79.0,,86.0,,,,,,,84.0,,,,,,,,,,90.0,,,,77.0,,,88.0,,,,,,87.0,73.0,,,,,77.0,,,,,,73.0,,80.0,88.0,,,,,,85.0,,,,,,,,,,85.0,,,,,,,,83.29411764705883
2017-02-21,84.0,84.0,96.0,83.0,82.0,88.0,92.0,91.0,95.0,93.0,87.0,78.0,78.0,,85.0,89.0,81.0,89.0,96.0,89.0,88.0,88.0,86.0,82.0,84.0,98.0,81.0,83.0,,88.0,90.0,92.0,98.0,90.0,84.0,82.0,85.0,85.0,86.0,92.0,86.0,89.0,85.0,81.0,89.0,78.0,82.0,86.0,74.0,79.0,83.0,80.0,87.0,76.0,81.0,,87.0,88.0,82.0,82.0,81.0,99.0,88.0,75.0,72.0,84.0,82.0,75.0,90.0,92.0,83.0,90.0,87.0,84.0,79.0,89.0,88.0,85.60810810810811
2017-02-22,90.0,,97.0,,,86.0,80.0,,91.0,,,,,,,92.0,,,,,,,,,,93.0,,,,79.0,,,76.0,,,,,,91.0,73.0,,,,,86.0,,,,,,76.0,,89.0,89.0,,,,,,92.0,,,,,,,,,,93.0,,,,,,,,86.6470588235294
