,STAID,STANAME,CN,LAT,LON,HGHT
94,2032,KALISZ                                  ,PL,51.730000000000004,18.08,140
95,924,WIELUN                                  ,PL,51.21027777777778,18.55666666666667,199
96,2033,LODZ                                    ,PL,51.730000000000004,19.4,187
97,926,SULEJOW                                 ,PL,51.35333333333333,19.866388888888892,188
98,927,WLODAWA                                 ,PL,51.55333333333333,23.529444444444444,177
99,779,SLUBICE                                 ,PL,52.34861111111111,14.619722222222222,53
100,2029,GORZOW WLKP                             ,PL,52.74111111111111,15.277222222222223,71
101,206,POZNAN                                  ,PL,52.19972222222222,18.660277777777775,115
102,209,WARSZAWA-OKECIE                         ,PL,52.16277777777778,20.961111111111112,107
103,333,SIEDLCE                                 ,PL,52.18111111111111,22.244722222222222,152
104,922,TERESPOL                                ,PL,52.078611111111115,23.621944444444445,133
105,696,SWINOUJSCIE                             ,PL,53.92333333333333,14.242222222222221,5
106,208,SZCZECIN                                ,PL,53.39527777777778,14.622777777777777,1
107,2026,CHOJNICE                                ,PL,53.71527777777778,17.5325,164
108,2027,TORUN                                   ,PL,53.04194444444444,18.595555555555553,69
109,2028,MLAWA                                   ,PL,53.10416666666667,20.361111111111114,147
110,752,OLSZTYN                                 ,PL,53.76861111111111,20.42138888888889,133
111,204,BIALYSTOK                               ,PL,53.10722222222223,23.16222222222222,148
112,332,LEBA                                    ,PL,54.75361111111111,17.534722222222225,2
113,205,HEL                                     ,PL,54.603611111111114,18.811944444444446,1
114,396,ELBLAG                                  ,PL,54.223333333333336,19.54361111111111,189
115,2021,KOLOBRZEG                               ,PL,54.18,15.58,3
116,8945,MIKOLAJKI                               ,PL,53.78,21.58,127
117,4108,FRANKFURT/ODER                          ,DE,52.36527777777778,14.537777777777778,48
118,2024,SUWALKI                                 ,PL,54.130833333333335,22.948888888888888,184
119,2037,KATOWICE                                ,PL,50.24055555555556,19.032777777777778,278
120,929,KRAKOW                                  ,PL,50.07777777777778,19.795,237
121,25055,WARSZAWA-BABICE                         ,PL,52.26694444444444,20.90583333333333,91
122,23808,BABICE                                  ,PL,52.26777777777777,20.910833333333333,107
123,23829,LUBLINEK                                ,PL,51.716944444444444,19.4,184
124,23864,KOLO                                    ,PL,52.2,18.666944444444447,117
125,8935,LEBORK                                  ,PL,54.55,17.75,38
126,8934,USTKA                                   ,PL,54.580000000000005,16.87,6
127,8980,GDANSK-SWIBNO                           ,PL,54.330000000000005,18.93,7
128,8941,RESKO                                   ,PL,53.769999999999996,15.42,52
129,8942,SZCZECINEK                              ,PL,53.72,16.68,137
130,8947,GOZOW WLKP.                             ,PL,52.75,15.280000000000001,72
131,2035,SNIEZKA                                 ,PL,50.730000000000004,15.73,1603
132,8962,OPOLE                                   ,PL,50.63,17.97,165
133,25143,SZCZECINEK                              ,PL,53.71472222222223,16.746666666666666,138
