Station,NO2,O3,PM10,PM25
MpKrakBujaka,,X,X,X
ZpKolKasprowMOB,,,X,
WmGoldJacwie,,X,X,
LuGorzPilsud,,,X,X
LuZielKrotka,,X,X,X
KpBydPlPozna,,,X,
WpPiaskiKrzy,,X,,
MpSzymbaGorl,,X,X,
PkSanoSadowa,,,X,
PmLebMalcz16,,X,X,
DsKlodzSzkol,,X,,
LdRadomsRoln,,X,X,
SlGoczaUzdroMOB,,X,,
PmWejhPlWejh,,,X,
MpZabieWapie,,,X,
WpKoniWyszyn,,X,,
SlPszczBoged,,,X,
DsWrocWybCon,,X,X,
PmGdySzafran,,X,,
SlGodGliniki,,,X,X
WpLeszKiepur,,,X,
OpZdziePiast,,,X,
ZpPolczSolanMOB,,,X,
SkKielTargow,,X,X,X
MzMlawOrdona,,,X,
SkGoluUjWody,,X,,
ZpKolZolkiew,,,X,
PkJasloSikor,,X,X,X
SlDabro1000L,,X,X,
OpBrzegPoprz,,,X,
KpNaklSkargi,,,X,
SkKielJurajs,,,X,
PkPrzemGrunw,,X,X,
DsOlawZolnAK,,X,X,
MpMuszynZloc,,,X,
KpBydWarszaw,,X,X,
ZpSzczBudzWosMOB,,,X,
SlRybniBorki,,X,X,
DsWalbrzWyso,,X,X,X
DsMiliczMOB,,,X,
ZpKoszArKraj,,,X,
DsJelGorOgin,,X,,
LdOpocCurieSk,,,X,
LdLodzGdansk,,X,,
DsSrodaSlMOB,,,X,
SlZabSkloCur,,X,X,
LuSmolBytnic,,X,X,
MzMinMazKaziMOB,,,X,
KpToruStorczMOB,,X,,
MzGranicaKPN,,X,,
SkJedrMieszkMOB,,,X,
PkStWolWoPol,,,X,
LuNowaSolMOB,,,X,
WpKaliSawick,,X,X,X
LbKrasKoszar,,,X,
DsJelGorSoko,,,X,
MpNiepo3Maja,,,X,
MzOtwoBrzozo,,X,X,
LbRadzPodSit,,,X,
PmKosTargo12,,X,X,X
MpMuszynKity,,,X,
PmGdyPoreb04,,X,,
WmGlitajn,,,X,
LbNaleczAlMa,,,X,
SkOstrOsSlonMOB,,X,X,X
PkTarnDabrow,,,X,
DsSniezkaObs,X,X,,
LdGajewUjWod,,X,,
MzLegZegrzyn,,X,X,
MpRabkaOrkan,,,X,
WpPoznPolank,,,,X
SlKatoPlebA4,,,X,X
DsTrzebniMaj,,X,,
LdPabiKilins,,,X,
MpGorlKrasin,,,X,
DsZgorBohGet,,,X,X
LbBiaSlupRPN,,X,,
OpGlubRatusz,,,X,
WmElkStadion,,X,X,
MpKrakTelime,,,X,
SkSolecZdroj,,,X,
DsBoleslaMOB,,X,,
PdLomSikorsk,,,X,X
WpPoznDabrow,,X,,X
DsCzerStraza,,X,,
WmElbBazynsk,,X,X,X
OpOlesSlowac,,X,,
PdBialWaszyn,,,X,
LdBelchEdwar,,,X,
KpWloclOkrze,,,X,
SlZywieKoper,,,X,
PmGdySzaf09N,,X,,
LdLodzRudzka,,,X,
PkPolanZdrojMOB,,,X,
MzSierWiosnyMOB,,,X,
SlZlotPotLes,,X,,X
KpInowSolank,,,X,
SlZorySikor2,,,X,X
KpBydBerling,,,,X
MpMszanaDoln,,,X,
WmPuszczaBor,,X,X,X
PmGdaPowWiel,,,,X
DsNowRudJezi,,,X,
WpOstWieWyso,,,X,
SlCzestoBacz,,X,X,
MzWarAKrzywo,,,X,
SkOzarOsWzgo,,,X,
MzRadTochter,,X,,
LbChelmPolan,,,X,X
LdLodzCzerni,,X,,X
PmLinieKos17,,X,X,
MpSuchaNiesz,,,X,
KpNaklWawrzy,,,X,
ZpMyslZaBram,,,X,X
WpPoznSpycha,,,X,
SkSandZielnaMOB,,X,X,X
WpPilaKusoci,,,X,
PdAugustoZdrMOB,,X,,
SlLublPiasko,,,X,
MpZakopaSien,,X,X,X
WpGniePaczko,,,X,
OpPrudPodgor,,,X,
LbLubSliwins,,,X,X
MpKrakAlKras,,,X,
