No,Station code,International code,Station name,Old station code,Launching date,Closing date,Station type,Region type,Station model,Voivodeship,City,Address,WGS84 φ N,WGS84 λ E,county,STANAME,isUrban
20,DsGlogOrzech,,"Głogów, ul. Orzechowa",DsGlogOrzech,1980-01-01,2003-12-31,background,urban,in-house,dolnośląskie,Głogów,ul. Orzechowa,51.648546,16.092285999999998,powiat głogowski,GLOGOW,0
21,DsGlogowko,,Głogówko,DsGlogowko,1980-01-01,2003-12-31,industrial,nonurban,in-house,dolnośląskie,Głogówko,,51.731824,16.097768,powiat głogowski,GLOGOWKO,0
22,DsGlogSikor,PL0260A,"Głogów, ul. Sikorskiego",DsGlogSikor,2003-10-01,2013-12-31,industrial,suburban,container,dolnośląskie,Głogów,ul. Żukowicka 1,51.664508000000005,16.040822,powiat głogowski,GLOGOW,0
23,DsGlogWiStwo,PL0603A,"Głogów, ul. Wita Stwosza",,2015-01-01,,background,urban,dust collector,dolnośląskie,Głogów,ul. Wita Stwosza 3,51.657022,16.097822,powiat głogowski,GLOGOW,0
24,DsGrodziec,,Grodziec Mały,DsGrodziec,1980-01-01,2003-12-31,industrial,nonurban,in-house,dolnośląskie,Grodziec Mały,,51.687496,16.073213,powiat głogowski,GRODZIEC MALY,0
25,DsJasnaSport,PL0316A,Jasna Góra - Sportowa,DsJasnaSport,1996-01-01,2013-12-31,industrial,nonurban,container,dolnośląskie,Jasna Góra,ul. Sportowa 13,50.873692,14.954235999999998,powiat zgorzelecki,JASNA GORA,0
26,DsJawDmow,,Jawor - Dmowskiego,DsJawDmow,1994-01-03,2003-12-31,background,urban,in-house,dolnośląskie,Jawor,ul. Dmowskiego 8,51.057121,16.179854000000002,powiat jaworski,JAWOR,0
27,DsJaworMOB,PL0734A,Jawor,DsJaworMOB,2019-01-01,2019-12-31,background,urban,mobile,dolnośląskie,Jawor,Armii Krajowej 9,51.049212,16.202317,powiat jaworski,JAWOR,0
28,DsJedlZdroj,,Jedlina Zdrój - Plac Zdrojowy,DsJedlZdroj,1993-01-02,2003-12-31,background,urban,in-house,dolnośląskie,Jedlina-Zdrój,pl. Zdrojowy 1,50.728378,16.345481,powiat wałbrzyski,JEDLINA-ZDROJ,0
29,DsJelGorOgin,PL0585A,"Jelenia Góra, ul. Ogińskiego",,2014-10-20,,background,urban,container,dolnośląskie,Jelenia Góra,ul. Ogińskiego 6,50.913433000000005,15.765608,powiat Jelenia Góra,JELENIA GORA,1
30,DsJelGorSoko,PL0586A,"Jelenia Góra, ul. Sokoliki",,2014-01-01,,background,urban,dust collector,dolnośląskie,Jelenia Góra,ul. Sokoliki 6,50.871214,15.700947,powiat Jelenia Góra,JELENIA GORA,1
31,DsJelw05,PL0026A,Jeleniów,DsJelw05,1996-07-01,2009-12-31,background,nonurban,container,dolnośląskie,Jeleniów,,51.224843,15.232984,powiat bolesławiecki,JELENIOW,0
32,DsJgCiep,,Jelenia Góra - Cieplice,DsJgCiep,1982-01-02,2004-12-31,background,urban,container,dolnośląskie,Jelenia Góra,ul. Park Zdrojowy,50.862966,15.681788,powiat Jelenia Góra,JELENIA GORA,1
33,DsJgCiepA,PL0189A,Jelenia Góra - Cieplice (AUT),DsJgCiepA,2005-01-01,2013-12-31,background,urban,container,dolnośląskie,Jelenia Góra,ul. Cervi 14,50.861853,15.678760999999998,powiat Jelenia Góra,JELENIA GORA,1
34,DsJgGrottgeraPM,PL0055A,Jelenia Góra - Grottgera (PM10),DsJgGrottgeraPM,2011-01-01,2011-12-31,background,urban,dust collector,dolnośląskie,Jelenia Góra,ul. Grottgera 7,50.897497,15.736629,powiat Jelenia Góra,JELENIA GORA,1
35,DsJgGrottgeraPMArch,,Jelenia Góra - Grottgera (PM10-Arch),DsJgGrottgeraPMArch,2004-01-05,2009-12-31,background,urban,dust collector,dolnośląskie,Jelenia Góra,ul. Grottgera 7,50.897497,15.736629,powiat Jelenia Góra,JELENIA GORA,1
36,DsJgScieg,,Jelenia Góra - Ściegiennego,DsJgScieg,1995-01-11,2003-12-31,background,urban,in-house,dolnośląskie,Jelenia Góra,ul. Ściegiennego 5/7,50.865874,15.679301,powiat Jelenia Góra,JELENIA GORA,1
37,DsJgWoln,,Jelenia Góra - Wolności,DsJgWoln,1993-01-03,2004-12-31,background,urban,in-house,dolnośląskie,Jelenia Góra,ul. Wolności 139,50.885634,15.717597,powiat Jelenia Góra,JELENIA GORA,1
38,DsJgZabob,,Jelenia Góra - Zabobrze,DsJgZabob,1992-01-04,2006-04-30,background,urban,mobile,dolnośląskie,Jelenia Góra,ul. Ogińskiego,50.91447,15.764693,powiat Jelenia Góra,JELENIA GORA,1
39,DsKalinowka,PL0261A,Kalinówka,DsKalinowka,2003-01-01,2013-12-31,industrial,nonurban,container,dolnośląskie,Kalinowka,,51.5226,16.244147,powiat lubiński,KALINOWKA,0
40,DsKamGoraMOB,PL0730A,Kamienna Góra,DsKamGoraMOB,2020-01-08,2020-12-30,background,urban,mobile,dolnośląskie,Kamienna Góra,Wałbrzyska 2c,50.788079,16.035122,powiat kamiennogórski,KAMIENNA GORA,0
41,DsKawice,,Kawice,DsKawice,2003-01-06,2003-12-31,background,nonurban,container,dolnośląskie,Kawice,,51.230833,16.428889,powiat legnicki,KAWICE,0
42,DsKgMob,,Kamienna Góra - Mobil Horiba,DsKgMob,2008-01-01,2008-05-05,background,urban,mobile,dolnośląskie,Kamienna Góra,ul. Szpitalna,50.786873,16.029129,powiat kamiennogórski,KAMIENNA GORA,0
43,DsKgSien,,Kamienna Góra - Sienkiewicza,DsKgSien,1995-01-04,2003-12-31,background,urban,in-house,dolnośląskie,Kamienna Góra,ul. Sienkiewicza 5,50.781207,16.029155,powiat kamiennogórski,KAMIENNA GORA,0
44,DsKlodzOkrz,,Kłodzko - ul. Okrzei,DsKlodzOkrz,1987-01-02,2005-12-31,background,urban,in-house,dolnośląskie,Kłodzko,ul. Okrzei 16,50.433389,16.650177,powiat kłodzki,KLODZKO,0
45,DsKlodzSzkol,PL0504A,"Kłodzko, ul. Szkolna",,2009-06-05,,background,urban,container,dolnośląskie,Kłodzko,ul. Szkolna 8,50.433493,16.653660000000002,powiat kłodzki,KLODZKO,0
46,DsKobierz,,Kobierzyce - Robotnicza,DsKobierz,2003-01-30,2003-12-31,background,nonurban,container,dolnośląskie,Kobierzyce,ul. Robotnicza 19,50.968056,16.928055999999998,powiat wrocławski,KOBIERZYCE,0
47,DsKostrzaMOB,PL0777A,Kostrza,,2021-01-23,2021-12-31,industrial,suburban,container,dolnośląskie,Kostrza,ul. Żeromskiego 22,50.981906,16.266522,powiat świdnicki,KOSTRZA,0
48,DsKowMaj,,Kowary - 1-go Maja,DsKowMaj,2001-01-15,2002-12-31,background,urban,in-house,dolnośląskie,Kowary,ul. 1 Maja 1,50.793145,15.835843,powiat jeleniogórski,KOWARY,0
49,DsKozDoly,,Kozie Doły,DsKozDoly,1980-01-01,2003-12-31,industrial,nonurban,in-house,dolnośląskie,Kozie Doły,,51.727524,16.025971,powiat głogowski,KOZIE DOLY,0
50,DsKromolin,PL0262A,Kromolin,DsKromolin,2003-10-01,2013-12-31,industrial,nonurban,container,dolnośląskie,Kromolin,,51.684959,15.894901,powiat głogowski,KROMOLIN,0
51,DsKudowaMOB,PL0659A,Kudowa-Zdrój,DsKudowaMOB,2017-01-01,,background,urban,mobile,dolnośląskie,Kudowa-Zdrój,Tadeusza Kościuszki 16,50.447096,16.238509,powiat kłodzki,KUDOWA-ZDROJ,0
52,DsKudSlon,,Kudowa Zdrój - ul. Słoneczna,DsKudSlon,1999-01-02,2004-12-31,background,urban,in-house,dolnośląskie,Kudowa-Zdrój,ul. Słoneczna 17,50.439976,16.248312,powiat kłodzki,KUDOWA-ZDROJ,0
53,DsLadekMOB,PL0686A,Lądek-Zdrój,DsLadekMOB,2018-01-17,2018-12-31,background,urban,mobile,dolnośląskie,Lądek-Zdrój,Św. Królowej Jadwigi,50.341864,16.889899,powiat kłodzki,LADEK-ZDROJ,0
54,DsLadekWol,,Lądek Zdrój - ul. Wolności,DsLadekWol,1992-01-02,2004-12-31,background,urban,in-house,dolnośląskie,Lądek-Zdrój,ul. Wolności 4,50.345683,16.888804,powiat kłodzki,LADEK-ZDROJ,0
55,DsLegAlRzecz,PL0190A,"Legnica, al. Rzeczypospolitej",,2004-10-01,,background,urban,container,dolnośląskie,Legnica,al. Rzeczypospolitej 10/12,51.204503,16.180513,powiat Legnica,LEGNICA,1
56,DsLegIwasz,,Legnica - Iwaszkiewicza,DsLegIwasz,1997-01-01,2003-12-31,background,urban,in-house,dolnośląskie,Legnica,ul. Iwaszkiewicza 5,51.208189,16.216706,powiat Legnica,LEGNICA,1
57,DsLegJaworz,,Legnica - Jaworzyńska,DsLegJaworz,1984-01-01,2003-12-31,background,urban,container,dolnośląskie,Legnica,ul. Jaworzyńska,51.191168,16.156159,powiat Legnica,LEGNICA,1
58,DsLegKsiez,,Legnica - Księżycowa,DsLegKsiez,1996-10-01,2006-04-30,background,urban,container,dolnośląskie,Legnica,ul. Księżycowa 14,51.208727,16.190277,powiat Legnica,LEGNICA,1
59,DsLegMick,,Legnica - Mickiewicza,DsLegMick,1996-01-01,2004-12-31,background,urban,in-house,dolnośląskie,Legnica,ul. Mickiewicza 24,51.202831,16.164607999999998,powiat Legnica,LEGNICA,1
60,DsLegPolarna,PL0738A,"Legnica, ul. Polarna",,2019-01-01,,background,urban,dust collector,dolnośląskie,Legnica,ul. Polarna 1,51.208104,16.183784,powiat Legnica,LEGNICA,1
61,DsLegPoraz,PL0540A,Legnica - Porazińskiej,DsLegPoraz,2011-01-01,2013-12-31,industrial,suburban,container,dolnośląskie,Legnica,ul. Porazińskiej,51.193519,16.135192,powiat Legnica,LEGNICA,1
62,DsLegRzecz,,Legnica - Aleja Rzeczypospolitej,DsLegRzecz,1999-01-09,2005-02-10,background,urban,container,dolnośląskie,Legnica,ul. Rzeczypospolitej,51.204196,16.179819000000002,powiat Legnica,LEGNICA,1
63,DsLegRzeczPM,,"Legnica, al. Rzeczypospolitej (PSSE)",DsLegRzeczPM,2005-01-01,2007-12-31,background,urban,dust collector,dolnośląskie,Legnica,ul. Rzeczypospolitej,51.20423,16.180763,powiat Legnica,LEGNICA,1
64,DsLegSmok,PL0301A,Legnica - Smokowicka,DsLegSmok,2003-01-01,2010-12-31,industrial,urban,container,dolnośląskie,Legnica,ul. Smokowicka,51.180776,16.098375,powiat Legnica,LEGNICA,1
65,DsLegZlotor,PL0263A,Legnica - Złotoryjska,DsLegZlotor,1996-01-03,2010-12-31,industrial,suburban,container,dolnośląskie,Legnica,ul. Złotoryjska,51.188018,16.129061,powiat Legnica,LEGNICA,1
66,DsLesnaRyn,,Leśna - Rynek,DsLesnaRyn,1994-01-02,2002-12-31,background,urban,in-house,dolnośląskie,Leśna,ul. Rynek 19,51.023029,15.263245,powiat lubański,LESNA,0
67,DsLubanMieszMOB,PL0747A,Lubań - Mieszka II,DsLubanMieszMOB,2019-01-01,2021-06-02,background,urban,mobile,dolnośląskie,Lubań,Mieszka II 1,51.119011,15.275539000000002,powiat lubański,LUBAN,0
68,DsLubanMOB,PL0687A,Lubań - Łączna,DsLubanMOB,2018-01-11,2018-12-31,background,urban,mobile,dolnośląskie,Lubań,Łączna,51.118412,15.285835,powiat lubański,LUBAN,0
69,DsLubanRyn,,Lubań - Rynek,DsLubanRyn,1994-01-02,2004-12-31,background,urban,in-house,dolnośląskie,Lubań,ul. Rynek 19,51.120172,15.290536,powiat lubański,LUBAN,0
70,DsLubanZaw,,Lubań - Zawidowska,DsLubanZaw,1993-01-03,2003-12-31,background,urban,in-house,dolnośląskie,Lubań,ul. Zawidowska 4,51.1166,15.27208,powiat lubański,LUBAN,0
71,DsLubinMaj,PL0056A,Lubin - 1-go Maja,DsLubinMaj,1998-01-01,2009-12-31,background,urban,in-house,dolnośląskie,Lubin,ul. 1 Maja 15,51.398416,16.199642,powiat lubiński,LUBIN,0
72,DsLubinMob,PL0577A,Lubin - Mobil Mercedes,DsLubinMob,2012-01-01,2012-12-31,background,urban,mobile,dolnośląskie,Lubin,ul. Wierzbowa,51.406741,16.187307,powiat lubiński,LUBIN,0
73,DsLubinSowia,,"Lubin,ul.Sowia",DsLubinSowia,2004-01-06,2005-12-31,background,urban,container,dolnośląskie,Lubin,ul. Sowia,51.38,16.212564,powiat lubiński,LUBIN,0
74,DsLubiWierzb,PL0632A,Lubin - Wierzbowa,DsLubiWierzb,2016-01-01,2016-12-31,background,urban,dust collector,dolnośląskie,Lubin,ul. Wierzbowa 70,51.406505,16.188329,powiat lubiński,LUBIN,0
75,DsLwowekPart,,Lwówek Śl.- Partyzantów,DsLwowekPart,1994-01-02,2003-12-31,background,urban,in-house,dolnośląskie,Lwówek Śląski,ul. Partyzantów 6,51.111733,15.579598,powiat lwówecki,LWOWEK SLASKI,0
76,DsMiliczMOB,PL0778A,Milicz,,2021-01-08,2021-12-31,background,urban,mobile,dolnośląskie,Milicz,ul. Armii Krajowej 7,51.52785,17.276844,powiat milicki,MILICZ,0
77,DsNowRudJezi,PL0745A,"Nowa Ruda, ul. Jeziorna",,2019-01-01,,background,urban,container,dolnośląskie,Nowa Ruda,ul. Jeziorna 19,50.581492,16.498245,powiat kłodzki,NOWA RUDA,0
78,DsNowRudSreb,PL0191A,Nowa Ruda - Srebrna,DsNRudaSrebP,2011-01-01,2018-12-31,background,urban,container,dolnośląskie,Nowa Ruda,ul. Srebrna 1a,50.579914,16.514422,powiat kłodzki,NOWA RUDA,0
79,DsNRudaPil,,Nowa Ruda - ul. Piłsudskiego,DsNRudaPil,2000-01-02,2003-07-31,background,urban,in-house,dolnośląskie,Nowa Ruda,ul. Piłsudskiego 14,50.58389,16.502457999999997,powiat kłodzki,NOWA RUDA,0
80,DsNRudaSlupPM,,Nowa Ruda - Słupiec (PM10),DsNRudaSlupPM,2005-03-01,2006-12-31,background,urban,dust collector,dolnośląskie,Nowa Ruda - Słupiec,ul. Wiejska 15,50.550008,16.553645,powiat kłodzki,NOWA RUDA - SLUPIEC,0
81,DsNRudaSrebA,,Nowa Ruda - ul. Srebrna (AUT),DsNRudaSrebA,2005-01-01,2010-12-31,background,urban,container,dolnośląskie,Nowa Ruda,ul. Srebrna,50.579924,16.514302999999998,powiat kłodzki,NOWA RUDA,0
82,DsNRudaSrebPArch,,Nowa Ruda - ul. Srebrna (PM10-Arch),DsNRudaSrebPArch,2003-06-06,2009-12-31,background,urban,dust collector,dolnośląskie,Nowa Ruda,ul. Srebrna 1a,50.579913,16.514422,powiat kłodzki,NOWA RUDA,0
83,DsOla3Maj,,Oława - 3 Maja,DsOla3Maj,1978-01-01,2005-12-31,background,urban,in-house,dolnośląskie,Oława,ul. 3 Maja 1A,50.945755,17.29615,powiat oławski,OLAWA,0
84,DsOlawZolnAK,PL0317A,"Oława, ul. Żołnierzy Armii Krajowej",,2008-07-01,,background,urban,container,dolnośląskie,Oława,ul. Żołnierzy AK 9,50.942073,17.291332999999998,powiat oławski,OLAWA,0
85,DsOlesBrzozo,PL0476A,"Oleśnica, ul. Brzozowa",,2011-01-01,,background,urban,dust collector,dolnośląskie,Oleśnica,ul. Brzozowa 7,51.217483,17.389997,powiat oleśnicki,OLESNICA,0
86,DsOlesnicaPM-Arch,,Oleśnica - Brzozowa (PM10-Arch),DsOlesnicaPM-Arch,2009-01-01,2009-12-31,background,urban,dust collector,dolnośląskie,Oleśnica,ul. Brzozowa 7,51.217494,17.389998000000002,powiat oleśnicki,OLESNICA,0
87,DsOlesRyn,,Oleśnica - Rynek,DsOlesRyn,1995-01-01,2005-12-31,background,urban,in-house,dolnośląskie,Oleśnica,ul. Rynek Ratusz 12,51.209491,17.379688,powiat oleśnicki,OLESNICA,0
88,DsOsieczow21,PL0505A,Osieczów,,2010-01-01,,background,nonurban,container,dolnośląskie,Osieczów,bez ulicy,51.31763,15.431719,powiat bolesławiecki,OSIECZOW,0
89,DsPolanPark,,Polanica Zdrój - ul. Parkowa,DsPolanPark,1994-01-02,2004-12-31,background,urban,in-house,dolnośląskie,Polanica-Zdrój,ul. Parkowa 4,50.407434,16.511192,powiat kłodzki,POLANICA-ZDROJ,0
90,DsPolanSportMOB,PL0633A,Polanica-Zdrój - Sportowa,DsPolanSportMOB,2016-01-01,,background,urban,mobile,dolnośląskie,Polanica-Zdrój,ul. Sportowa 9,50.415758,16.513057999999997,powiat kłodzki,POLANICA-ZDROJ,0
91,DsPolKasztan,PL0057A,"Polkowice, ul. Kasztanowa",,2004-05-01,,background,urban,dust collector,dolnośląskie,Polkowice,ul. Kasztanowa 29,51.50237,16.075051000000002,powiat polkowicki,POLKOWICE,0
92,DsPolkDabr,,Polkowice - Dąbrowskiego,DsPolkDabr,1994-01-01,2003-12-31,background,urban,in-house,dolnośląskie,Polkowice,ul. Dąbrowskiego,51.503659000000006,16.075060999999998,powiat polkowicki,POLKOWICE,0
93,DsPrzerzZdr,,Przerzeczyn Zdrój - ul. Zdrojowa,DsPrzerzZdr,1994-01-02,2003-12-31,background,nonurban,in-house,dolnośląskie,Przerzeczyn-Zdrój,ul. Zdrojowa 31,50.685276,16.831781,powiat dzierżoniowski,PRZERZECZYN-ZDROJ,0
94,DsRadomierz,PL0318A,Radomierzyce,DsRadomierz,1996-01-01,2013-12-31,industrial,nonurban,container,dolnośląskie,Radomierzyce,,51.0583,14.973735,powiat zgorzelecki,RADOMIERZYCE,0
95,DsRudna,PL0265A,Rudna,DsRudna,2003-01-01,2013-12-31,industrial,nonurban,container,dolnośląskie,Rudna,,51.512506,16.251711,powiat lubiński,RUDNA,0
96,DsRudnaWit,,Rudna - W.Witosa,DsRudnaWit,1992-10-01,2003-12-31,industrial,nonurban,container,dolnośląskie,Rudna,ul. W. Witosa,51.504339,16.261379,powiat lubiński,RUDNA,0
97,DsSlone,,Słone,DsSlone,1980-01-01,2003-12-31,industrial,nonurban,in-house,dolnośląskie,Słone,,51.661053,16.022651999999997,powiat głogowski,SLONE,0
98,DsSnie04,PL0058A,Śnieżne Kotły,DsSnie04,1996-07-01,2010-12-31,background,nonurban,container,dolnośląskie,Śnieżne Kotły,Śnieżne Kotły,50.778373,15.557425,powiat jeleniogórski,SNIEZNE KOTLY,0
99,DsSniezkaObs,PL0003R,Śnieżka,,2000-01-01,,background,nonurban,container,dolnośląskie,Karpacz,Śnieżka,50.736389,15.739722,powiat jeleniogórski,KARPACZ,0
100,DsSobczyce,PL0266A,Sobczyce,DsSobczyce,2003-10-01,2013-12-31,industrial,nonurban,container,dolnośląskie,Sobczyce,,51.702092,16.067231,powiat głogowski,SOBCZYCE,0
101,DsSoko08,,Sokolec,DsSoko08,1996-11-01,2004-05-19,background,nonurban,container,dolnośląskie,Sokolec,,50.668056,16.475,powiat wałbrzyski,SOKOLEC,0
102,DsSpal06,,Spalona,DsSpal06,1996-11-15,2004-05-15,background,nonurban,container,dolnośląskie,Spalona,,50.27657,16.538299,powiat kłodzki,SPALONA,0
103,DsSrodaSlMOB,PL0726A,Środa Śląska,,2020-01-28,2021-12-31,background,urban,mobile,dolnośląskie,Środa Śląska,Aleja Konstytucji 3 Maja 7,51.166236,16.597559,powiat średzki,SRODA SLASKA,0
104,DsStrzMob,PL0506A,Strzelin - Mobil Mercedes,DsStrzMob,2010-01-01,2011-12-31,background,urban,mobile,dolnośląskie,Strzelin,ul. M.Konopnickiej 3,50.784386,17.079435,powiat strzeliński,STRZELIN,0
105,DsSwidnFolwa,PL0660A,"Świdnica, ul. Folwarczna",,2017-01-01,,background,urban,dust collector,dolnośląskie,Świdnica,ul. Folwarczna 2,50.84443,16.494006,powiat świdnicki,SWIDNICA,0
106,DsSwidnMarciMOB,PL0604A,Świdnica - Marcinkowskiego MOB,DsSwidMob,2015-01-01,2015-12-31,background,urban,mobile,dolnośląskie,Świdnica,ul. Karola Marcinkowskiego 4-6,50.846559,16.466928,powiat świdnicki,SWIDNICA,0
107,DsSwidnRynek,PL0059A,Świdnica - Rynek,DsSwidRynek,2011-01-01,2016-12-31,background,urban,dust collector,dolnośląskie,Świdnica,ul. Rynek 43,50.842364,16.486703,powiat świdnicki,SWIDNICA,0
108,DsSwidRynekArch,,Świdnica - Rynek Arch,DsSwidRynekArch,2003-07-02,2009-12-31,background,urban,in-house,dolnośląskie,Świdnica,ul. Rynek 43,50.84236,16.486704,powiat świdnicki,SWIDNICA,0
109,DsSwidWalb,,Świdnica - ul. Wałbrzyska,DsSwidWalb,1985-01-02,2003-12-31,background,urban,in-house,dolnośląskie,Świdnica,ul. Wałbrzyska 15,50.838047,16.480395,powiat świdnicki,SWIDNICA,0
110,DsSzczaKolej,PL0541A,"Szczawno-Zdrój, ul. Kolejowa",,2012-01-01,,background,urban,dust collector,dolnośląskie,Szczawno-Zdrój,ul. Kolejowa 14,50.804189,16.254110999999998,powiat wałbrzyski,SZCZAWNO-ZDROJ,0
111,DsSzczAzalMob,PL0578A,Szczawno-Zdrój - Azalia - Mobil,DsSzczAzalMob,2012-01-01,2012-12-31,background,urban,mobile,dolnośląskie,Szczawno-Zdrój,ul. Klonowa,50.806472,16.253264,powiat wałbrzyski,SZCZAWNO-ZDROJ,0
112,DsSzczKopPM,PL0267A,Szczawno Zdrój - ul. Kopernika (PM10),DsSzczKopPM,2007-01-01,2011-12-31,background,urban,dust collector,dolnośląskie,Szczawno-Zdrój,ul. Kopernika 2,50.801538,16.250145,powiat wałbrzyski,SZCZAWNO-ZDROJ,0
113,DsSzczMagMob,PL0579A,Szczawno-Zdrój - Magnolia - Mobil,DsSzczMagMob,2012-01-01,2012-12-31,background,urban,mobile,dolnośląskie,Szczawno-Zdrój,ul. Kopernika,50.801523,16.250182000000002,powiat wałbrzyski,SZCZAWNO-ZDROJ,0
114,DsSzczOgr,,Szczawno Zdrój - ul. Ogrodowa,DsSzczOgr,1993-01-02,2004-12-31,background,urban,in-house,dolnośląskie,Szczawno-Zdrój,ul. Ogrodowa 5,50.805025,16.257246,powiat wałbrzyski,SZCZAWNO-ZDROJ,0
115,DsSzczRat,PL0254A,Szczawno Zdrój - ul. Ratuszowa,DsSzczRat,1983-04-01,2007-12-31,background,urban,in-house,dolnośląskie,Szczawno-Zdrój,ul. Ratuszowa 1,50.802699,16.254862,powiat wałbrzyski,SZCZAWNO-ZDROJ,0
116,DsSzklarkiMob,PL0600A,Szklarki - Mobil,DsSzklarkiMob,2013-01-01,2013-12-31,background,nonurban,mobile,dolnośląskie,Szklarki,,51.515908,15.747383,powiat polkowicki,SZKLARKI,0
117,DsSzkPor1MajMOB,PL0634A,Szklarska Poręba - 1 Maja,DsSzkPor1MajMOB,2016-01-01,2016-12-31,background,urban,mobile,dolnośląskie,Szklarska Poręba,1 Maja,50.822706,15.528251,powiat jeleniogórski,SZKLARSKA POREBA,0
118,DsTarnowek,PL0268A,Tarnówek,DsTarnowek,2003-01-01,2013-12-31,industrial,nonurban,container,dolnośląskie,Tarnowek,,51.513299,16.166760999999997,powiat polkowicki,TARNOWEK,0
119,DsTrzebBoch,,Trzebnica-Bochenka,DsTrzebBoch,2004-01-01,2005-12-31,background,urban,in-house,dolnośląskie,Trzebnica,ul. Ks.Bochenka,51.310278,17.062778,powiat trzebnicki,TRZEBNICA,0
