No,Station code,International code,Station name,Old station code,Launching date,Closing date,Station type,Region type,Station model,Voivodeship,City,Address,WGS84 φ N,WGS84 λ E,county
29,DsJelGorOgin,PL0585A,"Jelenia Góra, ul. Ogińskiego",,2014-10-20,,background,urban,container,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ogińskiego 6,50.913433000000005,15.765607999999999,
30,DsJelGorSoko,PL0586A,"Jelenia Góra, ul. Sokoliki",,2014-01-01,,background,urban,dust collector,DOLNOŚLĄSKIE,Jelenia Góra,ul. Sokoliki 6,50.871214,15.700947,
31,DsJelw05,PL0026A,Jeleniów,DsJelw05,1996-07-01,2009-12-31,background,nonurban,container,DOLNOŚLĄSKIE,Jeleniów,,51.224843,15.232984,powiat bolesławiecki
32,DsJgCiep,,Jelenia Góra - Cieplice,DsJgCiep,1982-01-02,2004-12-31,background,urban,container,DOLNOŚLĄSKIE,Jelenia Góra,ul. Park Zdrojowy,50.862966,15.681788000000001,
33,DsJgCiepA,PL0189A,Jelenia Góra - Cieplice (AUT),DsJgCiepA,2005-01-01,2013-12-31,background,urban,container,DOLNOŚLĄSKIE,Jelenia Góra,ul. Cervi 14,50.861853,15.678760999999998,
34,DsJgGrottgeraPM,PL0055A,Jelenia Góra - Grottgera (PM10),DsJgGrottgeraPM,2011-01-01,2011-12-31,background,urban,dust collector,DOLNOŚLĄSKIE,Jelenia Góra,ul. Grottgera 7,50.897496999999994,15.736629,
35,DsJgGrottgeraPMArch,,Jelenia Góra - Grottgera (PM10-Arch),DsJgGrottgeraPMArch,2004-01-05,2009-12-31,background,urban,dust collector,DOLNOŚLĄSKIE,Jelenia Góra,ul. Grottgera 7,50.897496999999994,15.736629,
36,DsJgScieg,,Jelenia Góra - Ściegiennego,DsJgScieg,1995-01-11,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ściegiennego 5/7,50.865874,15.679301,
37,DsJgWoln,,Jelenia Góra - Wolności,DsJgWoln,1993-01-03,2004-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Jelenia Góra,ul. Wolności 139,50.885634,15.717597,
38,DsJgZabob,,Jelenia Góra - Zabobrze,DsJgZabob,1992-01-04,2006-04-30,background,urban,mobile,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ogińskiego,50.91447,15.764693,
39,DsKalinowka,PL0261A,Kalinówka,DsKalinowka,2003-01-01,2013-12-31,industrial,nonurban,container,DOLNOŚLĄSKIE,Kalinowka,,51.5226,16.244147,powiat polkowicki
40,DsKamGoraMOB,PL0730A,Kamienna Góra,DsKamGoraMOB,2020-01-08,2020-12-30,background,urban,mobile,DOLNOŚLĄSKIE,Kamienna Góra,Wałbrzyska 2c,50.788078999999996,16.035122,powiat kamiennogórski
41,DsKawice,,Kawice,DsKawice,2003-01-06,2003-12-31,background,nonurban,container,DOLNOŚLĄSKIE,Kawice,,51.230833000000004,16.428889,powiat legnicki
42,DsKgMob,,Kamienna Góra - Mobil Horiba,DsKgMob,2008-01-01,2008-05-05,background,urban,mobile,DOLNOŚLĄSKIE,Kamienna Góra,ul. Szpitalna,50.786873,16.029129,powiat kamiennogórski
43,DsKgSien,,Kamienna Góra - Sienkiewicza,DsKgSien,1995-01-04,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Kamienna Góra,ul. Sienkiewicza 5,50.781207,16.029155,powiat kamiennogórski
44,DsKlodzOkrz,,Kłodzko - ul. Okrzei,DsKlodzOkrz,1987-01-02,2005-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Kłodzko,ul. Okrzei 16,50.433389,16.650177,powiat kłodzki
45,DsKlodzSzkol,PL0504A,"Kłodzko, ul. Szkolna",,2009-06-05,,background,urban,container,DOLNOŚLĄSKIE,Kłodzko,ul. Szkolna 8,50.433493,16.653660000000002,powiat kłodzki
46,DsKobierz,,Kobierzyce - Robotnicza,DsKobierz,2003-01-30,2003-12-31,background,nonurban,container,DOLNOŚLĄSKIE,Kobierzyce,ul. Robotnicza 19,50.968056,16.928055999999998,powiat wrocławski
47,DsKostrzaMOB,PL0777A,Kostrza,,2021-01-23,2021-12-31,industrial,suburban,container,DOLNOŚLĄSKIE,Kostrza,ul. Żeromskiego 22,50.981906,16.266522,powiat świdnicki
48,DsKowMaj,,Kowary - 1-go Maja,DsKowMaj,2001-01-15,2002-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Kowary,ul. 1 Maja 1,50.793145,15.835842999999999,powiat karkonoski
49,DsKozDoly,,Kozie Doły,DsKozDoly,1980-01-01,2003-12-31,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Kozie Doły,,51.727524,16.025971,powiat głogowski
50,DsKromolin,PL0262A,Kromolin,DsKromolin,2003-10-01,2013-12-31,industrial,nonurban,container,DOLNOŚLĄSKIE,Kromolin,,51.684959,15.894901,powiat głogowski
51,DsKudowaMOB,PL0659A,Kudowa-Zdrój,DsKudowaMOB,2017-01-01,,background,urban,mobile,DOLNOŚLĄSKIE,Kudowa-Zdrój,Tadeusza Kościuszki 16,50.447096,16.238509,powiat kłodzki
52,DsKudSlon,,Kudowa Zdrój - ul. Słoneczna,DsKudSlon,1999-01-02,2004-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Kudowa-Zdrój,ul. Słoneczna 17,50.439976,16.248312,powiat kłodzki
53,DsLadekMOB,PL0686A,Lądek-Zdrój,DsLadekMOB,2018-01-17,2018-12-31,background,urban,mobile,DOLNOŚLĄSKIE,Lądek-Zdrój,Św. Królowej Jadwigi,50.341864,16.889899,powiat kłodzki
54,DsLadekWol,,Lądek Zdrój - ul. Wolności,DsLadekWol,1992-01-02,2004-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Lądek-Zdrój,ul. Wolności 4,50.345683,16.888804,powiat kłodzki
55,DsLegAlRzecz,PL0190A,"Legnica, al. Rzeczypospolitej",,2004-10-01,,background,urban,container,DOLNOŚLĄSKIE,Legnica,al. Rzeczypospolitej 10/12,51.204503,16.180513,
56,DsLegIwasz,,Legnica - Iwaszkiewicza,DsLegIwasz,1997-01-01,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Legnica,ul. Iwaszkiewicza 5,51.208189000000004,16.216706,
57,DsLegJaworz,,Legnica - Jaworzyńska,DsLegJaworz,1984-01-01,2003-12-31,background,urban,container,DOLNOŚLĄSKIE,Legnica,ul. Jaworzyńska,51.191168,16.156159,
58,DsLegKsiez,,Legnica - Księżycowa,DsLegKsiez,1996-10-01,2006-04-30,background,urban,container,DOLNOŚLĄSKIE,Legnica,ul. Księżycowa 14,51.208727,16.190277,
59,DsLegMick,,Legnica - Mickiewicza,DsLegMick,1996-01-01,2004-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Legnica,ul. Mickiewicza 24,51.202831,16.164607999999998,
60,DsLegPolarna,PL0738A,"Legnica, ul. Polarna",,2019-01-01,,background,urban,dust collector,DOLNOŚLĄSKIE,Legnica,ul. Polarna 1,51.208104,16.183784,
61,DsLegPoraz,PL0540A,Legnica - Porazińskiej,DsLegPoraz,2011-01-01,2013-12-31,industrial,suburban,container,DOLNOŚLĄSKIE,Legnica,ul. Porazińskiej,51.193519,16.135192,
62,DsLegRzecz,,Legnica - Aleja Rzeczypospolitej,DsLegRzecz,1999-01-09,2005-02-10,background,urban,container,DOLNOŚLĄSKIE,Legnica,ul. Rzeczypospolitej,51.204196,16.179819000000002,
63,DsLegRzeczPM,,"Legnica, al. Rzeczypospolitej (PSSE)",DsLegRzeczPM,2005-01-01,2007-12-31,background,urban,dust collector,DOLNOŚLĄSKIE,Legnica,ul. Rzeczypospolitej,51.204229999999995,16.180763,
64,DsLegSmok,PL0301A,Legnica - Smokowicka,DsLegSmok,2003-01-01,2010-12-31,industrial,urban,container,DOLNOŚLĄSKIE,Legnica,ul. Smokowicka,51.180776,16.098375,
65,DsLegZlotor,PL0263A,Legnica - Złotoryjska,DsLegZlotor,1996-01-03,2010-12-31,industrial,suburban,container,DOLNOŚLĄSKIE,Legnica,ul. Złotoryjska,51.188018,16.129061,
66,DsLesnaRyn,,Leśna - Rynek,DsLesnaRyn,1994-01-02,2002-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Leśna,ul. Rynek 19,51.023029,15.263245000000001,powiat lubański
67,DsLubanMieszMOB,PL0747A,Lubań - Mieszka II,DsLubanMieszMOB,2019-01-01,2021-06-02,background,urban,mobile,DOLNOŚLĄSKIE,Lubań,Mieszka II 1,51.119011,15.275539000000002,powiat lubański
68,DsLubanMOB,PL0687A,Lubań - Łączna,DsLubanMOB,2018-01-11,2018-12-31,background,urban,mobile,DOLNOŚLĄSKIE,Lubań,Łączna,51.118412,15.285835,powiat lubański
69,DsLubanRyn,,Lubań - Rynek,DsLubanRyn,1994-01-02,2004-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Lubań,ul. Rynek 19,51.120172,15.290536,powiat lubański
70,DsLubanZaw,,Lubań - Zawidowska,DsLubanZaw,1993-01-03,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Lubań,ul. Zawidowska 4,51.1166,15.272079999999999,powiat lubański
71,DsLubinMaj,PL0056A,Lubin - 1-go Maja,DsLubinMaj,1998-01-01,2009-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Lubin,ul. 1 Maja 15,51.398416,16.199642,powiat lubiński
72,DsLubinMob,PL0577A,Lubin - Mobil Mercedes,DsLubinMob,2012-01-01,2012-12-31,background,urban,mobile,DOLNOŚLĄSKIE,Lubin,ul. Wierzbowa,51.406741,16.187307,powiat lubiński
73,DsLubinSowia,,"Lubin,ul.Sowia",DsLubinSowia,2004-01-06,2005-12-31,background,urban,container,DOLNOŚLĄSKIE,Lubin,ul. Sowia,51.38,16.212564,powiat lubiński
74,DsLubiWierzb,PL0632A,Lubin - Wierzbowa,DsLubiWierzb,2016-01-01,2016-12-31,background,urban,dust collector,DOLNOŚLĄSKIE,Lubin,ul. Wierzbowa 70,51.406504999999996,16.188329,powiat lubiński
75,DsLwowekPart,,Lwówek Śl.- Partyzantów,DsLwowekPart,1994-01-02,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Lwówek Śląski,ul. Partyzantów 6,51.111733,15.579598,powiat lwówecki
76,DsMiliczMOB,PL0778A,Milicz,,2021-01-08,2021-12-31,background,urban,mobile,DOLNOŚLĄSKIE,Milicz,ul. Armii Krajowej 7,51.52785,17.276844,powiat milicki
77,DsNowRudJezi,PL0745A,"Nowa Ruda, ul. Jeziorna",,2019-01-01,,background,urban,container,DOLNOŚLĄSKIE,Nowa Ruda,ul. Jeziorna 19,50.581492,16.498245,powiat kłodzki
78,DsNowRudSreb,PL0191A,Nowa Ruda - Srebrna,DsNRudaSrebP,2011-01-01,2018-12-31,background,urban,container,DOLNOŚLĄSKIE,Nowa Ruda,ul. Srebrna 1a,50.579914,16.514422,powiat kłodzki
79,DsNRudaPil,,Nowa Ruda - ul. Piłsudskiego,DsNRudaPil,2000-01-02,2003-07-31,background,urban,in-house,DOLNOŚLĄSKIE,Nowa Ruda,ul. Piłsudskiego 14,50.583890000000004,16.502457999999997,powiat kłodzki
80,DsNRudaSlupPM,,Nowa Ruda - Słupiec (PM10),DsNRudaSlupPM,2005-03-01,2006-12-31,background,urban,dust collector,DOLNOŚLĄSKIE,Nowa Ruda - Słupiec,ul. Wiejska 15,50.550008,16.553645,powiat kłodzki
81,DsNRudaSrebA,,Nowa Ruda - ul. Srebrna (AUT),DsNRudaSrebA,2005-01-01,2010-12-31,background,urban,container,DOLNOŚLĄSKIE,Nowa Ruda,ul. Srebrna,50.579924,16.514302999999998,powiat kłodzki
82,DsNRudaSrebPArch,,Nowa Ruda - ul. Srebrna (PM10-Arch),DsNRudaSrebPArch,2003-06-06,2009-12-31,background,urban,dust collector,DOLNOŚLĄSKIE,Nowa Ruda,ul. Srebrna 1a,50.579913,16.514422,powiat kłodzki
83,DsOla3Maj,,Oława - 3 Maja,DsOla3Maj,1978-01-01,2005-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Oława,ul. 3 Maja 1A,50.945755,17.29615,powiat oławski
84,DsOlawZolnAK,PL0317A,"Oława, ul. Żołnierzy Armii Krajowej",,2008-07-01,,background,urban,container,DOLNOŚLĄSKIE,Oława,ul. Żołnierzy AK 9,50.942073,17.291332999999998,powiat oławski
85,DsOlesBrzozo,PL0476A,"Oleśnica, ul. Brzozowa",,2011-01-01,,background,urban,dust collector,DOLNOŚLĄSKIE,Oleśnica,ul. Brzozowa 7,51.217483,17.389997,powiat oleśnicki
86,DsOlesnicaPM-Arch,,Oleśnica - Brzozowa (PM10-Arch),DsOlesnicaPM-Arch,2009-01-01,2009-12-31,background,urban,dust collector,DOLNOŚLĄSKIE,Oleśnica,ul. Brzozowa 7,51.217494,17.389998000000002,powiat oleśnicki
87,DsOlesRyn,,Oleśnica - Rynek,DsOlesRyn,1995-01-01,2005-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Oleśnica,ul. Rynek Ratusz 12,51.209491,17.379688,powiat oleśnicki
88,DsOsieczow21,PL0505A,Osieczów,,2010-01-01,,background,nonurban,container,DOLNOŚLĄSKIE,Osieczów,bez ulicy,51.31763,15.431719000000001,powiat bolesławiecki
89,DsPolanPark,,Polanica Zdrój - ul. Parkowa,DsPolanPark,1994-01-02,2004-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Polanica-Zdrój,ul. Parkowa 4,50.407434,16.511192,powiat kłodzki
90,DsPolanSportMOB,PL0633A,Polanica-Zdrój - Sportowa,DsPolanSportMOB,2016-01-01,,background,urban,mobile,DOLNOŚLĄSKIE,Polanica-Zdrój,ul. Sportowa 9,50.415758000000004,16.513057999999997,powiat kłodzki
91,DsPolKasztan,PL0057A,"Polkowice, ul. Kasztanowa",,2004-05-01,,background,urban,dust collector,DOLNOŚLĄSKIE,Polkowice,ul. Kasztanowa 29,51.50237,16.075051000000002,powiat polkowicki
92,DsPolkDabr,,Polkowice - Dąbrowskiego,DsPolkDabr,1994-01-01,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Polkowice,ul. Dąbrowskiego,51.503659000000006,16.075060999999998,powiat polkowicki
93,DsPrzerzZdr,,Przerzeczyn Zdrój - ul. Zdrojowa,DsPrzerzZdr,1994-01-02,2003-12-31,background,nonurban,in-house,DOLNOŚLĄSKIE,Przerzeczyn-Zdrój,ul. Zdrojowa 31,50.685276,16.831781,powiat dzierżoniowski
94,DsRadomierz,PL0318A,Radomierzyce,DsRadomierz,1996-01-01,2013-12-31,industrial,nonurban,container,DOLNOŚLĄSKIE,Radomierzyce,,51.0583,14.973735000000001,powiat zgorzelecki
95,DsRudna,PL0265A,Rudna,DsRudna,2003-01-01,2013-12-31,industrial,nonurban,container,DOLNOŚLĄSKIE,Rudna,,51.512506,16.251711,powiat lubiński
96,DsRudnaWit,,Rudna - W.Witosa,DsRudnaWit,1992-10-01,2003-12-31,industrial,nonurban,container,DOLNOŚLĄSKIE,Rudna,ul. W. Witosa,51.504339,16.261379,powiat lubiński
97,DsSlone,,Słone,DsSlone,1980-01-01,2003-12-31,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Słone,,51.661053,16.022651999999997,powiat głogowski
98,DsSnie04,PL0058A,Śnieżne Kotły,DsSnie04,1996-07-01,2010-12-31,background,nonurban,container,DOLNOŚLĄSKIE,,Śnieżne Kotły,50.778372999999995,15.557425,powiat karkonoski
99,DsSniezkaObs,PL0003R,Śnieżka,,2000-01-01,,background,nonurban,container,DOLNOŚLĄSKIE,Karpacz,Śnieżka,50.736389,15.739722,powiat karkonoski
100,DsSobczyce,PL0266A,Sobczyce,DsSobczyce,2003-10-01,2013-12-31,industrial,nonurban,container,DOLNOŚLĄSKIE,Sobczyce,,51.702092,16.067231,powiat głogowski
101,DsSoko08,,Sokolec,DsSoko08,1996-11-01,2004-05-19,background,nonurban,container,DOLNOŚLĄSKIE,Sokolec,,50.668056,16.475,powiat wałbrzyski
102,DsSpal06,,Spalona,DsSpal06,1996-11-15,2004-05-15,background,nonurban,container,DOLNOŚLĄSKIE,Spalona,,50.27657,16.538299,powiat kłodzki
103,DsSrodaSlMOB,PL0726A,Środa Śląska,,2020-01-28,2021-12-31,background,urban,mobile,DOLNOŚLĄSKIE,Środa Śląska,Aleja Konstytucji 3 Maja 7,51.166236,16.597559,powiat średzki
104,DsStrzMob,PL0506A,Strzelin - Mobil Mercedes,DsStrzMob,2010-01-01,2011-12-31,background,urban,mobile,DOLNOŚLĄSKIE,Strzelin,ul. M.Konopnickiej 3,50.784386,17.079435,powiat strzeliński
105,DsSwidnFolwa,PL0660A,"Świdnica, ul. Folwarczna",,2017-01-01,,background,urban,dust collector,DOLNOŚLĄSKIE,Świdnica,ul. Folwarczna 2,50.844429999999996,16.494006,powiat świdnicki
106,DsSwidnMarciMOB,PL0604A,Świdnica - Marcinkowskiego MOB,DsSwidMob,2015-01-01,2015-12-31,background,urban,mobile,DOLNOŚLĄSKIE,Świdnica,ul. Karola Marcinkowskiego 4-6,50.846559,16.466928,powiat świdnicki
107,DsSwidnRynek,PL0059A,Świdnica - Rynek,DsSwidRynek,2011-01-01,2016-12-31,background,urban,dust collector,DOLNOŚLĄSKIE,Świdnica,ul. Rynek 43,50.842364,16.486703,powiat świdnicki
108,DsSwidRynekArch,,Świdnica - Rynek Arch,DsSwidRynekArch,2003-07-02,2009-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Świdnica,ul. Rynek 43,50.84236,16.486704,powiat świdnicki
109,DsSwidWalb,,Świdnica - ul. Wałbrzyska,DsSwidWalb,1985-01-02,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Świdnica,ul. Wałbrzyska 15,50.838046999999996,16.480395,powiat świdnicki
110,DsSzczaKolej,PL0541A,"Szczawno-Zdrój, ul. Kolejowa",,2012-01-01,,background,urban,dust collector,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Kolejowa 14,50.804189,16.254110999999998,powiat wałbrzyski
111,DsSzczAzalMob,PL0578A,Szczawno-Zdrój - Azalia - Mobil,DsSzczAzalMob,2012-01-01,2012-12-31,background,urban,mobile,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Klonowa,50.806472,16.253264,powiat wałbrzyski
112,DsSzczKopPM,PL0267A,Szczawno Zdrój - ul. Kopernika (PM10),DsSzczKopPM,2007-01-01,2011-12-31,background,urban,dust collector,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Kopernika 2,50.801538,16.250145,powiat wałbrzyski
113,DsSzczMagMob,PL0579A,Szczawno-Zdrój - Magnolia - Mobil,DsSzczMagMob,2012-01-01,2012-12-31,background,urban,mobile,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Kopernika,50.801522999999996,16.250182000000002,powiat wałbrzyski
114,DsSzczOgr,,Szczawno Zdrój - ul. Ogrodowa,DsSzczOgr,1993-01-02,2004-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Ogrodowa 5,50.805025,16.257246,powiat wałbrzyski
115,DsSzczRat,PL0254A,Szczawno Zdrój - ul. Ratuszowa,DsSzczRat,1983-04-01,2007-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Ratuszowa 1,50.802699,16.254862,powiat wałbrzyski
116,DsSzklarkiMob,PL0600A,Szklarki - Mobil,DsSzklarkiMob,2013-01-01,2013-12-31,background,nonurban,mobile,DOLNOŚLĄSKIE,Szklarki,,51.515908,15.747383,powiat polkowicki
117,DsSzkPor1MajMOB,PL0634A,Szklarska Poręba - 1 Maja,DsSzkPor1MajMOB,2016-01-01,2016-12-31,background,urban,mobile,DOLNOŚLĄSKIE,Szklarska Poręba,1 Maja,50.822706,15.528251000000001,powiat karkonoski
118,DsTarnowek,PL0268A,Tarnówek,DsTarnowek,2003-01-01,2013-12-31,industrial,nonurban,container,DOLNOŚLĄSKIE,Tarnowek,,51.513298999999996,16.166760999999997,powiat polkowicki
119,DsTrzebBoch,,Trzebnica-Bochenka,DsTrzebBoch,2004-01-01,2005-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Trzebnica,ul. Ks.Bochenka,51.310278000000004,17.062778,powiat trzebnicki
120,DsTrzebLes,,Trzebnica - Leśna,DsTrzebLes,1994-01-01,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Trzebnica,ul. Leśna,51.303889,17.07,powiat trzebnicki
121,DsTrzebMob,,Trzebnica - Mobil Mercedes,DsTrzebMob,2008-04-01,2010-01-31,background,urban,mobile,DOLNOŚLĄSKIE,Trzebnica,ul. Żołnierzy Września,51.305271999999995,17.060139000000003,powiat trzebnicki
122,DsTrzebniMaj,PL0779A,"Trzebnica, ul. 3 Maja",,2020-12-23,,background,urban,container,DOLNOŚLĄSKIE,Trzebnica,ul. 3 Maja,51.304817,17.071367000000002,powiat trzebnicki
123,DsWalbBator,,Wałbrzych - ul. Batorego,DsWalbBator,1975-01-02,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Wałbrzych,ul. Batorego 3,50.774028,16.278035,
124,DsWalbGrodz,,Wałbrzych - ul. Grodzka,DsWalbGrodz,1993-01-02,2004-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Wałbrzych,ul. Grodzka 73,50.823623,16.275474,
