SOUID,DATE,SS,STAID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
240040,2020,53.33698630136986,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240040,2021,51.1900826446281,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240064,2017,49.92876712328767,25134,TARNOW,PL,+50:01:48,+020:59:04,207, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240064,2018,55.175342465753424,25134,TARNOW,PL,+50:01:48,+020:59:04,207, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240064,2019,56.78630136986301,25134,TARNOW,PL,+50:01:48,+020:59:04,207, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240064,2020,55.177595628415304,25134,TARNOW,PL,+50:01:48,+020:59:04,207, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240064,2021,52.178082191780824,25134,TARNOW,PL,+50:01:48,+020:59:04,207, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240076,2017,51.925414364640886,25135,SANDOMIERZ,PL,+50:41:48,+021:42:57,143, SS3,1972-10-08,2022-09-30,26,Miroslaw Mietus
240076,2018,61.895890410958906,25135,SANDOMIERZ,PL,+50:41:48,+021:42:57,143, SS3,1972-10-08,2022-09-30,26,Miroslaw Mietus
240076,2019,60.24722222222222,25135,SANDOMIERZ,PL,+50:41:48,+021:42:57,143, SS3,1972-10-08,2022-09-30,26,Miroslaw Mietus
240076,2020,58.0,25135,SANDOMIERZ,PL,+50:41:48,+021:42:57,143, SS3,1972-10-08,2022-09-30,26,Miroslaw Mietus
240076,2021,56.729050279329606,25135,SANDOMIERZ,PL,+50:41:48,+021:42:57,143, SS3,1972-10-08,2022-09-30,26,Miroslaw Mietus
240112,2017,51.97790055248619,25138,LEGNICA,PL,+51:11:33,+016:12:27,134, SS3,1976-06-01,2022-09-30,26,Miroslaw Mietus
240112,2018,63.487671232876714,25138,LEGNICA,PL,+51:11:33,+016:12:27,134, SS3,1976-06-01,2022-09-30,26,Miroslaw Mietus
240112,2019,60.71232876712329,25138,LEGNICA,PL,+51:11:33,+016:12:27,134, SS3,1976-06-01,2022-09-30,26,Miroslaw Mietus
240112,2020,58.58469945355191,25138,LEGNICA,PL,+51:11:33,+016:12:27,134, SS3,1976-06-01,2022-09-30,26,Miroslaw Mietus
240112,2021,53.293150684931504,25138,LEGNICA,PL,+51:11:33,+016:12:27,134, SS3,1976-06-01,2022-09-30,26,Miroslaw Mietus
240124,2017,48.85479452054795,25139,LUBLIN-RADAWIEC,PL,+51:13:01,+022:23:37,228, SS3,1976-06-01,2022-09-30,26,Miroslaw Mietus
240124,2018,58.706849315068496,25139,LUBLIN-RADAWIEC,PL,+51:13:01,+022:23:37,228, SS3,1976-06-01,2022-09-30,26,Miroslaw Mietus
240124,2019,62.876106194690266,25139,LUBLIN-RADAWIEC,PL,+51:13:01,+022:23:37,228, SS3,1976-06-01,2022-09-30,26,Miroslaw Mietus
240124,2020,56.63507109004739,25139,LUBLIN-RADAWIEC,PL,+51:13:01,+022:23:37,228, SS3,1976-06-01,2022-09-30,26,Miroslaw Mietus
240124,2021,55.293150684931504,25139,LUBLIN-RADAWIEC,PL,+51:13:01,+022:23:37,228, SS3,1976-06-01,2022-09-30,26,Miroslaw Mietus
240136,2017,47.059322033898304,25140,KOLO,PL,+52:12:01,+018:39:41,113, SS3,1972-06-01,2020-12-28,26,Miroslaw Mietus
240136,2017,47.059322033898304,206,KOLO,PL,+52:12:01,+018:39:41,113, SS3,1972-06-01,2020-12-28,26,Miroslaw Mietus
240136,2018,56.68156424581006,25140,KOLO,PL,+52:12:01,+018:39:41,113, SS3,1972-06-01,2020-12-28,26,Miroslaw Mietus
240136,2018,56.68156424581006,206,KOLO,PL,+52:12:01,+018:39:41,113, SS3,1972-06-01,2020-12-28,26,Miroslaw Mietus
240136,2019,54.86776859504132,25140,KOLO,PL,+52:12:01,+018:39:41,113, SS3,1972-06-01,2020-12-28,26,Miroslaw Mietus
240136,2019,54.86776859504132,206,KOLO,PL,+52:12:01,+018:39:41,113, SS3,1972-06-01,2020-12-28,26,Miroslaw Mietus
240136,2020,57.67883211678832,25140,KOLO,PL,+52:12:01,+018:39:41,113, SS3,1972-06-01,2020-12-28,26,Miroslaw Mietus
240136,2020,57.67883211678832,206,KOLO,PL,+52:12:01,+018:39:41,113, SS3,1972-06-01,2020-12-28,26,Miroslaw Mietus
240148,2017,43.416901408450705,25141,PLOCK,PL,+52:35:18,+019:43:33,87, SS3,1978-11-01,2022-09-30,26,Miroslaw Mietus
240148,2018,58.99444444444445,25141,PLOCK,PL,+52:35:18,+019:43:33,87, SS3,1978-11-01,2022-09-30,26,Miroslaw Mietus
240148,2019,53.885474860335194,25141,PLOCK,PL,+52:35:18,+019:43:33,87, SS3,1978-11-01,2022-09-30,26,Miroslaw Mietus
240148,2020,51.0672268907563,25141,PLOCK,PL,+52:35:18,+019:43:33,87, SS3,1978-11-01,2022-09-30,26,Miroslaw Mietus
240148,2021,50.53481894150418,25141,PLOCK,PL,+52:35:18,+019:43:33,87, SS3,1978-11-01,2022-09-30,26,Miroslaw Mietus
240160,2018,18.753246753246753,25142,RESKO-SMOLSKO,PL,+53:46:18,+015:24:53,66, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240160,2019,49.45970149253731,25142,RESKO-SMOLSKO,PL,+53:46:18,+015:24:53,66, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240160,2020,53.764367816091955,25142,RESKO-SMOLSKO,PL,+53:46:18,+015:24:53,66, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240160,2021,47.61494252873563,25142,RESKO-SMOLSKO,PL,+53:46:18,+015:24:53,66, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240196,2017,44.463013698630135,25145,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240196,2018,59.64109589041096,25145,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240196,2019,55.320547945205476,25145,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240196,2020,51.64207650273224,25145,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240196,2021,51.85753424657534,25145,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240220,2017,49.364383561643834,25147,KOLOBRZEG-DZWIRZYNO,PL,+54:09:30,+015:23:20,1, SS3,1961-01-01,2022-09-30,26,Miroslaw Mietus
240220,2018,62.81917808219178,25147,KOLOBRZEG-DZWIRZYNO,PL,+54:09:30,+015:23:20,1, SS3,1961-01-01,2022-09-30,26,Miroslaw Mietus
240220,2019,54.512328767123286,25147,KOLOBRZEG-DZWIRZYNO,PL,+54:09:30,+015:23:20,1, SS3,1961-01-01,2022-09-30,26,Miroslaw Mietus
240220,2020,55.89344262295082,25147,KOLOBRZEG-DZWIRZYNO,PL,+54:09:30,+015:23:20,1, SS3,1961-01-01,2022-09-30,26,Miroslaw Mietus
240220,2021,50.3041095890411,25147,KOLOBRZEG-DZWIRZYNO,PL,+54:09:30,+015:23:20,1, SS3,1961-01-01,2022-09-30,26,Miroslaw Mietus
240232,2017,50.87671232876713,25148,USTKA,PL,+54:35:18,+016:51:15,18, SS3,1972-06-01,2022-09-30,26,Miroslaw Mietus
240232,2018,62.76712328767123,25148,USTKA,PL,+54:35:18,+016:51:15,18, SS3,1972-06-01,2022-09-30,26,Miroslaw Mietus
240232,2019,57.1945205479452,25148,USTKA,PL,+54:35:18,+016:51:15,18, SS3,1972-06-01,2022-09-30,26,Miroslaw Mietus
240232,2020,57.442622950819676,25148,USTKA,PL,+54:35:18,+016:51:15,18, SS3,1972-06-01,2022-09-30,26,Miroslaw Mietus
240232,2021,55.02465753424657,25148,USTKA,PL,+54:35:18,+016:51:15,18, SS3,1972-06-01,2022-09-30,26,Miroslaw Mietus
240244,2017,18.803370786516854,25149,LEBORK,PL,+54:33:11,+017:43:25,45, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240244,2018,59.38375350140056,25149,LEBORK,PL,+54:33:11,+017:43:25,45, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240244,2019,53.88642659279778,25149,LEBORK,PL,+54:33:11,+017:43:25,45, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240244,2020,52.96994535519126,25149,LEBORK,PL,+54:33:11,+017:43:25,45, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240244,2021,51.98571428571429,25149,LEBORK,PL,+54:33:11,+017:43:25,45, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240268,2017,48.21643835616438,25151,ELBLAG-MILEJEWO,PL,+54:13:23,+019:32:37,151, SS3,1973-04-01,2022-09-30,26,Miroslaw Mietus
240268,2018,63.635616438356166,25151,ELBLAG-MILEJEWO,PL,+54:13:23,+019:32:37,151, SS3,1973-04-01,2022-09-30,26,Miroslaw Mietus
240268,2019,57.43013698630137,25151,ELBLAG-MILEJEWO,PL,+54:13:23,+019:32:37,151, SS3,1973-04-01,2022-09-30,26,Miroslaw Mietus
240268,2020,56.15300546448088,25151,ELBLAG-MILEJEWO,PL,+54:13:23,+019:32:37,151, SS3,1973-04-01,2022-09-30,26,Miroslaw Mietus
240268,2021,56.512328767123286,25151,ELBLAG-MILEJEWO,PL,+54:13:23,+019:32:37,151, SS3,1973-04-01,2022-09-30,26,Miroslaw Mietus
240291,2017,47.97534246575343,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240291,2018,61.69315068493151,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240291,2019,54.12876712328767,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240291,2020,54.060109289617486,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240291,2021,50.28219178082192,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240351,2017,45.07734806629834,8943,PILA,PL,+53:07:48,+016:45:00,72, SS3,1972-10-01,2022-09-30,26,Miroslaw Mietus
240351,2018,60.112947658402206,8943,PILA,PL,+53:07:48,+016:45:00,72, SS3,1972-10-01,2022-09-30,26,Miroslaw Mietus
240351,2019,51.983561643835614,8943,PILA,PL,+53:07:48,+016:45:00,72, SS3,1972-10-01,2022-09-30,26,Miroslaw Mietus
240351,2020,52.90983606557377,8943,PILA,PL,+53:07:48,+016:45:00,72, SS3,1972-10-01,2022-09-30,26,Miroslaw Mietus
240351,2021,48.43287671232877,8943,PILA,PL,+53:07:48,+016:45:00,72, SS3,1972-10-01,2022-09-30,26,Miroslaw Mietus
240363,2017,42.18732782369146,2023,KETRZYN,PL,+54:04:12,+021:22:12,108, SS3,1972-07-01,2022-09-30,26,Miroslaw Mietus
240363,2018,57.18630136986302,2023,KETRZYN,PL,+54:04:12,+021:22:12,108, SS3,1972-07-01,2022-09-30,26,Miroslaw Mietus
240363,2019,52.93972602739726,2023,KETRZYN,PL,+54:04:12,+021:22:12,108, SS3,1972-07-01,2022-09-30,26,Miroslaw Mietus
240363,2020,49.55191256830601,2023,KETRZYN,PL,+54:04:12,+021:22:12,108, SS3,1972-07-01,2022-09-30,26,Miroslaw Mietus
240363,2021,48.227397260273975,2023,KETRZYN,PL,+54:04:12,+021:22:12,108, SS3,1972-07-01,2022-09-30,26,Miroslaw Mietus
240395,2017,48.680440771349865,8959,KOZIENCE,PL,+51:33:53,+021:32:34,123, SS3,1977-01-01,2022-09-30,26,Miroslaw Mietus
240395,2018,61.4986301369863,8959,KOZIENCE,PL,+51:33:53,+021:32:34,123, SS3,1977-01-01,2022-09-30,26,Miroslaw Mietus
240395,2019,57.709944751381215,8959,KOZIENCE,PL,+51:33:53,+021:32:34,123, SS3,1977-01-01,2022-09-30,26,Miroslaw Mietus
240395,2020,56.21311475409836,8959,KOZIENCE,PL,+51:33:53,+021:32:34,123, SS3,1977-01-01,2022-09-30,26,Miroslaw Mietus
240395,2021,54.45205479452055,8959,KOZIENCE,PL,+51:33:53,+021:32:34,123, SS3,1977-01-01,2022-09-30,26,Miroslaw Mietus
240760,2017,42.16713091922006,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240760,2018,51.94722222222222,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240760,2019,56.45479452054794,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240760,2020,54.959016393442624,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240760,2021,53.68219178082192,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240761,2017,46.94794520547945,1383,ZAKOPANE,PL,+49:18:00,+019:57:00,857, SS3,1961-01-01,2022-09-30,26,Miroslaw Mietus
240761,2018,47.728767123287675,1383,ZAKOPANE,PL,+49:18:00,+019:57:00,857, SS3,1961-01-01,2022-09-30,26,Miroslaw Mietus
240761,2019,49.50958904109589,1383,ZAKOPANE,PL,+49:18:00,+019:57:00,857, SS3,1961-01-01,2022-09-30,26,Miroslaw Mietus
240761,2020,51.967213114754095,1383,ZAKOPANE,PL,+49:18:00,+019:57:00,857, SS3,1961-01-01,2022-09-30,26,Miroslaw Mietus
240761,2021,49.56164383561644,1383,ZAKOPANE,PL,+49:18:00,+019:57:00,857, SS3,1961-01-01,2022-09-30,26,Miroslaw Mietus
240762,2017,50.202739726027396,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240762,2018,56.347945205479455,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240762,2019,57.78670360110803,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240762,2020,57.37465564738292,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240762,2021,55.39393939393939,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240763,2017,52.3013698630137,933,LESKO,PL,+49:27:59,+022:20:30,420, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240763,2018,51.54419889502763,933,LESKO,PL,+49:27:59,+022:20:30,420, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240763,2019,51.1945205479452,933,LESKO,PL,+49:27:59,+022:20:30,420, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240763,2020,51.75136612021858,933,LESKO,PL,+49:27:59,+022:20:30,420, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240763,2021,48.42465753424658,933,LESKO,PL,+49:27:59,+022:20:30,420, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240764,2017,47.86027397260274,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, SS3,1969-02-01,2022-09-30,26,Miroslaw Mietus
240764,2018,54.66027397260274,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, SS3,1969-02-01,2022-09-30,26,Miroslaw Mietus
240764,2019,55.81369863013698,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, SS3,1969-02-01,2022-09-30,26,Miroslaw Mietus
240764,2020,53.30874316939891,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, SS3,1969-02-01,2022-09-30,26,Miroslaw Mietus
240764,2021,49.59452054794521,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, SS3,1969-02-01,2022-09-30,26,Miroslaw Mietus
240765,2017,54.06318681318681,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240765,2018,59.87945205479452,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240765,2019,60.465753424657535,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240765,2020,59.08743169398907,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240765,2021,56.23013698630137,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240766,2017,47.131506849315066,2038,KIELCE,PL,+50:48:38,+020:41:32,260, SS3,1966-03-14,2022-09-30,26,Miroslaw Mietus
240766,2018,57.47945205479452,2038,KIELCE,PL,+50:48:38,+020:41:32,260, SS3,1966-03-14,2022-09-30,26,Miroslaw Mietus
240766,2019,55.345205479452055,2038,KIELCE,PL,+50:48:38,+020:41:32,260, SS3,1966-03-14,2022-09-30,26,Miroslaw Mietus
240766,2020,53.64754098360656,2038,KIELCE,PL,+50:48:38,+020:41:32,260, SS3,1966-03-14,2022-09-30,26,Miroslaw Mietus
240766,2021,50.33972602739726,2038,KIELCE,PL,+50:48:38,+020:41:32,260, SS3,1966-03-14,2022-09-30,26,Miroslaw Mietus
240768,2017,49.463013698630135,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, SS3,1966-04-01,2022-09-30,26,Miroslaw Mietus
240768,2018,60.71506849315068,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, SS3,1966-04-01,2022-09-30,26,Miroslaw Mietus
240768,2019,59.23561643835617,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, SS3,1966-04-01,2022-09-30,26,Miroslaw Mietus
240768,2020,57.78415300546448,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, SS3,1966-04-01,2022-09-30,26,Miroslaw Mietus
240768,2021,50.915068493150685,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, SS3,1966-04-01,2022-09-30,26,Miroslaw Mietus
240769,2017,49.47443181818182,923,LESZNO,PL,+51:50:08,+016:32:05,91, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240769,2018,61.53462603878116,923,LESZNO,PL,+51:50:08,+016:32:05,91, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240769,2019,58.81095890410959,923,LESZNO,PL,+51:50:08,+016:32:05,91, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240769,2020,57.904371584699454,923,LESZNO,PL,+51:50:08,+016:32:05,91, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240769,2021,50.38630136986301,923,LESZNO,PL,+51:50:08,+016:32:05,91, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240770,2017,51.67123287671233,210,WROCLAW,PL,+51:06:12,+016:54:00,120, SS3,1973-07-04,2022-09-30,26,Miroslaw Mietus
240770,2018,63.81369863013698,210,WROCLAW,PL,+51:06:12,+016:54:00,120, SS3,1973-07-04,2022-09-30,26,Miroslaw Mietus
240770,2019,59.75890410958904,210,WROCLAW,PL,+51:06:12,+016:54:00,120, SS3,1973-07-04,2022-09-30,26,Miroslaw Mietus
240770,2020,59.03551912568306,210,WROCLAW,PL,+51:06:12,+016:54:00,120, SS3,1973-07-04,2022-09-30,26,Miroslaw Mietus
240770,2021,53.827397260273976,210,WROCLAW,PL,+51:06:12,+016:54:00,120, SS3,1973-07-04,2022-09-30,26,Miroslaw Mietus
240771,2017,43.24383561643835,2032,KALISZ,PL,+51:43:48,+018:04:48,140, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240771,2018,58.00821917808219,2032,KALISZ,PL,+51:43:48,+018:04:48,140, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240771,2019,52.85205479452055,2032,KALISZ,PL,+51:43:48,+018:04:48,140, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240771,2020,50.53963414634146,2032,KALISZ,PL,+51:43:48,+018:04:48,140, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240771,2021,48.89078498293515,2032,KALISZ,PL,+51:43:48,+018:04:48,140, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240772,2017,46.56629834254144,924,WIELUN,PL,+51:12:37,+018:33:24,199, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240772,2018,58.502747252747255,924,WIELUN,PL,+51:12:37,+018:33:24,199, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240772,2019,55.2,924,WIELUN,PL,+51:12:37,+018:33:24,199, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240772,2020,47.86774193548387,924,WIELUN,PL,+51:12:37,+018:33:24,199, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240772,2021,48.88219178082192,924,WIELUN,PL,+51:12:37,+018:33:24,199, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240773,2017,46.14520547945205,2033,LODZ,PL,+51:43:48,+019:24:00,187, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240773,2018,59.446575342465756,2033,LODZ,PL,+51:43:48,+019:24:00,187, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240773,2019,56.56438356164384,2033,LODZ,PL,+51:43:48,+019:24:00,187, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240773,2020,53.27049180327869,2033,LODZ,PL,+51:43:48,+019:24:00,187, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240773,2021,52.37260273972603,2033,LODZ,PL,+51:43:48,+019:24:00,187, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240774,2017,50.35616438356164,926,SULEJOW,PL,+51:21:12,+019:51:59,188, SS3,1974-08-01,2022-09-30,26,Miroslaw Mietus
240774,2018,60.583561643835615,926,SULEJOW,PL,+51:21:12,+019:51:59,188, SS3,1974-08-01,2022-09-30,26,Miroslaw Mietus
240774,2019,58.726027397260275,926,SULEJOW,PL,+51:21:12,+019:51:59,188, SS3,1974-08-01,2022-09-30,26,Miroslaw Mietus
240774,2020,55.80054644808743,926,SULEJOW,PL,+51:21:12,+019:51:59,188, SS3,1974-08-01,2022-09-30,26,Miroslaw Mietus
240774,2021,54.12328767123287,926,SULEJOW,PL,+51:21:12,+019:51:59,188, SS3,1974-08-01,2022-09-30,26,Miroslaw Mietus
240775,2017,47.797260273972604,927,WLODAWA,PL,+51:33:12,+023:31:46,177, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240775,2018,55.104109589041094,927,WLODAWA,PL,+51:33:12,+023:31:46,177, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
