SOUID,DATE,QQ,STAID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
240029,2017,127.02209944751381,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, QQ6,1972-06-01,2022-09-30,26,Miroslaw Mietus
240029,2018,137.29608938547486,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, QQ6,1972-06-01,2022-09-30,26,Miroslaw Mietus
240029,2019,135.55096418732782,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, QQ6,1972-06-01,2022-09-30,26,Miroslaw Mietus
240029,2020,134.85753424657534,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, QQ6,1972-06-01,2022-09-30,26,Miroslaw Mietus
240029,2021,55.9,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, QQ6,1972-06-01,2022-09-30,26,Miroslaw Mietus
240041,2017,120.03693181818181,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240041,2018,133.3314606741573,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240041,2019,127.33526011560694,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240041,2020,129.9494382022472,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240041,2021,56.119565217391305,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240065,2017,123.47714285714285,25134,TARNOW,PL,+50:01:48,+020:59:04,207, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240065,2018,133.67977528089887,25134,TARNOW,PL,+50:01:48,+020:59:04,207, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240065,2019,132.8640226628895,25134,TARNOW,PL,+50:01:48,+020:59:04,207, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240065,2020,133.1340782122905,25134,TARNOW,PL,+50:01:48,+020:59:04,207, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240065,2021,58.19565217391305,25134,TARNOW,PL,+50:01:48,+020:59:04,207, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240077,2017,132.42265193370164,25135,SANDOMIERZ,PL,+50:41:48,+021:42:57,143, QQ6,1972-10-08,2022-09-30,26,Miroslaw Mietus
240077,2018,145.46575342465752,25135,SANDOMIERZ,PL,+50:41:48,+021:42:57,143, QQ6,1972-10-08,2022-09-30,26,Miroslaw Mietus
240077,2019,143.36666666666667,25135,SANDOMIERZ,PL,+50:41:48,+021:42:57,143, QQ6,1972-10-08,2022-09-30,26,Miroslaw Mietus
240077,2020,140.1098901098901,25135,SANDOMIERZ,PL,+50:41:48,+021:42:57,143, QQ6,1972-10-08,2022-09-30,26,Miroslaw Mietus
240077,2021,58.880434782608695,25135,SANDOMIERZ,PL,+50:41:48,+021:42:57,143, QQ6,1972-10-08,2022-09-30,26,Miroslaw Mietus
240113,2017,120.09705882352941,25138,LEGNICA,PL,+51:11:33,+016:12:27,134, QQ6,1976-06-01,2022-09-30,26,Miroslaw Mietus
240113,2018,133.75294117647059,25138,LEGNICA,PL,+51:11:33,+016:12:27,134, QQ6,1976-06-01,2022-09-30,26,Miroslaw Mietus
240113,2019,127.04464285714286,25138,LEGNICA,PL,+51:11:33,+016:12:27,134, QQ6,1976-06-01,2022-09-30,26,Miroslaw Mietus
240113,2020,133.8619718309859,25138,LEGNICA,PL,+51:11:33,+016:12:27,134, QQ6,1976-06-01,2022-09-30,26,Miroslaw Mietus
240113,2021,54.68478260869565,25138,LEGNICA,PL,+51:11:33,+016:12:27,134, QQ6,1976-06-01,2022-09-30,26,Miroslaw Mietus
240125,2017,118.69914040114614,25139,LUBLIN-RADAWIEC,PL,+51:13:01,+022:23:37,228, QQ6,1976-06-01,2022-09-30,26,Miroslaw Mietus
240125,2018,128.67732558139534,25139,LUBLIN-RADAWIEC,PL,+51:13:01,+022:23:37,228, QQ6,1976-06-01,2022-09-30,26,Miroslaw Mietus
240125,2019,148.4368932038835,25139,LUBLIN-RADAWIEC,PL,+51:13:01,+022:23:37,228, QQ6,1976-06-01,2022-09-30,26,Miroslaw Mietus
240125,2020,138.3222748815166,25139,LUBLIN-RADAWIEC,PL,+51:13:01,+022:23:37,228, QQ6,1976-06-01,2022-09-30,26,Miroslaw Mietus
240125,2021,53.641304347826086,25139,LUBLIN-RADAWIEC,PL,+51:13:01,+022:23:37,228, QQ6,1976-06-01,2022-09-30,26,Miroslaw Mietus
240137,2017,124.28693181818181,25140,KOLO,PL,+52:12:01,+018:39:41,113, QQ6,1972-06-01,2020-12-28,26,Miroslaw Mietus
240137,2017,124.28693181818181,206,KOLO,PL,+52:12:01,+018:39:41,113, QQ6,1972-06-01,2020-12-28,26,Miroslaw Mietus
240137,2018,136.01657458563537,25140,KOLO,PL,+52:12:01,+018:39:41,113, QQ6,1972-06-01,2020-12-28,26,Miroslaw Mietus
240137,2018,136.01657458563537,206,KOLO,PL,+52:12:01,+018:39:41,113, QQ6,1972-06-01,2020-12-28,26,Miroslaw Mietus
240137,2019,130.67134831460675,25140,KOLO,PL,+52:12:01,+018:39:41,113, QQ6,1972-06-01,2020-12-28,26,Miroslaw Mietus
240137,2019,130.67134831460675,206,KOLO,PL,+52:12:01,+018:39:41,113, QQ6,1972-06-01,2020-12-28,26,Miroslaw Mietus
240137,2020,141.96859903381642,25140,KOLO,PL,+52:12:01,+018:39:41,113, QQ6,1972-06-01,2020-12-28,26,Miroslaw Mietus
240137,2020,141.96859903381642,206,KOLO,PL,+52:12:01,+018:39:41,113, QQ6,1972-06-01,2020-12-28,26,Miroslaw Mietus
240149,2017,109.36417910447761,25141,PLOCK,PL,+52:35:18,+019:43:33,87, QQ6,1978-11-01,2022-09-30,26,Miroslaw Mietus
240149,2018,129.86350148367953,25141,PLOCK,PL,+52:35:18,+019:43:33,87, QQ6,1978-11-01,2022-09-30,26,Miroslaw Mietus
240149,2019,122.04761904761905,25141,PLOCK,PL,+52:35:18,+019:43:33,87, QQ6,1978-11-01,2022-09-30,26,Miroslaw Mietus
240149,2020,124.99122807017544,25141,PLOCK,PL,+52:35:18,+019:43:33,87, QQ6,1978-11-01,2022-09-30,26,Miroslaw Mietus
240149,2021,44.619565217391305,25141,PLOCK,PL,+52:35:18,+019:43:33,87, QQ6,1978-11-01,2022-09-30,26,Miroslaw Mietus
240161,2018,40.77358490566038,25142,RESKO-SMOLSKO,PL,+53:46:18,+015:24:53,66, QQ6,1966-01-04,2022-09-30,26,Miroslaw Mietus
240161,2019,118.45394736842105,25142,RESKO-SMOLSKO,PL,+53:46:18,+015:24:53,66, QQ6,1966-01-04,2022-09-30,26,Miroslaw Mietus
240161,2020,133.88064516129032,25142,RESKO-SMOLSKO,PL,+53:46:18,+015:24:53,66, QQ6,1966-01-04,2022-09-30,26,Miroslaw Mietus
240161,2021,38.2906976744186,25142,RESKO-SMOLSKO,PL,+53:46:18,+015:24:53,66, QQ6,1966-01-04,2022-09-30,26,Miroslaw Mietus
240197,2017,110.66666666666667,8945,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240197,2017,110.66666666666667,25145,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240197,2018,128.92429022082018,8945,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240197,2018,128.92429022082018,25145,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240197,2019,126.21556886227545,8945,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240197,2019,126.21556886227545,25145,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240197,2020,126.95522388059702,8945,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240197,2020,126.95522388059702,25145,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240197,2021,39.380434782608695,8945,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240197,2021,39.380434782608695,25145,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240221,2017,122.15342465753425,25147,KOLOBRZEG-DZWIRZYNO,PL,+54:09:30,+015:23:20,1, QQ6,1961-01-02,2022-09-30,26,Miroslaw Mietus
240221,2018,139.91232876712328,25147,KOLOBRZEG-DZWIRZYNO,PL,+54:09:30,+015:23:20,1, QQ6,1961-01-02,2022-09-30,26,Miroslaw Mietus
240221,2019,131.0191780821918,25147,KOLOBRZEG-DZWIRZYNO,PL,+54:09:30,+015:23:20,1, QQ6,1961-01-02,2022-09-30,26,Miroslaw Mietus
240221,2020,131.9262295081967,25147,KOLOBRZEG-DZWIRZYNO,PL,+54:09:30,+015:23:20,1, QQ6,1961-01-02,2022-09-30,26,Miroslaw Mietus
240221,2021,35.641304347826086,25147,KOLOBRZEG-DZWIRZYNO,PL,+54:09:30,+015:23:20,1, QQ6,1961-01-02,2022-09-30,26,Miroslaw Mietus
240233,2017,123.99375,25148,USTKA,PL,+54:35:18,+016:51:15,18, QQ6,1972-06-01,2022-09-30,26,Miroslaw Mietus
240233,2018,135.9731543624161,25148,USTKA,PL,+54:35:18,+016:51:15,18, QQ6,1972-06-01,2022-09-30,26,Miroslaw Mietus
240233,2019,127.96116504854369,25148,USTKA,PL,+54:35:18,+016:51:15,18, QQ6,1972-06-01,2022-09-30,26,Miroslaw Mietus
240233,2020,131.61919504643961,25148,USTKA,PL,+54:35:18,+016:51:15,18, QQ6,1972-06-01,2022-09-30,26,Miroslaw Mietus
240233,2021,34.04347826086956,25148,USTKA,PL,+54:35:18,+016:51:15,18, QQ6,1972-06-01,2022-09-30,26,Miroslaw Mietus
240245,2017,71.15030674846626,25149,LEBORK,PL,+54:33:11,+017:43:25,45, QQ6,1966-01-05,2022-09-30,26,Miroslaw Mietus
240245,2018,132.97029702970298,25149,LEBORK,PL,+54:33:11,+017:43:25,45, QQ6,1966-01-05,2022-09-30,26,Miroslaw Mietus
240245,2019,122.91373801916933,25149,LEBORK,PL,+54:33:11,+017:43:25,45, QQ6,1966-01-05,2022-09-30,26,Miroslaw Mietus
240245,2020,127.15501519756839,25149,LEBORK,PL,+54:33:11,+017:43:25,45, QQ6,1966-01-05,2022-09-30,26,Miroslaw Mietus
240245,2021,36.40449438202247,25149,LEBORK,PL,+54:33:11,+017:43:25,45, QQ6,1966-01-05,2022-09-30,26,Miroslaw Mietus
240269,2017,119.11506849315069,25151,ELBLAG-MILEJEWO,PL,+54:13:23,+019:32:37,151, QQ6,1973-04-01,2022-09-30,26,Miroslaw Mietus
240269,2018,138.22465753424657,25151,ELBLAG-MILEJEWO,PL,+54:13:23,+019:32:37,151, QQ6,1973-04-01,2022-09-30,26,Miroslaw Mietus
240269,2019,131.76164383561644,25151,ELBLAG-MILEJEWO,PL,+54:13:23,+019:32:37,151, QQ6,1973-04-01,2022-09-30,26,Miroslaw Mietus
240269,2020,129.80601092896174,25151,ELBLAG-MILEJEWO,PL,+54:13:23,+019:32:37,151, QQ6,1973-04-01,2022-09-30,26,Miroslaw Mietus
240269,2021,39.83695652173913,25151,ELBLAG-MILEJEWO,PL,+54:13:23,+019:32:37,151, QQ6,1973-04-01,2022-09-30,26,Miroslaw Mietus
240292,2017,117.43465045592706,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, QQ6,1966-01-04,2022-09-30,26,Miroslaw Mietus
240292,2018,134.328025477707,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, QQ6,1966-01-04,2022-09-30,26,Miroslaw Mietus
240292,2019,69.875,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, QQ6,1966-01-04,2022-09-30,26,Miroslaw Mietus
240292,2020,128.14501510574019,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, QQ6,1966-01-04,2022-09-30,26,Miroslaw Mietus
240292,2021,36.130434782608695,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, QQ6,1966-01-04,2022-09-30,26,Miroslaw Mietus
240352,2017,112.70359281437126,8943,PILA,PL,+53:07:48,+016:45:00,72, QQ6,1972-10-01,2022-09-30,26,Miroslaw Mietus
240352,2018,137.0,8943,PILA,PL,+53:07:48,+016:45:00,72, QQ6,1972-10-01,2022-09-30,26,Miroslaw Mietus
240352,2019,123.48367952522256,8943,PILA,PL,+53:07:48,+016:45:00,72, QQ6,1972-10-01,2022-09-30,26,Miroslaw Mietus
240352,2020,131.37719298245614,8943,PILA,PL,+53:07:48,+016:45:00,72, QQ6,1972-10-01,2022-09-30,26,Miroslaw Mietus
240352,2021,40.630434782608695,8943,PILA,PL,+53:07:48,+016:45:00,72, QQ6,1972-10-01,2022-09-30,26,Miroslaw Mietus
240364,2017,107.77710843373494,2023,KETRZYN,PL,+54:04:12,+021:22:12,108, QQ6,1972-07-01,2022-09-30,26,Miroslaw Mietus
240364,2018,123.66246056782335,2023,KETRZYN,PL,+54:04:12,+021:22:12,108, QQ6,1972-07-01,2022-09-30,26,Miroslaw Mietus
240364,2019,123.81570996978851,2023,KETRZYN,PL,+54:04:12,+021:22:12,108, QQ6,1972-07-01,2022-09-30,26,Miroslaw Mietus
240364,2020,121.90690690690691,2023,KETRZYN,PL,+54:04:12,+021:22:12,108, QQ6,1972-07-01,2022-09-30,26,Miroslaw Mietus
240364,2021,39.27173913043478,2023,KETRZYN,PL,+54:04:12,+021:22:12,108, QQ6,1972-07-01,2022-09-30,26,Miroslaw Mietus
240396,2017,118.13793103448276,8959,KOZIENCE,PL,+51:33:53,+021:32:34,123, QQ6,1977-01-01,2022-09-30,26,Miroslaw Mietus
240396,2018,131.24489795918367,8959,KOZIENCE,PL,+51:33:53,+021:32:34,123, QQ6,1977-01-01,2022-09-30,26,Miroslaw Mietus
240396,2019,128.39067055393585,8959,KOZIENCE,PL,+51:33:53,+021:32:34,123, QQ6,1977-01-01,2022-09-30,26,Miroslaw Mietus
240396,2020,131.0308988764045,8959,KOZIENCE,PL,+51:33:53,+021:32:34,123, QQ6,1977-01-01,2022-09-30,26,Miroslaw Mietus
240396,2021,51.46739130434783,8959,KOZIENCE,PL,+51:33:53,+021:32:34,123, QQ6,1977-01-01,2022-09-30,26,Miroslaw Mietus
240802,2017,115.38571428571429,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240802,2018,128.27635327635326,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240802,2019,128.62536023054756,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240802,2020,130.08988764044943,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240802,2021,61.380434782608695,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240803,2017,21.6,1383,ZAKOPANE,PL,+49:18:00,+019:57:00,857, QQ6,1961-01-01,2022-09-30,26,Miroslaw Mietus
240803,2018,47.0,1383,ZAKOPANE,PL,+49:18:00,+019:57:00,857, QQ6,1961-01-01,2022-09-30,26,Miroslaw Mietus
240803,2019,91.18181818181819,1383,ZAKOPANE,PL,+49:18:00,+019:57:00,857, QQ6,1961-01-01,2022-09-30,26,Miroslaw Mietus
240803,2020,127.46111111111111,1383,ZAKOPANE,PL,+49:18:00,+019:57:00,857, QQ6,1961-01-01,2022-09-30,26,Miroslaw Mietus
240803,2021,66.81521739130434,1383,ZAKOPANE,PL,+49:18:00,+019:57:00,857, QQ6,1961-01-01,2022-09-30,26,Miroslaw Mietus
240804,2017,123.41193181818181,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240804,2018,133.81690140845072,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240804,2019,130.70809248554914,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240804,2020,133.72752808988764,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240804,2021,63.79347826086956,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240805,2017,125.02011494252874,933,LESKO,PL,+49:27:59,+022:20:30,420, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240805,2018,126.6278409090909,933,LESKO,PL,+49:27:59,+022:20:30,420, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240805,2019,126.3887323943662,933,LESKO,PL,+49:27:59,+022:20:30,420, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240805,2020,129.53443526170798,933,LESKO,PL,+49:27:59,+022:20:30,420, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240805,2021,60.81521739130435,933,LESKO,PL,+49:27:59,+022:20:30,420, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240806,2017,119.26589595375722,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, QQ6,1969-02-01,2022-09-30,26,Miroslaw Mietus
240806,2018,134.30422535211267,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, QQ6,1969-02-01,2022-09-30,26,Miroslaw Mietus
240806,2019,127.56104651162791,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, QQ6,1969-02-01,2022-09-30,26,Miroslaw Mietus
240806,2020,129.37853107344634,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, QQ6,1969-02-01,2022-09-30,26,Miroslaw Mietus
240806,2021,54.41304347826087,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, QQ6,1969-02-01,2022-09-30,26,Miroslaw Mietus
240807,2017,127.94252873563218,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240807,2018,139.0028409090909,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240807,2019,132.55393586005832,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240807,2020,135.69971671388103,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240807,2021,59.31521739130435,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240808,2017,126.46849315068494,2038,KIELCE,PL,+50:48:38,+020:41:32,260, QQ6,1966-03-14,2022-09-30,26,Miroslaw Mietus
240808,2018,139.73972602739727,2038,KIELCE,PL,+50:48:38,+020:41:32,260, QQ6,1966-03-14,2022-09-30,26,Miroslaw Mietus
240808,2019,136.5972602739726,2038,KIELCE,PL,+50:48:38,+020:41:32,260, QQ6,1966-03-14,2022-09-30,26,Miroslaw Mietus
240808,2020,129.61904761904762,2038,KIELCE,PL,+50:48:38,+020:41:32,260, QQ6,1966-03-14,2022-09-30,26,Miroslaw Mietus
240808,2021,54.19565217391305,2038,KIELCE,PL,+50:48:38,+020:41:32,260, QQ6,1966-03-14,2022-09-30,26,Miroslaw Mietus
240810,2017,116.39244186046511,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, QQ6,1966-04-01,2022-09-30,26,Miroslaw Mietus
240810,2018,133.17241379310346,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, QQ6,1966-04-01,2022-09-30,26,Miroslaw Mietus
240810,2019,128.33236151603498,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, QQ6,1966-04-01,2022-09-30,26,Miroslaw Mietus
240810,2020,132.9494382022472,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, QQ6,1966-04-01,2022-09-30,26,Miroslaw Mietus
240810,2021,48.47826086956522,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, QQ6,1966-04-01,2022-09-30,26,Miroslaw Mietus
240811,2017,120.10714285714286,923,LESZNO,PL,+51:50:08,+016:32:05,91, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240811,2018,133.79360465116278,923,LESZNO,PL,+51:50:08,+016:32:05,91, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240811,2019,126.13782991202346,923,LESZNO,PL,+51:50:08,+016:32:05,91, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240811,2020,133.98603351955308,923,LESZNO,PL,+51:50:08,+016:32:05,91, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240811,2021,48.84782608695652,923,LESZNO,PL,+51:50:08,+016:32:05,91, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240812,2017,122.54466858789625,210,WROCLAW,PL,+51:06:12,+016:54:00,120, QQ6,1973-07-05,2022-09-30,26,Miroslaw Mietus
240812,2018,136.34402332361515,210,WROCLAW,PL,+51:06:12,+016:54:00,120, QQ6,1973-07-05,2022-09-30,26,Miroslaw Mietus
240812,2019,128.3,210,WROCLAW,PL,+51:06:12,+016:54:00,120, QQ6,1973-07-05,2022-09-30,26,Miroslaw Mietus
240812,2020,135.22128851540617,210,WROCLAW,PL,+51:06:12,+016:54:00,120, QQ6,1973-07-05,2022-09-30,26,Miroslaw Mietus
240812,2021,55.28260869565217,210,WROCLAW,PL,+51:06:12,+016:54:00,120, QQ6,1973-07-05,2022-09-30,26,Miroslaw Mietus
240813,2017,110.7008547008547,2032,KALISZ,PL,+51:43:48,+018:04:48,140, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240813,2018,127.6376811594203,2032,KALISZ,PL,+51:43:48,+018:04:48,140, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240813,2019,122.17528735632185,2032,KALISZ,PL,+51:43:48,+018:04:48,140, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240813,2020,117.89473684210526,2032,KALISZ,PL,+51:43:48,+018:04:48,140, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240813,2021,20.75862068965517,2032,KALISZ,PL,+51:43:48,+018:04:48,140, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
