SOUID,DATE,PP,STAID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
107348,2021,10158.092896174863,209,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107349,2017,10155.75956284153,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107349,2018,10170.726775956284,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107349,2019,10151.31693989071,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107349,2020,10165.75956284153,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107349,2021,10159.464480874318,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107350,2017,10156.551912568306,922,TERESPOL,PL,+52:04:43,+023:37:19,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107350,2018,10171.83606557377,922,TERESPOL,PL,+52:04:43,+023:37:19,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107350,2019,10152.77049180328,922,TERESPOL,PL,+52:04:43,+023:37:19,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107350,2020,10167.005464480875,922,TERESPOL,PL,+52:04:43,+023:37:19,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107350,2021,10160.142076502732,922,TERESPOL,PL,+52:04:43,+023:37:19,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107351,2017,10162.185792349726,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107351,2018,10165.437158469946,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107351,2019,10148.27868852459,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107351,2020,10162.573770491803,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107351,2021,10160.513661202185,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107352,2017,10163.120218579235,923,LESZNO,PL,+51:50:08,+016:32:05,91, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107352,2018,10166.07650273224,923,LESZNO,PL,+51:50:08,+016:32:05,91, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107352,2019,10149.472527472528,923,LESZNO,PL,+51:50:08,+016:32:05,91, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107352,2020,10163.530054644809,923,LESZNO,PL,+51:50:08,+016:32:05,91, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107352,2021,10160.661202185793,923,LESZNO,PL,+51:50:08,+016:32:05,91, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107353,2017,10166.628415300547,210,WROCLAW,PL,+51:06:12,+016:54:00,120, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107353,2018,10167.349726775956,210,WROCLAW,PL,+51:06:12,+016:54:00,120, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107353,2019,10151.754098360656,210,WROCLAW,PL,+51:06:12,+016:54:00,120, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107353,2020,10167.120218579235,210,WROCLAW,PL,+51:06:12,+016:54:00,120, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107353,2021,10164.207650273223,210,WROCLAW,PL,+51:06:12,+016:54:00,120, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107354,2017,10164.094444444445,924,WIELUN,PL,+51:12:37,+018:33:24,199, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107354,2018,10168.573770491803,924,WIELUN,PL,+51:12:37,+018:33:24,199, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107354,2019,10151.688524590163,924,WIELUN,PL,+51:12:37,+018:33:24,199, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107354,2020,10167.207650273223,924,WIELUN,PL,+51:12:37,+018:33:24,199, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107354,2021,10164.22950819672,924,WIELUN,PL,+51:12:37,+018:33:24,199, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107355,2017,10163.207650273223,926,SULEJOW,PL,+51:21:12,+019:51:59,188, PP2,1966-01-06,2022-09-30,26,Miroslaw Mietus
107355,2018,10170.540983606557,926,SULEJOW,PL,+51:21:12,+019:51:59,188, PP2,1966-01-06,2022-09-30,26,Miroslaw Mietus
107355,2019,10152.284153005465,926,SULEJOW,PL,+51:21:12,+019:51:59,188, PP2,1966-01-06,2022-09-30,26,Miroslaw Mietus
107355,2020,10168.508196721312,926,SULEJOW,PL,+51:21:12,+019:51:59,188, PP2,1966-01-06,2022-09-30,26,Miroslaw Mietus
107355,2021,10163.464480874318,926,SULEJOW,PL,+51:21:12,+019:51:59,188, PP2,1966-01-06,2022-09-30,26,Miroslaw Mietus
107356,2017,10159.486338797815,927,WLODAWA,PL,+51:33:12,+023:31:46,177, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107356,2018,10172.262295081968,927,WLODAWA,PL,+51:33:12,+023:31:46,177, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107356,2019,10154.300546448087,927,WLODAWA,PL,+51:33:12,+023:31:46,177, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107356,2020,10169.169398907105,927,WLODAWA,PL,+51:33:12,+023:31:46,177, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107356,2021,10162.010928961749,927,WLODAWA,PL,+51:33:12,+023:31:46,177, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107357,2017,10175.92349726776,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107357,2018,10173.868852459016,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107357,2019,10161.36612021858,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107357,2020,10177.628415300547,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107357,2021,10173.737704918032,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107358,2017,10173.538461538461,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107358,2018,10172.4043715847,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107358,2019,10159.36612021858,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107358,2020,10175.95081967213,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107358,2021,10171.224043715847,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107361,2017,10167.08743169399,2038,KIELCE,PL,+50:48:38,+020:41:32,260, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107361,2018,10172.92349726776,2038,KIELCE,PL,+50:48:38,+020:41:32,260, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107361,2019,10158.213114754099,2038,KIELCE,PL,+50:48:38,+020:41:32,260, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107361,2020,10174.371584699453,2038,KIELCE,PL,+50:48:38,+020:41:32,260, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107361,2021,10168.77049180328,2038,KIELCE,PL,+50:48:38,+020:41:32,260, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107362,2017,10168.765027322404,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107362,2018,10173.715846994535,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107362,2019,10160.174863387978,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107362,2020,10176.060109289618,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107362,2021,10169.672131147541,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107363,2017,10174.169398907105,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107363,2018,10173.344262295082,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107363,2019,10160.672131147541,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107363,2020,10178.213114754099,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107363,2021,10173.207650273223,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107364,2017,10174.34065934066,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107364,2018,10175.34065934066,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107364,2019,10160.698324022347,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107364,2020,10178.598901098901,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107364,2021,10173.601092896175,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107365,2017,10175.349726775956,933,LESKO,PL,+49:27:59,+022:20:30,420, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107365,2018,10177.579234972678,933,LESKO,PL,+49:27:59,+022:20:30,420, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107365,2019,10165.109289617487,933,LESKO,PL,+49:27:59,+022:20:30,420, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107365,2020,10179.289617486338,933,LESKO,PL,+49:27:59,+022:20:30,420, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107365,2021,10172.939890710382,933,LESKO,PL,+49:27:59,+022:20:30,420, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
239995,2017,10172.95081967213,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
239995,2018,10171.814207650274,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
239995,2019,10158.245901639344,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
239995,2020,10173.387978142076,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
239995,2021,10170.486338797815,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240019,2017,10169.989071038251,25130,OPOLE,PL,+50:37:37,+017:58:08,163, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240019,2018,10170.360655737704,25130,OPOLE,PL,+50:37:37,+017:58:08,163, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240019,2019,10156.125683060109,25130,OPOLE,PL,+50:37:37,+017:58:08,163, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240019,2020,10171.355191256831,25130,OPOLE,PL,+50:37:37,+017:58:08,163, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240019,2021,10167.43169398907,25130,OPOLE,PL,+50:37:37,+017:58:08,163, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240031,2017,10169.07650273224,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240031,2018,10172.894444444444,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240031,2019,10155.420765027322,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240031,2020,10172.196721311475,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240031,2021,10167.224719101123,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240043,2017,10172.333333333334,2037,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240043,2017,10172.333333333334,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240043,2018,10172.84699453552,2037,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240043,2018,10172.84699453552,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240043,2019,10158.978142076503,2037,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240043,2019,10158.978142076503,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240043,2020,10175.808743169398,2037,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240043,2020,10175.808743169398,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240043,2021,10170.650273224044,2037,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
240043,2021,10170.650273224044,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
