SOUID,DATE,TG,STAID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
100657,2021,89.8082191780822,25054,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2021,89.8082191780822,25055,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2021,89.8082191780822,25060,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2021,89.8082191780822,25152,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100661,2017,104.6,210,WROCLAW,PL,+51:06:12,+016:54:00,120, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100661,2017,104.6,25004,WROCLAW,PL,+51:06:12,+016:54:00,120, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100661,2018,113.12054794520547,210,WROCLAW,PL,+51:06:12,+016:54:00,120, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100661,2018,113.12054794520547,25004,WROCLAW,PL,+51:06:12,+016:54:00,120, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100661,2019,114.6986301369863,210,WROCLAW,PL,+51:06:12,+016:54:00,120, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100661,2019,114.6986301369863,25004,WROCLAW,PL,+51:06:12,+016:54:00,120, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100661,2020,110.33060109289617,210,WROCLAW,PL,+51:06:12,+016:54:00,120, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100661,2020,110.33060109289617,25004,WROCLAW,PL,+51:06:12,+016:54:00,120, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100661,2021,98.06575342465753,210,WROCLAW,PL,+51:06:12,+016:54:00,120, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100661,2021,98.06575342465753,25004,WROCLAW,PL,+51:06:12,+016:54:00,120, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106051,2017,91.56438356164384,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, TG7,1921-01-26,2022-09-30,26,Miroslaw Mietus
106051,2018,99.38630136986302,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, TG7,1921-01-26,2022-09-30,26,Miroslaw Mietus
106051,2019,102.92328767123287,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, TG7,1921-01-26,2022-09-30,26,Miroslaw Mietus
106051,2020,101.20218579234972,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, TG7,1921-01-26,2022-09-30,26,Miroslaw Mietus
106051,2021,91.16438356164383,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, TG7,1921-01-26,2022-09-30,26,Miroslaw Mietus
106052,2017,88.32328767123288,332,LEBA,PL,+54:45:13,+017:32:05,2, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106052,2018,93.95068493150686,332,LEBA,PL,+54:45:13,+017:32:05,2, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106052,2019,99.24175824175825,332,LEBA,PL,+54:45:13,+017:32:05,2, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106052,2020,98.74863387978142,332,LEBA,PL,+54:45:13,+017:32:05,2, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106052,2021,89.52876712328766,332,LEBA,PL,+54:45:13,+017:32:05,2, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106054,2017,75.4,396,ELBLAG,PL,+54:13:24,+019:32:37,189, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106054,2018,82.47123287671234,396,ELBLAG,PL,+54:13:24,+019:32:37,189, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106054,2019,88.32142857142857,396,ELBLAG,PL,+54:13:24,+019:32:37,189, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106054,2020,89.49726775956285,396,ELBLAG,PL,+54:13:24,+019:32:37,189, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106054,2021,71.58630136986301,396,ELBLAG,PL,+54:13:24,+019:32:37,189, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106075,2017,94.95054945054945,696,SWINOUJSCIE,PL,+53:55:24,+014:14:32,5, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106075,2018,100.18559556786704,696,SWINOUJSCIE,PL,+53:55:24,+014:14:32,5, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106075,2019,106.48493150684932,696,SWINOUJSCIE,PL,+53:55:24,+014:14:32,5, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106075,2020,105.00273224043715,696,SWINOUJSCIE,PL,+53:55:24,+014:14:32,5, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106075,2021,96.8986301369863,696,SWINOUJSCIE,PL,+53:55:24,+014:14:32,5, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106090,2017,82.72054794520548,2026,CHOJNICE,PL,+53:42:55,+017:31:57,164, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106090,2018,92.07123287671233,2026,CHOJNICE,PL,+53:42:55,+017:31:57,164, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106090,2019,95.00821917808219,2026,CHOJNICE,PL,+53:42:55,+017:31:57,164, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106090,2020,93.18579234972678,2026,CHOJNICE,PL,+53:42:55,+017:31:57,164, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106090,2021,80.72054794520548,2026,CHOJNICE,PL,+53:42:55,+017:31:57,164, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106111,2017,92.52328767123288,2027,TORUN,PL,+53:02:31,+018:35:44,69, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106111,2018,102.8,2027,TORUN,PL,+53:02:31,+018:35:44,69, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106111,2019,105.64931506849315,2027,TORUN,PL,+53:02:31,+018:35:44,69, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106111,2020,101.5464480874317,2027,TORUN,PL,+53:02:31,+018:35:44,69, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106111,2021,88.81095890410958,2027,TORUN,PL,+53:02:31,+018:35:44,69, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106134,2017,84.7068493150685,2028,MLAWA,PL,+53:06:15,+020:21:40,147, TG7,1961-01-01,2022-09-30,26,Miroslaw Mietus
106134,2018,94.85205479452055,2028,MLAWA,PL,+53:06:15,+020:21:40,147, TG7,1961-01-01,2022-09-30,26,Miroslaw Mietus
106134,2019,99.11506849315069,2028,MLAWA,PL,+53:06:15,+020:21:40,147, TG7,1961-01-01,2022-09-30,26,Miroslaw Mietus
106134,2020,95.86612021857924,2028,MLAWA,PL,+53:06:15,+020:21:40,147, TG7,1961-01-01,2022-09-30,26,Miroslaw Mietus
106134,2021,81.7972602739726,2028,MLAWA,PL,+53:06:15,+020:21:40,147, TG7,1961-01-01,2022-09-30,26,Miroslaw Mietus
106161,2017,83.24383561643836,752,OLSZTYN,PL,+53:46:07,+020:25:17,133, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106161,2018,91.72876712328767,752,OLSZTYN,PL,+53:46:07,+020:25:17,133, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106161,2019,96.0,752,OLSZTYN,PL,+53:46:07,+020:25:17,133, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106161,2020,95.33060109289617,752,OLSZTYN,PL,+53:46:07,+020:25:17,133, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106161,2021,81.5013698630137,752,OLSZTYN,PL,+53:46:07,+020:25:17,133, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106163,2017,96.79178082191781,2029,GORZOW WLKP,PL,+52:44:28,+015:16:38,71, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106163,2018,107.27945205479452,2029,GORZOW WLKP,PL,+52:44:28,+015:16:38,71, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106163,2019,109.65205479452055,2029,GORZOW WLKP,PL,+52:44:28,+015:16:38,71, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106163,2020,107.95901639344262,2029,GORZOW WLKP,PL,+52:44:28,+015:16:38,71, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106163,2021,95.64657534246575,2029,GORZOW WLKP,PL,+52:44:28,+015:16:38,71, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106177,2017,100.44077134986226,779,SLUBICE,PL,+52:20:55,+014:37:11,53, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106177,2018,109.13424657534246,779,SLUBICE,PL,+52:20:55,+014:37:11,53, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106177,2019,112.7095890410959,779,SLUBICE,PL,+52:20:55,+014:37:11,53, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106177,2020,111.16120218579235,779,SLUBICE,PL,+52:20:55,+014:37:11,53, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106177,2021,98.21369863013699,779,SLUBICE,PL,+52:20:55,+014:37:11,53, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106206,2017,86.65753424657534,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106206,2018,93.16164383561645,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106206,2019,99.77534246575343,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106206,2020,97.37704918032787,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106206,2021,82.2958904109589,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106222,2017,87.58904109589041,922,TERESPOL,PL,+52:04:43,+023:37:19,133, TG7,1955-01-01,2022-09-30,26,Miroslaw Mietus
106222,2018,93.93150684931507,922,TERESPOL,PL,+52:04:43,+023:37:19,133, TG7,1955-01-01,2022-09-30,26,Miroslaw Mietus
106222,2019,101.18356164383562,922,TERESPOL,PL,+52:04:43,+023:37:19,133, TG7,1955-01-01,2022-09-30,26,Miroslaw Mietus
106222,2020,99.22131147540983,922,TERESPOL,PL,+52:04:43,+023:37:19,133, TG7,1955-01-01,2022-09-30,26,Miroslaw Mietus
106222,2021,84.05753424657534,922,TERESPOL,PL,+52:04:43,+023:37:19,133, TG7,1955-01-01,2022-09-30,26,Miroslaw Mietus
106237,2017,95.43561643835616,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106237,2018,107.8986301369863,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106237,2019,109.81369863013698,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106237,2020,106.87978142076503,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106237,2021,93.43013698630136,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106242,2017,95.73150684931507,923,LESZNO,PL,+51:50:08,+016:32:05,91, TG7,1958-01-01,2022-09-30,26,Miroslaw Mietus
106242,2018,105.32328767123288,923,LESZNO,PL,+51:50:08,+016:32:05,91, TG7,1958-01-01,2022-09-30,26,Miroslaw Mietus
106242,2019,107.9068493150685,923,LESZNO,PL,+51:50:08,+016:32:05,91, TG7,1958-01-01,2022-09-30,26,Miroslaw Mietus
106242,2020,105.48360655737704,923,LESZNO,PL,+51:50:08,+016:32:05,91, TG7,1958-01-01,2022-09-30,26,Miroslaw Mietus
106242,2021,93.05479452054794,923,LESZNO,PL,+51:50:08,+016:32:05,91, TG7,1958-01-01,2022-09-30,26,Miroslaw Mietus
106260,2017,92.67671232876712,924,WIELUN,PL,+51:12:37,+018:33:24,199, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106260,2018,104.56164383561644,924,WIELUN,PL,+51:12:37,+018:33:24,199, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106260,2019,107.64383561643835,924,WIELUN,PL,+51:12:37,+018:33:24,199, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106260,2020,102.76502732240438,924,WIELUN,PL,+51:12:37,+018:33:24,199, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106260,2021,90.38356164383562,924,WIELUN,PL,+51:12:37,+018:33:24,199, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106274,2017,88.25753424657535,926,SULEJOW,PL,+51:21:12,+019:51:59,188, TG7,1961-05-01,2022-09-30,26,Miroslaw Mietus
106274,2018,97.02191780821917,926,SULEJOW,PL,+51:21:12,+019:51:59,188, TG7,1961-05-01,2022-09-30,26,Miroslaw Mietus
106274,2019,103.35890410958905,926,SULEJOW,PL,+51:21:12,+019:51:59,188, TG7,1961-05-01,2022-09-30,26,Miroslaw Mietus
106274,2020,98.48360655737704,926,SULEJOW,PL,+51:21:12,+019:51:59,188, TG7,1961-05-01,2022-09-30,26,Miroslaw Mietus
106274,2021,84.91780821917808,926,SULEJOW,PL,+51:21:12,+019:51:59,188, TG7,1961-05-01,2022-09-30,26,Miroslaw Mietus
106289,2017,87.2027397260274,927,WLODAWA,PL,+51:33:12,+023:31:46,177, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106289,2018,94.4,927,WLODAWA,PL,+51:33:12,+023:31:46,177, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106289,2019,100.52602739726028,927,WLODAWA,PL,+51:33:12,+023:31:46,177, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106289,2020,98.19398907103825,927,WLODAWA,PL,+51:33:12,+023:31:46,177, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106289,2021,83.17534246575343,927,WLODAWA,PL,+51:33:12,+023:31:46,177, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106334,2017,84.77534246575343,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106334,2018,95.34520547945205,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106334,2019,94.87671232876713,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106334,2020,91.0464480874317,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106334,2021,80.8027397260274,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106339,2017,97.12876712328767,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106339,2018,106.72876712328767,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106339,2019,108.7068493150685,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106339,2020,102.39344262295081,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106339,2021,92.33150684931506,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106369,2017,84.84931506849315,2038,KIELCE,PL,+50:48:38,+020:41:32,260, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106369,2018,94.43561643835616,2038,KIELCE,PL,+50:48:38,+020:41:32,260, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106369,2019,97.56438356164384,2038,KIELCE,PL,+50:48:38,+020:41:32,260, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106369,2020,93.33333333333333,2038,KIELCE,PL,+50:48:38,+020:41:32,260, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106369,2021,80.6054794520548,2038,KIELCE,PL,+50:48:38,+020:41:32,260, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106377,2017,92.78082191780823,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106377,2018,101.13698630136986,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106377,2019,105.88767123287671,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106377,2020,98.86065573770492,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106377,2021,88.91232876712328,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
106397,2017,92.43406593406593,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, TG7,1954-01-01,2022-09-30,26,Miroslaw Mietus
106397,2017,92.43406593406593,24909,NOWY SACZ,PL,+49:37:38,+020:41:19,292, TG7,1954-01-01,2022-09-30,26,Miroslaw Mietus
106397,2018,99.98071625344353,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, TG7,1954-01-01,2022-09-30,26,Miroslaw Mietus
106397,2018,99.98071625344353,24909,NOWY SACZ,PL,+49:37:38,+020:41:19,292, TG7,1954-01-01,2022-09-30,26,Miroslaw Mietus
106397,2019,105.15342465753425,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, TG7,1954-01-01,2022-09-30,26,Miroslaw Mietus
106397,2019,105.15342465753425,24909,NOWY SACZ,PL,+49:37:38,+020:41:19,292, TG7,1954-01-01,2022-09-30,26,Miroslaw Mietus
106397,2020,98.73497267759562,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, TG7,1954-01-01,2022-09-30,26,Miroslaw Mietus
106397,2020,98.73497267759562,24909,NOWY SACZ,PL,+49:37:38,+020:41:19,292, TG7,1954-01-01,2022-09-30,26,Miroslaw Mietus
106397,2021,88.4986301369863,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, TG7,1954-01-01,2022-09-30,26,Miroslaw Mietus
106397,2021,88.4986301369863,24909,NOWY SACZ,PL,+49:37:38,+020:41:19,292, TG7,1954-01-01,2022-09-30,26,Miroslaw Mietus
106405,2017,83.22739726027397,933,LESKO,PL,+49:27:59,+022:20:30,420, TG7,1954-06-17,2022-09-30,26,Miroslaw Mietus
106405,2017,83.22739726027397,24921,LESKO,PL,+49:27:59,+022:20:30,420, TG7,1954-06-17,2022-09-30,26,Miroslaw Mietus
106405,2018,91.38356164383562,933,LESKO,PL,+49:27:59,+022:20:30,420, TG7,1954-06-17,2022-09-30,26,Miroslaw Mietus
106405,2018,91.38356164383562,24921,LESKO,PL,+49:27:59,+022:20:30,420, TG7,1954-06-17,2022-09-30,26,Miroslaw Mietus
106405,2019,98.27671232876712,933,LESKO,PL,+49:27:59,+022:20:30,420, TG7,1954-06-17,2022-09-30,26,Miroslaw Mietus
