STAID,STANAME,CN,LAT,LON,HGHT,county,state
24932,KARPACZ                                 ,PL,50.78333333333333,15.783333333333331,958,powiat karkonoski,województwo dolnośląskie
24952,KOCHCICE                                ,PL,50.71666666666667,18.683333333333334,257,powiat lubliniecki,województwo śląskie
24956,DRONIOWICE                              ,PL,50.69611111111111,18.80888888888889,284,powiat lubliniecki,województwo śląskie
24958,LUBLINIEC                               ,PL,50.68333333333333,18.7,266,powiat lubliniecki,województwo śląskie
24972,BORUSOWA                                ,PL,50.28333333333333,20.8,176,powiat dąbrowski,województwo małopolskie
24974,WIELICZKA                               ,PL,50.0,20.05,218,powiat wielicki,województwo małopolskie
24977,STASZOW                                 ,PL,50.6,21.183333333333334,249,powiat staszowski,województwo świętokrzyskie
24978,CHORZELOW                               ,PL,50.35,21.45,161,powiat mielecki,województwo podkarpackie
24991,NOWY LUBLINIEC                          ,PL,50.26666666666666,23.1,231,powiat lubaczowski,województwo podkarpackie
24992,CIESZANOW                               ,PL,50.23361111111111,23.11805555555556,231,powiat lubaczowski,województwo podkarpackie
24993,LUBACZOW                                ,PL,50.15,23.13333333333333,227,powiat lubaczowski,województwo podkarpackie
25004,ZYBISZOW                                ,PL,51.06666666666667,16.916666666666668,121,powiat wrocławski,województwo dolnośląskie
25012,PUCZNIEW                                ,PL,51.78333333333333,19.08333333333333,148,powiat pabianicki,województwo łódzkie
25015,SKIERNIEWICE                            ,PL,51.96666666666667,20.166666666666668,130,Powiat skierniewicki,województwo łódzkie
25018,JARCZEW                                 ,PL,51.81666666666667,21.98333333333333,181,powiat łukowski,województwo lubelskie
25031,GORZYN                                  ,PL,52.56666666666667,15.9,79,powiat międzychodzki,województwo wielkopolskie
25038,WIELICHOWO                              ,PL,52.11666666666667,16.35,72,powiat grodziski,województwo wielkopolskie
25044,KOLUDA WIELKA                           ,PL,52.73333333333333,18.15,76,powiat inowrocławski,województwo kujawsko-pomorskie
25052,LEGIONOWO                               ,PL,52.4,20.966666666666665,71,powiat legionowski,województwo mazowieckie
25053,WARSZAWA-BIELANY                        ,PL,52.28333333333333,20.966666666666665,91,Warszawa,województwo mazowieckie
25054,WARSZAWA-FILTRY                         ,PL,52.219444444444456,20.999166666666667,91,Warszawa,województwo mazowieckie
25060,PULTUSK                                 ,PL,52.06777777777778,21.001666666666665,109,powiat piaseczyński,województwo mazowieckie
25064,SZEPIETOWO                              ,PL,52.85,22.55,152,powiat wysokomazowiecki,województwo podlaskie
25066,BIALOWIEZA                              ,PL,52.7,23.85,170,powiat hajnowski,województwo podlaskie
25076,NOWA WIES UJSKA                         ,PL,53.03333333333333,16.75,74,powiat pilski,województwo wielkopolskie
25095,BIEBRZA-PIENCZYKOWEK                    ,PL,53.65,22.6,128,powiat grajewski,województwo podlaskie
25101,ROZANYSTOK                              ,PL,53.63333333333333,23.4,152,powiat sokólski,województwo podlaskie
