L,Station code,International code,Station name,Old station code,Launching date,Closing date,Station type,Region type,Station model,Voivodeship,City,Address,WGS84 φ N,WGS84 λ E,county
57,DsLegJaworz,,Legnica - Jaworzyńska,DsLegJaworz,1/1/1984,12/31/2003,background,urban,container,DOLNOŚLĄSKIE,Legnica,ul. Jaworzyńska,51.191168,16.156159,Legnica
58,DsLegKsiez,,Legnica - Księżycowa,DsLegKsiez,10/1/1996,4/30/2006,background,urban,container,DOLNOŚLĄSKIE,Legnica,ul. Księżycowa 14,51.208727,16.190277,Legnica
59,DsLegMick,,Legnica - Mickiewicza,DsLegMick,1/1/1996,12/31/2004,background,urban,in-house,DOLNOŚLĄSKIE,Legnica,ul. Mickiewicza 24,51.202831,16.164608,Legnica
60,DsLegPolarna,PL0738A,"Legnica, ul. Polarna",,1/1/2019,,background,urban,dust collector,DOLNOŚLĄSKIE,Legnica,ul. Polarna 1,51.208104,16.183784,Legnica
61,DsLegPoraz,PL0540A,Legnica - Porazińskiej,DsLegPoraz,1/1/2011,12/31/2013,industrial,suburban,container,DOLNOŚLĄSKIE,Legnica,ul. Porazińskiej,51.193519,16.135192,Legnica
62,DsLegRzecz,,Legnica - Aleja Rzeczypospolitej,DsLegRzecz,1/9/1999,2/10/2005,background,urban,container,DOLNOŚLĄSKIE,Legnica,ul. Rzeczypospolitej,51.204196,16.179819,Legnica
63,DsLegRzeczPM,,"Legnica, al. Rzeczypospolitej (PSSE)",DsLegRzeczPM,1/1/2005,12/31/2007,background,urban,dust collector,DOLNOŚLĄSKIE,Legnica,ul. Rzeczypospolitej,51.20423,16.180763,Legnica
64,DsLegSmok,PL0301A,Legnica - Smokowicka,DsLegSmok,1/1/2003,12/31/2010,industrial,urban,container,DOLNOŚLĄSKIE,Legnica,ul. Smokowicka,51.180776,16.098375,Legnica
65,DsLegZlotor,PL0263A,Legnica - Złotoryjska,DsLegZlotor,1/3/1996,12/31/2010,industrial,suburban,container,DOLNOŚLĄSKIE,Legnica,ul. Złotoryjska,51.188018,16.129061,Legnica
66,DsLesnaRyn,,Leśna - Rynek,DsLesnaRyn,1/2/1994,12/31/2002,background,urban,in-house,DOLNOŚLĄSKIE,Leśna,ul. Rynek 19,51.023029,15.263245,powiat lubański
67,DsLubanMieszMOB,PL0747A,Lubań - Mieszka II,DsLubanMieszMOB,1/1/2019,6/2/2021,background,urban,mobile,DOLNOŚLĄSKIE,Lubań,Mieszka II 1,51.119011,15.275539,powiat lubański
68,DsLubanMOB,PL0687A,Lubań - Łączna,DsLubanMOB,1/11/2018,12/31/2018,background,urban,mobile,DOLNOŚLĄSKIE,Lubań,Łączna,51.118412,15.285835,powiat lubański
69,DsLubanRyn,,Lubań - Rynek,DsLubanRyn,1/2/1994,12/31/2004,background,urban,in-house,DOLNOŚLĄSKIE,Lubań,ul. Rynek 19,51.120172,15.290536,powiat lubański
70,DsLubanZaw,,Lubań - Zawidowska,DsLubanZaw,1/3/1993,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Lubań,ul. Zawidowska 4,51.1166,15.27208,powiat lubański
71,DsLubinMaj,PL0056A,Lubin - 1-go Maja,DsLubinMaj,1/1/1998,12/31/2009,background,urban,in-house,DOLNOŚLĄSKIE,Lubin,ul. 1 Maja 15,51.398416,16.199642,powiat lubiński
72,DsLubinMob,PL0577A,Lubin - Mobil Mercedes,DsLubinMob,1/1/2012,12/31/2012,background,urban,mobile,DOLNOŚLĄSKIE,Lubin,ul. Wierzbowa,51.406741,16.187307,powiat lubiński
73,DsLubinSowia,,"Lubin,ul.Sowia",DsLubinSowia,1/6/2004,12/31/2005,background,urban,container,DOLNOŚLĄSKIE,Lubin,ul. Sowia,51.38,16.212564,powiat lubiński
74,DsLubiWierzb,PL0632A,Lubin - Wierzbowa,DsLubiWierzb,1/1/2016,12/31/2016,background,urban,dust collector,DOLNOŚLĄSKIE,Lubin,ul. Wierzbowa 70,51.406505,16.188329,powiat lubiński
75,DsLwowekPart,,Lwówek Śl.- Partyzantów,DsLwowekPart,1/2/1994,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Lwówek Śląski,ul. Partyzantów 6,51.111733,15.579598,powiat lwówecki
76,DsMiliczMOB,PL0778A,Milicz,,1/8/2021,12/31/2021,background,urban,mobile,DOLNOŚLĄSKIE,Milicz,ul. Armii Krajowej 7,51.52785,17.276844,powiat milicki
77,DsNowRudJezi,PL0745A,"Nowa Ruda, ul. Jeziorna",,1/1/2019,,background,urban,container,DOLNOŚLĄSKIE,Nowa Ruda,ul. Jeziorna 19,50.581492,16.498245,powiat kłodzki
78,DsNowRudSreb,PL0191A,Nowa Ruda - Srebrna,DsNRudaSrebP,1/1/2011,12/31/2018,background,urban,container,DOLNOŚLĄSKIE,Nowa Ruda,ul. Srebrna 1a,50.579914,16.514422,powiat kłodzki
79,DsNRudaPil,,Nowa Ruda - ul. Piłsudskiego,DsNRudaPil,1/2/2000,7/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Nowa Ruda,ul. Piłsudskiego 14,50.58389,16.502458,powiat kłodzki
80,DsNRudaSlupPM,,Nowa Ruda - Słupiec (PM10),DsNRudaSlupPM,3/1/2005,12/31/2006,background,urban,dust collector,DOLNOŚLĄSKIE,Nowa Ruda - Słupiec,ul. Wiejska 15,50.550008,16.553645,powiat kłodzki
81,DsNRudaSrebA,,Nowa Ruda - ul. Srebrna (AUT),DsNRudaSrebA,1/1/2005,12/31/2010,background,urban,container,DOLNOŚLĄSKIE,Nowa Ruda,ul. Srebrna,50.579924,16.514303,powiat kłodzki
82,DsNRudaSrebPArch,,Nowa Ruda - ul. Srebrna (PM10-Arch),DsNRudaSrebPArch,6/6/2003,12/31/2009,background,urban,dust collector,DOLNOŚLĄSKIE,Nowa Ruda,ul. Srebrna 1a,50.579913,16.514422,powiat kłodzki
83,DsOla3Maj,,Oława - 3 Maja,DsOla3Maj,1/1/1978,12/31/2005,background,urban,in-house,DOLNOŚLĄSKIE,Oława,ul. 3 Maja 1A,50.945755,17.29615,powiat oławski
84,DsOlawZolnAK,PL0317A,"Oława, ul. Żołnierzy Armii Krajowej",,7/1/2008,,background,urban,container,DOLNOŚLĄSKIE,Oława,ul. Żołnierzy AK 9,50.942073,17.291333,powiat oławski
85,DsOlesBrzozo,PL0476A,"Oleśnica, ul. Brzozowa",,1/1/2011,,background,urban,dust collector,DOLNOŚLĄSKIE,Oleśnica,ul. Brzozowa 7,51.217483,17.389997,powiat oleśnicki
86,DsOlesnicaPM-Arch,,Oleśnica - Brzozowa (PM10-Arch),DsOlesnicaPM-Arch,1/1/2009,12/31/2009,background,urban,dust collector,DOLNOŚLĄSKIE,Oleśnica,ul. Brzozowa 7,51.217494,17.389998,powiat oleśnicki
87,DsOlesRyn,,Oleśnica - Rynek,DsOlesRyn,1/1/1995,12/31/2005,background,urban,in-house,DOLNOŚLĄSKIE,Oleśnica,ul. Rynek Ratusz 12,51.209491,17.379688,powiat oleśnicki
88,DsOsieczow21,PL0505A,Osieczów,,1/1/2010,,background,nonurban,container,DOLNOŚLĄSKIE,Osieczów,bez ulicy,51.31763,15.431719,powiat bolesławiecki
89,DsPolanPark,,Polanica Zdrój - ul. Parkowa,DsPolanPark,1/2/1994,12/31/2004,background,urban,in-house,DOLNOŚLĄSKIE,Polanica-Zdrój,ul. Parkowa 4,50.407434,16.511192,powiat kłodzki
90,DsPolanSportMOB,PL0633A,Polanica-Zdrój - Sportowa,DsPolanSportMOB,1/1/2016,,background,urban,mobile,DOLNOŚLĄSKIE,Polanica-Zdrój,ul. Sportowa 9,50.415758,16.513058,powiat kłodzki
91,DsPolKasztan,PL0057A,"Polkowice, ul. Kasztanowa",,5/1/2004,,background,urban,dust collector,DOLNOŚLĄSKIE,Polkowice,ul. Kasztanowa 29,51.50237,16.075051,powiat polkowicki
92,DsPolkDabr,,Polkowice - Dąbrowskiego,DsPolkDabr,1/1/1994,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Polkowice,ul. Dąbrowskiego,51.503659,16.075061,powiat polkowicki
93,DsPrzerzZdr,,Przerzeczyn Zdrój - ul. Zdrojowa,DsPrzerzZdr,1/2/1994,12/31/2003,background,nonurban,in-house,DOLNOŚLĄSKIE,Przerzeczyn-Zdrój,ul. Zdrojowa 31,50.685276,16.831781,powiat dzierżoniowski
94,DsRadomierz,PL0318A,Radomierzyce,DsRadomierz,1/1/1996,12/31/2013,industrial,nonurban,container,DOLNOŚLĄSKIE,Radomierzyce,,51.0583,14.973735,powiat zgorzelecki
95,DsRudna,PL0265A,Rudna,DsRudna,1/1/2003,12/31/2013,industrial,nonurban,container,DOLNOŚLĄSKIE,Rudna,,51.512506,16.251711,powiat lubiński
96,DsRudnaWit,,Rudna - W.Witosa,DsRudnaWit,10/1/1992,12/31/2003,industrial,nonurban,container,DOLNOŚLĄSKIE,Rudna,ul. W. Witosa,51.504339,16.261379,powiat lubiński
97,DsSlone,,Słone,DsSlone,1/1/1980,12/31/2003,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Słone,,51.661053,16.022652,powiat głogowski
98,DsSnie04,PL0058A,Śnieżne Kotły,DsSnie04,7/1/1996,12/31/2010,background,nonurban,container,DOLNOŚLĄSKIE,,Śnieżne Kotły,50.778373,15.557425,powiat karkonoski
99,DsSniezkaObs,PL0003R,Śnieżka,,1/1/2000,,background,nonurban,container,DOLNOŚLĄSKIE,Karpacz,Śnieżka,50.736389,15.739722,powiat karkonoski
100,DsSobczyce,PL0266A,Sobczyce,DsSobczyce,10/1/2003,12/31/2013,industrial,nonurban,container,DOLNOŚLĄSKIE,Sobczyce,,51.702092,16.067231,powiat głogowski
101,DsSoko08,,Sokolec,DsSoko08,11/1/1996,5/19/2004,background,nonurban,container,DOLNOŚLĄSKIE,Sokolec,,50.668056,16.475,powiat wałbrzyski
102,DsSpal06,,Spalona,DsSpal06,11/15/1996,5/15/2004,background,nonurban,container,DOLNOŚLĄSKIE,Spalona,,50.27657,16.538299,powiat kłodzki
103,DsSrodaSlMOB,PL0726A,Środa Śląska,,1/28/2020,12/31/2021,background,urban,mobile,DOLNOŚLĄSKIE,Środa Śląska,Aleja Konstytucji 3 Maja 7,51.166236,16.597559,powiat średzki
104,DsStrzMob,PL0506A,Strzelin - Mobil Mercedes,DsStrzMob,1/1/2010,12/31/2011,background,urban,mobile,DOLNOŚLĄSKIE,Strzelin,ul. M.Konopnickiej 3,50.784386,17.079435,powiat strzeliński
105,DsSwidnFolwa,PL0660A,"Świdnica, ul. Folwarczna",,1/1/2017,,background,urban,dust collector,DOLNOŚLĄSKIE,Świdnica,ul. Folwarczna 2,50.84443,16.494006,powiat świdnicki
106,DsSwidnMarciMOB,PL0604A,Świdnica - Marcinkowskiego MOB,DsSwidMob,1/1/2015,12/31/2015,background,urban,mobile,DOLNOŚLĄSKIE,Świdnica,ul. Karola Marcinkowskiego 4-6,50.846559,16.466928,powiat świdnicki
107,DsSwidnRynek,PL0059A,Świdnica - Rynek,DsSwidRynek,1/1/2011,12/31/2016,background,urban,dust collector,DOLNOŚLĄSKIE,Świdnica,ul. Rynek 43,50.842364,16.486703,powiat świdnicki
108,DsSwidRynekArch,,Świdnica - Rynek Arch,DsSwidRynekArch,7/2/2003,12/31/2009,background,urban,in-house,DOLNOŚLĄSKIE,Świdnica,ul. Rynek 43,50.84236,16.486704,powiat świdnicki
109,DsSwidWalb,,Świdnica - ul. Wałbrzyska,DsSwidWalb,1/2/1985,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Świdnica,ul. Wałbrzyska 15,50.838047,16.480395,powiat świdnicki
110,DsSzczaKolej,PL0541A,"Szczawno-Zdrój, ul. Kolejowa",,1/1/2012,,background,urban,dust collector,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Kolejowa 14,50.804189,16.254111,powiat wałbrzyski
111,DsSzczAzalMob,PL0578A,Szczawno-Zdrój - Azalia - Mobil,DsSzczAzalMob,1/1/2012,12/31/2012,background,urban,mobile,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Klonowa,50.806472,16.253264,powiat wałbrzyski
112,DsSzczKopPM,PL0267A,Szczawno Zdrój - ul. Kopernika (PM10),DsSzczKopPM,1/1/2007,12/31/2011,background,urban,dust collector,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Kopernika 2,50.801538,16.250145,powiat wałbrzyski
113,DsSzczMagMob,PL0579A,Szczawno-Zdrój - Magnolia - Mobil,DsSzczMagMob,1/1/2012,12/31/2012,background,urban,mobile,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Kopernika,50.801523,16.250182,powiat wałbrzyski
114,DsSzczOgr,,Szczawno Zdrój - ul. Ogrodowa,DsSzczOgr,1/2/1993,12/31/2004,background,urban,in-house,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Ogrodowa 5,50.805025,16.257246,powiat wałbrzyski
115,DsSzczRat,PL0254A,Szczawno Zdrój - ul. Ratuszowa,DsSzczRat,4/1/1983,12/31/2007,background,urban,in-house,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Ratuszowa 1,50.802699,16.254862,powiat wałbrzyski
116,DsSzklarkiMob,PL0600A,Szklarki - Mobil,DsSzklarkiMob,1/1/2013,12/31/2013,background,nonurban,mobile,DOLNOŚLĄSKIE,Szklarki,,51.515908,15.747383,powiat polkowicki
117,DsSzkPor1MajMOB,PL0634A,Szklarska Poręba - 1 Maja,DsSzkPor1MajMOB,1/1/2016,12/31/2016,background,urban,mobile,DOLNOŚLĄSKIE,Szklarska Poręba,1 Maja,50.822706,15.528251,powiat karkonoski
118,DsTarnowek,PL0268A,Tarnówek,DsTarnowek,1/1/2003,12/31/2013,industrial,nonurban,container,DOLNOŚLĄSKIE,Tarnowek,,51.513299,16.166761,powiat polkowicki
119,DsTrzebBoch,,Trzebnica-Bochenka,DsTrzebBoch,1/1/2004,12/31/2005,background,urban,in-house,DOLNOŚLĄSKIE,Trzebnica,ul. Ks.Bochenka,51.310278,17.062778,powiat trzebnicki
120,DsTrzebLes,,Trzebnica - Leśna,DsTrzebLes,1/1/1994,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Trzebnica,ul. Leśna,51.303889,17.07,powiat trzebnicki
121,DsTrzebMob,,Trzebnica - Mobil Mercedes,DsTrzebMob,4/1/2008,1/31/2010,background,urban,mobile,DOLNOŚLĄSKIE,Trzebnica,ul. Żołnierzy Września,51.305272,17.060139,powiat trzebnicki
122,DsTrzebniMaj,PL0779A,"Trzebnica, ul. 3 Maja",,12/23/2020,,background,urban,container,DOLNOŚLĄSKIE,Trzebnica,ul. 3 Maja,51.304817,17.071367,powiat trzebnicki
123,DsWalbBator,,Wałbrzych - ul. Batorego,DsWalbBator,1/2/1975,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Wałbrzych,ul. Batorego 3,50.774028,16.278035,Wałbrzych
124,DsWalbGrodz,,Wałbrzych - ul. Grodzka,DsWalbGrodz,1/2/1993,12/31/2004,background,urban,in-house,DOLNOŚLĄSKIE,Wałbrzych,ul. Grodzka 73,50.823623,16.275474,Wałbrzych
125,DsWalbJord,PL0060A,Wałbrzych - ul. Jordana,DsWalbJord,1/2/2001,12/31/2006,industrial,urban,in-house,DOLNOŚLĄSKIE,Wałbrzych,ul. Jordana 4,50.759444,16.241389,Wałbrzych
