No,Station code,International code,Station name,Old station code,Launching date,Closing date,Station type,Region type,Station model,Voivodeship,City,Address,WGS84 φ N,WGS84 λ E,county,STANAME,matched_LAT,matched_LON,matched_STANAME
32,DsJgCiep,,Jelenia Góra - Cieplice,DsJgCiep,02-01-1982,31-12-2004,background,urban,container,DOLNOŚLĄSKIE,Jelenia Góra,ul. Park Zdrojowy,50.862966,15.681788,Jelenia Góra County,JELENIA GORA,50.90027778,15.78888889,JELENIA GORA                            
33,DsJgCiepA,PL0189A,Jelenia Góra - Cieplice (AUT),DsJgCiepA,01-01-2005,31-12-2013,background,urban,container,DOLNOŚLĄSKIE,Jelenia Góra,ul. Cervi 14,50.861853,15.678761,Jelenia Góra County,JELENIA GORA,50.90027778,15.78888889,JELENIA GORA                            
34,DsJgGrottgeraPM,PL0055A,Jelenia Góra - Grottgera (PM10),DsJgGrottgeraPM,01-01-2011,31-12-2011,background,urban,dust collector,DOLNOŚLĄSKIE,Jelenia Góra,ul. Grottgera 7,50.897497,15.736629,Jelenia Góra County,JELENIA GORA,50.90027778,15.78888889,JELENIA GORA                            
35,DsJgGrottgeraPMArch,,Jelenia Góra - Grottgera (PM10-Arch),DsJgGrottgeraPMArch,05-01-2004,31-12-2009,background,urban,dust collector,DOLNOŚLĄSKIE,Jelenia Góra,ul. Grottgera 7,50.897497,15.736629,Jelenia Góra County,JELENIA GORA,50.90027778,15.78888889,JELENIA GORA                            
36,DsJgScieg,,Jelenia Góra - Ściegiennego,DsJgScieg,11-01-1995,31-12-2003,background,urban,in-house,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ściegiennego 5/7,50.865874,15.679301,Jelenia Góra County,JELENIA GORA,50.90027778,15.78888889,JELENIA GORA                            
37,DsJgWoln,,Jelenia Góra - Wolności,DsJgWoln,03-01-1993,31-12-2004,background,urban,in-house,DOLNOŚLĄSKIE,Jelenia Góra,ul. Wolności 139,50.885634,15.717597,Jelenia Góra County,JELENIA GORA,50.90027778,15.78888889,JELENIA GORA                            
38,DsJgZabob,,Jelenia Góra - Zabobrze,DsJgZabob,04-01-1992,30-04-2006,background,urban,mobile,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ogińskiego,50.91447,15.764693,Jelenia Góra County,JELENIA GORA,50.90027778,15.78888889,JELENIA GORA                            
39,DsKalinowka,PL0261A,Kalinówka,DsKalinowka,01-01-2003,31-12-2013,industrial,nonurban,container,DOLNOŚLĄSKIE,Kalinowka,,51.5226,16.244147,powiat polkowicki,KALINOWKA,51.1925,16.2075,LEGNICA                                 
40,DsKamGoraMOB,PL0730A,Kamienna Góra,DsKamGoraMOB,08-01-2020,30-12-2020,background,urban,mobile,DOLNOŚLĄSKIE,Kamienna Góra,Wałbrzyska 2c,50.788079,16.035122,powiat kamiennogórski,KAMIENNA GORA,50.78333333,15.78333333,KARPACZ                                 
41,DsKawice,,Kawice,DsKawice,06-01-2003,31-12-2003,background,nonurban,container,DOLNOŚLĄSKIE,Kawice,,51.230833,16.428889,powiat legnicki,KAWICE,51.1925,16.2075,LEGNICA                                 
42,DsKgMob,,Kamienna Góra - Mobil Horiba,DsKgMob,01-01-2008,05-05-2008,background,urban,mobile,DOLNOŚLĄSKIE,Kamienna Góra,ul. Szpitalna,50.786873,16.029129,powiat kamiennogórski,KAMIENNA GORA,50.78333333,15.78333333,KARPACZ                                 
43,DsKgSien,,Kamienna Góra - Sienkiewicza,DsKgSien,04-01-1995,31-12-2003,background,urban,in-house,DOLNOŚLĄSKIE,Kamienna Góra,ul. Sienkiewicza 5,50.781207,16.029155,powiat kamiennogórski,KAMIENNA GORA,50.78333333,15.78333333,KARPACZ                                 
44,DsKlodzOkrz,,Kłodzko - ul. Okrzei,DsKlodzOkrz,02-01-1987,31-12-2005,background,urban,in-house,DOLNOŚLĄSKIE,Kłodzko,ul. Okrzei 16,50.433389,16.650177,powiat kłodzki,KLODZKO,50.43694444,16.61416667,KLODZKO                                 
45,DsKlodzSzkol,PL0504A,"Kłodzko, ul. Szkolna",,05-06-2009,,background,urban,container,DOLNOŚLĄSKIE,Kłodzko,ul. Szkolna 8,50.433493,16.65366,powiat kłodzki,KLODZKO,50.43694444,16.61416667,KLODZKO                                 
46,DsKobierz,,Kobierzyce - Robotnicza,DsKobierz,30-01-2003,31-12-2003,background,nonurban,container,DOLNOŚLĄSKIE,Kobierzyce,ul. Robotnicza 19,50.968056,16.928056,powiat wrocławski,KOBIERZYCE,51.06666667,16.91666667,ZYBISZOW                                
47,DsKostrzaMOB,PL0777A,Kostrza,,23-01-2021,31-12-2021,industrial,suburban,container,DOLNOŚLĄSKIE,Kostrza,ul. Żeromskiego 22,50.981906,16.266522,powiat świdnicki,KOSTRZA,51.1925,16.2075,LEGNICA                                 
48,DsKowMaj,,Kowary - 1-go Maja,DsKowMaj,15-01-2001,31-12-2002,background,urban,in-house,DOLNOŚLĄSKIE,Kowary,ul. 1 Maja 1,50.793145,15.835843,powiat karkonoski,KOWARY,50.78333333,15.78333333,KARPACZ                                 
49,DsKozDoly,,Kozie Doły,DsKozDoly,01-01-1980,31-12-2003,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Kozie Doły,,51.727524,16.025971,powiat głogowski,KOZIE DOLY,51.83555556,16.53472222,LESZNO                                  
50,DsKromolin,PL0262A,Kromolin,DsKromolin,01-10-2003,31-12-2013,industrial,nonurban,container,DOLNOŚLĄSKIE,Kromolin,,51.684959,15.894901,powiat głogowski,KROMOLIN,51.93,15.52472222,ZIELONA GORA                            
51,DsKudowaMOB,PL0659A,Kudowa-Zdrój,DsKudowaMOB,01-01-2017,,background,urban,mobile,DOLNOŚLĄSKIE,Kudowa-Zdrój,Tadeusza Kościuszki 16,50.447096,16.238509,powiat kłodzki,KUDOWA-ZDROJ,50.43694444,16.61416667,KLODZKO                                 
52,DsKudSlon,,Kudowa Zdrój - ul. Słoneczna,DsKudSlon,02-01-1999,31-12-2004,background,urban,in-house,DOLNOŚLĄSKIE,Kudowa-Zdrój,ul. Słoneczna 17,50.439976,16.248312,powiat kłodzki,KUDOWA-ZDROJ,50.43694444,16.61416667,KLODZKO                                 
53,DsLadekMOB,PL0686A,Lądek-Zdrój,DsLadekMOB,17-01-2018,31-12-2018,background,urban,mobile,DOLNOŚLĄSKIE,Lądek-Zdrój,Św. Królowej Jadwigi,50.341864,16.889899,powiat kłodzki,LADEK-ZDROJ,50.43694444,16.61416667,KLODZKO                                 
54,DsLadekWol,,Lądek Zdrój - ul. Wolności,DsLadekWol,02-01-1992,31-12-2004,background,urban,in-house,DOLNOŚLĄSKIE,Lądek-Zdrój,ul. Wolności 4,50.345683,16.888804,powiat kłodzki,LADEK-ZDROJ,50.43694444,16.61416667,KLODZKO                                 
55,DsLegAlRzecz,PL0190A,"Legnica, al. Rzeczypospolitej",,01-10-2004,,background,urban,container,DOLNOŚLĄSKIE,Legnica,al. Rzeczypospolitej 10/12,51.204503,16.180513,Legnica,LEGNICA,51.1925,16.2075,LEGNICA                                 
56,DsLegIwasz,,Legnica - Iwaszkiewicza,DsLegIwasz,01-01-1997,31-12-2003,background,urban,in-house,DOLNOŚLĄSKIE,Legnica,ul. Iwaszkiewicza 5,51.208189,16.216706,Legnica,LEGNICA,51.1925,16.2075,LEGNICA                                 
57,DsLegJaworz,,Legnica - Jaworzyńska,DsLegJaworz,01-01-1984,31-12-2003,background,urban,container,DOLNOŚLĄSKIE,Legnica,ul. Jaworzyńska,51.191168,16.156159,Legnica,LEGNICA,51.1925,16.2075,LEGNICA                                 
58,DsLegKsiez,,Legnica - Księżycowa,DsLegKsiez,01-10-1996,30-04-2006,background,urban,container,DOLNOŚLĄSKIE,Legnica,ul. Księżycowa 14,51.208727,16.190277,Legnica,LEGNICA,51.1925,16.2075,LEGNICA                                 
59,DsLegMick,,Legnica - Mickiewicza,DsLegMick,01-01-1996,31-12-2004,background,urban,in-house,DOLNOŚLĄSKIE,Legnica,ul. Mickiewicza 24,51.202831,16.164608,Legnica,LEGNICA,51.1925,16.2075,LEGNICA                                 
60,DsLegPolarna,PL0738A,"Legnica, ul. Polarna",,01-01-2019,,background,urban,dust collector,DOLNOŚLĄSKIE,Legnica,ul. Polarna 1,51.208104,16.183784,Legnica,LEGNICA,51.1925,16.2075,LEGNICA                                 
61,DsLegPoraz,PL0540A,Legnica - Porazińskiej,DsLegPoraz,01-01-2011,31-12-2013,industrial,suburban,container,DOLNOŚLĄSKIE,Legnica,ul. Porazińskiej,51.193519,16.135192,Legnica,LEGNICA,51.1925,16.2075,LEGNICA                                 
62,DsLegRzecz,,Legnica - Aleja Rzeczypospolitej,DsLegRzecz,09-01-1999,10-02-2005,background,urban,container,DOLNOŚLĄSKIE,Legnica,ul. Rzeczypospolitej,51.204196,16.179819,Legnica,LEGNICA,51.1925,16.2075,LEGNICA                                 
63,DsLegRzeczPM,,"Legnica, al. Rzeczypospolitej (PSSE)",DsLegRzeczPM,01-01-2005,31-12-2007,background,urban,dust collector,DOLNOŚLĄSKIE,Legnica,ul. Rzeczypospolitej,51.20423,16.180763,Legnica,LEGNICA,51.1925,16.2075,LEGNICA                                 
64,DsLegSmok,PL0301A,Legnica - Smokowicka,DsLegSmok,01-01-2003,31-12-2010,industrial,urban,container,DOLNOŚLĄSKIE,Legnica,ul. Smokowicka,51.180776,16.098375,Legnica,LEGNICA,51.1925,16.2075,LEGNICA                                 
65,DsLegZlotor,PL0263A,Legnica - Złotoryjska,DsLegZlotor,03-01-1996,31-12-2010,industrial,suburban,container,DOLNOŚLĄSKIE,Legnica,ul. Złotoryjska,51.188018,16.129061,Legnica,LEGNICA,51.1925,16.2075,LEGNICA                                 
66,DsLesnaRyn,,Leśna - Rynek,DsLesnaRyn,02-01-1994,31-12-2002,background,urban,in-house,DOLNOŚLĄSKIE,Leśna,ul. Rynek 19,51.023029,15.263245,powiat lubański,LESNA,50.90027778,15.78888889,JELENIA GORA                            
67,DsLubanMieszMOB,PL0747A,Lubań - Mieszka II,DsLubanMieszMOB,01-01-2019,02-06-2021,background,urban,mobile,DOLNOŚLĄSKIE,Lubań,Mieszka II 1,51.119011,15.275539,powiat lubański,LUBAN,50.90027778,15.78888889,JELENIA GORA                            
68,DsLubanMOB,PL0687A,Lubań - Łączna,DsLubanMOB,11-01-2018,31-12-2018,background,urban,mobile,DOLNOŚLĄSKIE,Lubań,Łączna,51.118412,15.285835,powiat lubański,LUBAN,50.90027778,15.78888889,JELENIA GORA                            
69,DsLubanRyn,,Lubań - Rynek,DsLubanRyn,02-01-1994,31-12-2004,background,urban,in-house,DOLNOŚLĄSKIE,Lubań,ul. Rynek 19,51.120172,15.290536,powiat lubański,LUBAN,50.90027778,15.78888889,JELENIA GORA                            
70,DsLubanZaw,,Lubań - Zawidowska,DsLubanZaw,03-01-1993,31-12-2003,background,urban,in-house,DOLNOŚLĄSKIE,Lubań,ul. Zawidowska 4,51.1166,15.27208,powiat lubański,LUBAN,50.90027778,15.78888889,JELENIA GORA                            
71,DsLubinMaj,PL0056A,Lubin - 1-go Maja,DsLubinMaj,01-01-1998,31-12-2009,background,urban,in-house,DOLNOŚLĄSKIE,Lubin,ul. 1 Maja 15,51.398416,16.199642,powiat lubiński,LUBIN,51.1925,16.2075,LEGNICA                                 
72,DsLubinMob,PL0577A,Lubin - Mobil Mercedes,DsLubinMob,01-01-2012,31-12-2012,background,urban,mobile,DOLNOŚLĄSKIE,Lubin,ul. Wierzbowa,51.406741,16.187307,powiat lubiński,LUBIN,51.1925,16.2075,LEGNICA                                 
73,DsLubinSowia,,"Lubin,ul.Sowia",DsLubinSowia,06-01-2004,31-12-2005,background,urban,container,DOLNOŚLĄSKIE,Lubin,ul. Sowia,51.38,16.212564,powiat lubiński,LUBIN,51.1925,16.2075,LEGNICA                                 
74,DsLubiWierzb,PL0632A,Lubin - Wierzbowa,DsLubiWierzb,01-01-2016,31-12-2016,background,urban,dust collector,DOLNOŚLĄSKIE,Lubin,ul. Wierzbowa 70,51.406505,16.188329,powiat lubiński,LUBIN,51.1925,16.2075,LEGNICA                                 
75,DsLwowekPart,,Lwówek Śl.- Partyzantów,DsLwowekPart,02-01-1994,31-12-2003,background,urban,in-house,DOLNOŚLĄSKIE,Lwówek Śląski,ul. Partyzantów 6,51.111733,15.579598,powiat lwówecki,LWOWEK SLASKI,50.90027778,15.78888889,JELENIA GORA                            
76,DsMiliczMOB,PL0778A,Milicz,,08-01-2021,31-12-2021,background,urban,mobile,DOLNOŚLĄSKIE,Milicz,ul. Armii Krajowej 7,51.52785,17.276844,powiat milicki,MILICZ,51.10333333,16.9,WROCLAW                                 
77,DsNowRudJezi,PL0745A,"Nowa Ruda, ul. Jeziorna",,01-01-2019,,background,urban,container,DOLNOŚLĄSKIE,Nowa Ruda,ul. Jeziorna 19,50.581492,16.498245,powiat kłodzki,NOWA RUDA,50.43694444,16.61416667,KLODZKO                                 
78,DsNowRudSreb,PL0191A,Nowa Ruda - Srebrna,DsNRudaSrebP,01-01-2011,31-12-2018,background,urban,container,DOLNOŚLĄSKIE,Nowa Ruda,ul. Srebrna 1a,50.579914,16.514422,powiat kłodzki,NOWA RUDA,50.43694444,16.61416667,KLODZKO                                 
79,DsNRudaPil,,Nowa Ruda - ul. Piłsudskiego,DsNRudaPil,02-01-2000,31-07-2003,background,urban,in-house,DOLNOŚLĄSKIE,Nowa Ruda,ul. Piłsudskiego 14,50.58389,16.502458,powiat kłodzki,NOWA RUDA,50.43694444,16.61416667,KLODZKO                                 
80,DsNRudaSlupPM,,Nowa Ruda - Słupiec (PM10),DsNRudaSlupPM,01-03-2005,31-12-2006,background,urban,dust collector,DOLNOŚLĄSKIE,Nowa Ruda - Słupiec,ul. Wiejska 15,50.550008,16.553645,powiat kłodzki,NOWA RUDA - SLUPIEC,50.43694444,16.61416667,KLODZKO                                 
81,DsNRudaSrebA,,Nowa Ruda - ul. Srebrna (AUT),DsNRudaSrebA,01-01-2005,31-12-2010,background,urban,container,DOLNOŚLĄSKIE,Nowa Ruda,ul. Srebrna,50.579924,16.514303,powiat kłodzki,NOWA RUDA,50.43694444,16.61416667,KLODZKO                                 
82,DsNRudaSrebPArch,,Nowa Ruda - ul. Srebrna (PM10-Arch),DsNRudaSrebPArch,06-06-2003,31-12-2009,background,urban,dust collector,DOLNOŚLĄSKIE,Nowa Ruda,ul. Srebrna 1a,50.579913,16.514422,powiat kłodzki,NOWA RUDA,50.43694444,16.61416667,KLODZKO                                 
83,DsOla3Maj,,Oława - 3 Maja,DsOla3Maj,01-01-1978,31-12-2005,background,urban,in-house,DOLNOŚLĄSKIE,Oława,ul. 3 Maja 1A,50.945755,17.29615,powiat oławski,OLAWA,51.06666667,16.91666667,ZYBISZOW                                
84,DsOlawZolnAK,PL0317A,"Oława, ul. Żołnierzy Armii Krajowej",,01-07-2008,,background,urban,container,DOLNOŚLĄSKIE,Oława,ul. Żołnierzy AK 9,50.942073,17.291333,powiat oławski,OLAWA,51.06666667,16.91666667,ZYBISZOW                                
85,DsOlesBrzozo,PL0476A,"Oleśnica, ul. Brzozowa",,01-01-2011,,background,urban,dust collector,DOLNOŚLĄSKIE,Oleśnica,ul. Brzozowa 7,51.217483,17.389997,powiat oleśnicki,OLESNICA,51.10333333,16.9,WROCLAW                                 
86,DsOlesnicaPM-Arch,,Oleśnica - Brzozowa (PM10-Arch),DsOlesnicaPM-Arch,01-01-2009,31-12-2009,background,urban,dust collector,DOLNOŚLĄSKIE,Oleśnica,ul. Brzozowa 7,51.217494,17.389998,powiat oleśnicki,OLESNICA,51.10333333,16.9,WROCLAW                                 
87,DsOlesRyn,,Oleśnica - Rynek,DsOlesRyn,01-01-1995,31-12-2005,background,urban,in-house,DOLNOŚLĄSKIE,Oleśnica,ul. Rynek Ratusz 12,51.209491,17.379688,powiat oleśnicki,OLESNICA,51.10333333,16.9,WROCLAW                                 
88,DsOsieczow21,PL0505A,Osieczów,,01-01-2010,,background,nonurban,container,DOLNOŚLĄSKIE,Osieczów,bez ulicy,51.31763,15.431719,powiat bolesławiecki,OSIECZOW,50.90027778,15.78888889,JELENIA GORA                            
89,DsPolanPark,,Polanica Zdrój - ul. Parkowa,DsPolanPark,02-01-1994,31-12-2004,background,urban,in-house,DOLNOŚLĄSKIE,Polanica-Zdrój,ul. Parkowa 4,50.407434,16.511192,powiat kłodzki,POLANICA-ZDROJ,50.43694444,16.61416667,KLODZKO                                 
90,DsPolanSportMOB,PL0633A,Polanica-Zdrój - Sportowa,DsPolanSportMOB,01-01-2016,,background,urban,mobile,DOLNOŚLĄSKIE,Polanica-Zdrój,ul. Sportowa 9,50.415758,16.513058,powiat kłodzki,POLANICA-ZDROJ,50.43694444,16.61416667,KLODZKO                                 
91,DsPolKasztan,PL0057A,"Polkowice, ul. Kasztanowa",,01-05-2004,,background,urban,dust collector,DOLNOŚLĄSKIE,Polkowice,ul. Kasztanowa 29,51.50237,16.075051,powiat polkowicki,POLKOWICE,51.1925,16.2075,LEGNICA                                 
92,DsPolkDabr,,Polkowice - Dąbrowskiego,DsPolkDabr,01-01-1994,31-12-2003,background,urban,in-house,DOLNOŚLĄSKIE,Polkowice,ul. Dąbrowskiego,51.503659,16.075061,powiat polkowicki,POLKOWICE,51.1925,16.2075,LEGNICA                                 
93,DsPrzerzZdr,,Przerzeczyn Zdrój - ul. Zdrojowa,DsPrzerzZdr,02-01-1994,31-12-2003,background,nonurban,in-house,DOLNOŚLĄSKIE,Przerzeczyn-Zdrój,ul. Zdrojowa 31,50.685276,16.831781,powiat dzierżoniowski,PRZERZECZYN-ZDROJ,50.43694444,16.61416667,KLODZKO                                 
94,DsRadomierz,PL0318A,Radomierzyce,DsRadomierz,01-01-1996,31-12-2013,industrial,nonurban,container,DOLNOŚLĄSKIE,Radomierzyce,,51.0583,14.973735,powiat zgorzelecki,RADOMIERZYCE,50.90027778,15.78888889,JELENIA GORA                            
95,DsRudna,PL0265A,Rudna,DsRudna,01-01-2003,31-12-2013,industrial,nonurban,container,DOLNOŚLĄSKIE,Rudna,,51.512506,16.251711,powiat lubiński,RUDNA,51.1925,16.2075,LEGNICA                                 
96,DsRudnaWit,,Rudna - W.Witosa,DsRudnaWit,01-10-1992,31-12-2003,industrial,nonurban,container,DOLNOŚLĄSKIE,Rudna,ul. W. Witosa,51.504339,16.261379,powiat lubiński,RUDNA,51.1925,16.2075,LEGNICA                                 
97,DsSlone,,Słone,DsSlone,01-01-1980,31-12-2003,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Słone,,51.661053,16.022652,powiat głogowski,SLONE,51.83555556,16.53472222,LESZNO                                  
98,DsSnie04,PL0058A,Śnieżne Kotły,DsSnie04,01-07-1996,31-12-2010,background,nonurban,container,DOLNOŚLĄSKIE,Śnieżne Kotły,Śnieżne Kotły,50.778373,15.557425,powiat karkonoski,SNIEZNE KOTLY,50.73,15.73,SNIEZKA                                 
