Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [mg/m3],Min [mg/m3],Max [mg/m3],Max (S8max) [mg/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdyPoreb04,CO,1g,0.332525039,0.120255,2.82573,1.8619025,8475,96.74,1.04
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmSopBitPl06,CO,1g,0.302560111,0.142469,1.68611,1.253810375,8628,98.49,1.01
2017,pomorskie,PL2202,strefa pomorska,PmKosTargo12,CO,1g,0.4763609,0.143139,5.53302,3.9792725,8610,98.28,1
2017,pomorskie,PL2202,strefa pomorska,PmLebMalcz16,CO,1g,0.427079814,0.0850142,5.57003,3.183455,8200,93.6,0.92
2017,pomorskie,PL2202,strefa pomorska,PmLinieKos17,CO,1g,0.359295124,0.13241,1.28558,0.971955375,8477,96.76,1.02
2017,pomorskie,PL2202,strefa pomorska,PmMalMicki15,CO,1g,0.370066293,0.00946299,1.92831,1.76423125,4976,56.8,2.05
2017,pomorskie,PL2202,strefa pomorska,PmSlupKniazi,CO,1g,0.284419906,0.0294452,2.37062,1.043200625,6168,70.41,1.86
2017,pomorskie,PL2202,strefa pomorska,PmStaGdaLubi,CO,1g,0.397003234,0.138283,3.044,2.575875,6707,76.56,1.57
2017,śląskie,PL2401,Aglomeracja Górnośląska,SlDabro1000L,CO,1g,0.505289423,0.07912,5.77483,4.81737125,8741,99.78,1
2017,śląskie,PL2401,Aglomeracja Górnośląska,SlKatoPlebA4,CO,1g,0.550377125,0.04522,4.78431,3.234705,8678,99.06,1.02
2017,śląskie,PL2401,Aglomeracja Górnośląska,SlZabSkloCur,CO,1g,0.556938823,0.06739,8.64001,7.770925,8678,99.06,1.01
2017,śląskie,PL2402,Aglomeracja Rybnicko-Jastrzębska,SlRybniBorki,CO,1g,0.514432936,0.037,9.073,7.406375,8641,98.64,0.99
2017,śląskie,PL2402,Aglomeracja Rybnicko-Jastrzębska,SlZorySikor2,CO,1g,0.500503222,0.0838,6.60087,5.51374,8749,99.87,1
2017,śląskie,PL2403,miasto Bielsko-Biała,SlBielKossak,CO,1g,0.498597252,0.07835,5.02355,3.99947,8744,99.81,1
2017,śląskie,PL2404,miasto Częstochowa,SlCzestoArmK,CO,1g,0.529203642,0.08272,7.39561,6.57061,8726,99.61,1
2017,śląskie,PL2404,miasto Częstochowa,SlCzestoBacz,CO,1g,0.398768887,0.1105,5.5926,4.8095575,8374,95.59,0.99
2017,śląskie,PL2405,strefa śląska,SlCiesMickie,CO,1g,0.459470307,0.09099,4.47914,3.5172,8694,99.24,1.01
2017,śląskie,PL2405,strefa śląska,SlWodzGalczy,CO,1g,0.539958912,0.06592,9.31602,7.34744,8708,99.4,1.01
2017,świętokrzyskie,PL2601,miasto Kielce,SkKielJagiel,CO,1g,0.402835804,0.023,5.328,4.436375,8703,99.34,1
2017,świętokrzyskie,PL2602,strefa świętokrzyska,SkPolaRuszcz,CO,1g,0.379240171,0,4.089,3.876125,8405,95.94,0.96
2017,warmińsko-mazurskie,PL2801,miasto Olsztyn,WmOlsPuszkin,CO,1g,0.332684048,0.0756127,2.53747,1.53188875,8544,97.53,1.03
2017,warmińsko-mazurskie,PL2802,miasto Elbląg,WmElbBazynsk,CO,1g,0.294969673,0.0765987,2.62779,1.76112,8720,99.54,1
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmGoldJacwie,CO,1g,0.348943571,0.0712884,2.62306,1.75625,8698,99.29,1
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmOstrPilsud,CO,1g,0.294104291,0.0916207,2.7651,1.4973845,8160,93.15,1
2017,wielkopolskie,PL3001,Aglomeracja Poznańska,WpPoznDabrow,CO,1g,0.347523013,0.06937,3.57206,2.83783375,8600,98.17,1.01
2017,wielkopolskie,PL3001,Aglomeracja Poznańska,WpPoznPolank,CO,1g,0.390176237,0.05781,3.19647,2.39039875,8647,98.71,1.01
2017,wielkopolskie,PL3002,miasto Kalisz,WpKaliSawick,CO,1g,0.295461,0.1052,2.56885,2.175415,8373,95.58,1.05
2017,wielkopolskie,PL3003,strefa wielkopolska,WpKoniWyszyn,CO,1g,0.299213969,-0.00842,1.7869,1.4324625,8402,95.91,0.97
2017,wielkopolskie,PL3003,strefa wielkopolska,WpPilaKusoci,CO,1g,0.336870049,0.00955,3.89059,3.04252875,8514,97.19,1.03
2017,zachodniopomorskie,PL3201,Aglomeracja Szczecińska,ZpSzczPils02,CO,1g,0.345193218,0.02969,2.80107,2.20385875,8741,99.78,1.01
2018,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocAlWisn,CO,1g,0.651686355,0.195476,2.88812,2.18923625,8590,98.05,1.02
2018,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,CO,1g,0.395189657,0.109033,1.94374,1.457538125,8374,95.59,0.98
2018,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,CO,1g,0.455226822,0.109214,2.78531,2.3083175,8634,98.56,0.99
2018,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,CO,1g,0.395595345,0.125419,2.92882,2.454595,8530,97.37,1.04
2018,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorOgin,CO,1g,0.373864008,0.108595,3.36661,2.1511375,8666,98.92,1
2018,dolnośląskie,PL0204,strefa dolnośląska,DsLadekMOB,CO,1g,0.342170915,0.124692,2.23847,1.142867875,8257,94.25,1.12
2018,dolnośląskie,PL0204,strefa dolnośląska,DsLubanMOB,CO,1g,0.449543232,0.0917153,4.01685,3.43901375,7865,89.78,1.23
2018,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,CO,1g,0.370397781,0.116587,2.17455,1.569018875,8666,98.92,1.01
2018,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,CO,1g,0.503028745,0.051,4.743,3.423875,8732,99.68,1
2018,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydWarszaw,CO,1g,0.446734822,0.067,3.327,2.423,8730,99.65,1
2018,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruKaszow,CO,1g,0.354821396,0.101,2.882,2.077625,8656,98.81,1.03
2018,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruStorczMOB,CO,1g,0.341105176,0.046,4.505,3.403625,7882,89.97,0.98
2018,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclOkrze,CO,1g,0.51982157,0.168,4.35,3.4775,8727,99.62,1
2018,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudPilsud,CO,1g,0.595912797,0.047,6.507,5.287375,7408,84.56,0.89
2018,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,CO,1g,0.299477295,0.069,0.945,0.87,8060,92,1.08
2018,lubelskie,PL0601,Aglomeracja Lubelska,LbLubObywate,CO,1g,0.356407981,0,5.126,4.110125,8470,96.68,1.06
2018,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,CO,1g,0.327604215,0.00914,1.92882,1.4324725,7991,91.22,0.85
2018,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,CO,1g,0.320783368,0.0027,1.82315,1.316444286,8438,96.32,1.04
2018,lubuskie,PL0803,strefa lubuska,LuSulecDudka,CO,1g,0.445788881,0.17435,3.30837,2.37660625,8558,97.69,1.03
2018,lubuskie,PL0803,strefa lubuska,LuWsKaziWiel,CO,1g,0.418250356,0.02905,2.71213,2.29302375,8472,96.71,0.97
2018,lubuskie,PL0803,strefa lubuska,LuZarySzyman,CO,1g,0.35130732,0.00894,3.7528,2.61420625,8635,98.57,1
2018,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzCzerni,CO,1g,0.403091245,0.169,2.167,1.295625,8669,98.96,1
2018,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzGdansk,CO,1g,0.490944732,0.14,4.273,2.438125,8703,99.34,1.01
2018,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzJanPaw,CO,1g,0.541132187,0.16,2.872,2.21,8488,96.89,0.96
2018,łódzkie,PL1001,Aglomeracja Łódzka,LdZgieMielcz,CO,1g,0.496604884,0.16,3.908,3.076125,8600,98.17,0.98
2018,łódzkie,PL1002,strefa łódzka,LdPioTrKraPr,CO,1g,0.536378761,0.182,4.789,2.984875,8541,97.5,0.98
2018,łódzkie,PL1002,strefa łódzka,LdRadomsRoln,CO,1g,0.547271367,0.156,4.634,3.696875,8586,98.01,0.98
2018,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakAlKras,CO,1g,0.826122872,0.10112,4.49594,3.19830625,8583,97.97,1.02
2018,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBulwar,CO,1g,0.559190566,0.10739,3.58139,3.25038375,8469,96.67,1.01
2018,małopolskie,PL1202,miasto Tarnów,MpTarRoSitko,CO,1g,0.642224058,0.15275,4.41416,3.7615975,8686,99.15,1.01
2018,małopolskie,PL1203,strefa małopolska,MpTrzebOsZWM,CO,1g,0.330020597,0.09706,2.95041,2.10499125,8680,99.08,1.01
2018,małopolskie,PL1203,strefa małopolska,MpZakopaSien,CO,1g,0.521879943,0.10048,4.43966,3.2104075,8593,98.09,1.02
2018,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarAlNiepo,CO,1g,0.593068882,0.169,3.675857668,2.200266119,8740,99.77,1.01
2018,mazowieckie,PL1402,miasto Płock,MzPlocKroJad,CO,1g,0.374543448,0.099,2.244,1.446875,8562,97.73,1
2018,mazowieckie,PL1402,miasto Płock,MzPlocMiReja,CO,1g,0.369821421,0.11,3.007605669,1.697597849,8668,98.94,1
2018,mazowieckie,PL1403,miasto Radom,MzRadTochter,CO,1g,0.424504587,0.133,5.410953912,4.342979999,8648,98.72,1.02
2018,mazowieckie,PL1404,strefa mazowiecka,MzBelsIGFPAN,CO,1g,0.271930386,0.105226501,1.246519897,1.132225044,8649,98.73,0.99
2018,mazowieckie,PL1404,strefa mazowiecka,MzKonJezMos,CO,1g,0.404291207,0.084,2.323,1.867,8337,95.17,1.07
2018,mazowieckie,PL1404,strefa mazowiecka,MzOtwoBrzozo,CO,1g,0.424647851,0.109054936,7.390626163,5.151607685,8577,97.91,1
2018,opolskie,PL1602,strefa opolska,OpKKozBSmial,CO,1g,0.34936645,0.06425,2.27094,2.041357143,8124,92.73,1.15
2018,podkarpackie,PL1801,miasto Rzeszów,PkRzeszRejta,CO,1g,0.364891212,0.09519,3.07128,2.12621125,8687,99.16,1.01
2018,podkarpackie,PL1802,strefa podkarpacka,PkNiskoSzkla,CO,1g,0.265023267,0.0191,2.70589,1.704555,8720,99.54,1
2018,podlaskie,PL2001,Aglomeracja Białostocka,PdBialWaszyn,CO,1g,0.388924333,0.146,3.337,2.443625,8577,97.91,1.03
2018,podlaskie,PL2002,strefa podlaska,PdAugustoZdrMOB,CO,1g,0.420767019,0.14,2.607,1.226625,3687,42.08,0.72
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaLeczk08,CO,1g,0.390401528,0.132587,2.35539,2.06882,8378,95.63,1.04
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaOstrz05,CO,1g,0.373382396,0.176097,2.01186,1.5761325,8451,96.47,0.97
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaPoWie01,CO,1g,0.338086112,0.10885,2.82747,2.41823875,8666,98.92,1.01
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaWyzwo03,CO,1g,0.369730155,0.1214,2.12111,1.8388125,8604,98.21,1.01
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdyPoreb04,CO,1g,0.374105016,0.107149,2.76965,1.813106,8390,95.77,0.94
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmSopBitPl06,CO,1g,0.346755962,0.116243,1.92731,1.64032125,8583,97.97,1
2018,pomorskie,PL2202,strefa pomorska,PmKosTargo12,CO,1g,0.530199711,0.116863,4.10035,3.00589625,8293,94.66,0.98
2018,pomorskie,PL2202,strefa pomorska,PmLebMalcz16,CO,1g,0.530906478,0.12847,4.2503,3.237695,8405,95.94,0.94
2018,pomorskie,PL2202,strefa pomorska,PmLinieKos17,CO,1g,0.378714013,0.167786,1.59325,1.03346275,8389,95.76,0.96
2018,pomorskie,PL2202,strefa pomorska,PmMalMicki15,CO,1g,0.564738322,0.0901068,2.99342,2.54230375,4230,48.28,0.46
2018,pomorskie,PL2202,strefa pomorska,PmSlupKniazi,CO,1g,0.46537972,0.149546,1.62184,1.029252375,1450,16.55,0
2018,śląskie,PL2401,Aglomeracja Górnośląska,SlDabro1000L,CO,1g,0.479347805,0.14466,3.29908,2.64648375,8739,99.76,1
2018,śląskie,PL2401,Aglomeracja Górnośląska,SlKatoPlebA4,CO,1g,0.48891825,0.13072,2.41587,2.01361125,8722,99.56,1.01
2018,śląskie,PL2401,Aglomeracja Górnośląska,SlZabSkloCur,CO,1g,0.481717795,0.14127,4.28478,3.6106475,8712,99.45,1
2018,śląskie,PL2402,Aglomeracja Rybnicko-Jastrzębska,SlRybniBorki,CO,1g,0.50254808,0.11589,4.77504,3.89415125,8662,98.88,0.99
2018,śląskie,PL2402,Aglomeracja Rybnicko-Jastrzębska,SlZorySikor2,CO,1g,0.456780926,0.10761,3.78059,2.6151475,8319,94.96,0.91
2018,śląskie,PL2403,miasto Bielsko-Biała,SlBielPartyz,CO,1g,0.504760635,0.14425,5.01902,4.300396667,8389,95.76,1.07
2018,śląskie,PL2404,miasto Częstochowa,SlCzestoArmK,CO,1g,0.499775671,0.11558,4.85024,4.31029875,8552,97.62,1
2018,śląskie,PL2404,miasto Częstochowa,SlCzestoBacz,CO,1g,0.392254042,0.14584,3.09234,2.83307375,8734,99.7,1.01
2018,śląskie,PL2405,strefa śląska,SlCiesMickie,CO,1g,0.427243814,0.12116,2.68906,1.8761,8715,99.48,1.01
2018,śląskie,PL2405,strefa śląska,SlWodzGalczy,CO,1g,0.497118274,0.11387,5.09882,3.1903275,8713,99.46,1
2018,świętokrzyskie,PL2601,miasto Kielce,SkKielJagiel,CO,1g,0.567177363,0.024,4.05,3.080875,3428,39.13,0.59
2018,świętokrzyskie,PL2601,miasto Kielce,SkKielTargow,CO,1g,0.338571237,0.057,1.463,0.99275,2239,25.55,6.77
2018,świętokrzyskie,PL2602,strefa świętokrzyska,SkKonsGranatMOB,CO,1g,0.425887174,0.003,2.984,1.961,8348,95.29,1.1
2018,świętokrzyskie,PL2602,strefa świętokrzyska,SkPolaRuszcz,CO,1g,0.660834633,0.055,2.746,2.2295,4984,56.89,0.16
2018,warmińsko-mazurskie,PL2801,miasto Olsztyn,WmOlsPuszkin,CO,1g,0.33931631,0.0535147,1.6982,1.29443875,8703,99.34,1
2018,warmińsko-mazurskie,PL2802,miasto Elbląg,WmElbBazynsk,CO,1g,0.322758956,0.0669481,3.22199,2.39680875,8678,99.06,1
2018,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmGoldJacwie,CO,1g,0.350856972,0.0751777,2.91358,1.55506375,8544,97.53,0.96
2018,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmOstrPilsud,CO,1g,0.361558709,0.092191,3.06763,2.33896625,8745,99.82,1.01
2018,wielkopolskie,PL3001,Aglomeracja Poznańska,WpPoznDabrow,CO,1g,0.451526747,0.03512,3.78298,2.77463625,8559,97.7,0.99
2018,wielkopolskie,PL3001,Aglomeracja Poznańska,WpPoznPolank,CO,1g,0.499298916,0.09282,3.31397,1.97061375,7980,91.09,0.85
2018,wielkopolskie,PL3002,miasto Kalisz,WpKaliSawick,CO,1g,0.368339529,0.12768,2.70623,1.73163375,8549,97.59,0.98
2018,wielkopolskie,PL3003,strefa wielkopolska,WpKoniWyszyn,CO,1g,0.24163912,0.01002,2.09068,1.491495,8462,96.59,1.03
2018,wielkopolskie,PL3003,strefa wielkopolska,WpKozieosLes,CO,1g,0.342573549,0.07262,2.13212,1.58954375,8467,96.65,0.96
2018,wielkopolskie,PL3003,strefa wielkopolska,WpPilaKusoci,CO,1g,0.40863438,0.1004,2.15458,1.43763,8652,98.76,1.01
2018,zachodniopomorskie,PL3201,Aglomeracja Szczecińska,ZpSzczPils02,CO,1g,0.356001166,0.00422,2.94224,1.8844725,8026,91.62,0.84
2019,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocAlWisn,CO,1g,0.592104099,0.17033,3.95967,2.18080375,8687,99.16,1.01
2019,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,CO,1g,0.389186145,0.111296,2.56038,2.06685375,8253,94.21,0.92
2019,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,CO,1g,0.410338699,0.150226,3.96829,2.21162425,8678,99.06,1.01
2019,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,CO,1g,0.381538489,0.11019,2.58983,2.25633375,8608,98.26,1.01
2019,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorOgin,CO,1g,0.361809079,0.124684,2.67897,2.206504286,8639,98.61,1.02
2019,dolnośląskie,PL0204,strefa dolnośląska,DsLubanMieszMOB,CO,1g,0.407017308,0.123369,2.77285,2.282655,8586,98.01,0.98
2019,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,CO,1g,0.360329937,0.118897,2.14574,1.57107375,8662,98.88,1
2019,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,CO,1g,0.454925289,0.159,3.849,2.054666667,8312,94.88,1.09
2019,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydWarszaw,CO,1g,0.430020518,0.039,3.628,1.568875,8578,97.92,0.99
2019,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruKaszow,CO,1g,0.340588969,0.104,2.845,1.737875,8739,99.76,1.01
2019,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclOkrze,CO,1g,0.44711937,0.159,3.162,2.3295,8704,99.36,1.02
2019,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudPilsud,CO,1g,0.454160723,0.047,4.004,3.11525,8692,99.22,1.01
2019,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpWieniecZdrMOB,CO,1g,0.266979512,0.043,1.036,0.888875,8639,98.61,0.99
2019,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,CO,1g,0.250128025,0.091,0.769,0.668375,7561,86.31,1.08
2019,lubelskie,PL0601,Aglomeracja Lubelska,LbLubObywate,CO,1g,0.326748637,0.0026,3.26,2.453375,8506,97.1,0.97
2019,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,CO,1g,0.348656506,0.08636,2.5011,1.88445375,8643,98.66,1
2019,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,CO,1g,0.343602919,0.01482,1.95447,1.20758125,8633,98.55,1
2019,lubuskie,PL0803,strefa lubuska,LuSulecDudka,CO,1g,0.249012002,0.00366,2.39674,1.23671375,8628,98.49,1.01
2019,lubuskie,PL0803,strefa lubuska,LuWsKaziWiel,CO,1g,0.364310793,0.02118,2.68096,1.89625625,8159,93.13,0.97
2019,lubuskie,PL0803,strefa lubuska,LuZarySzyman,CO,1g,0.280814803,0.01084,2.81643,2.3021925,8444,96.39,0.99
2019,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzCzerni,CO,1g,0.392479856,0.188,2.369,1.719,8613,98.32,1.04
2019,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzGdansk,CO,1g,0.462911832,0.16,4.844,2.712375,8688,99.17,1.02
2019,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzJanPaw,CO,1g,0.530353569,0.186,4.464,3.271,8714,99.47,1
2019,łódzkie,PL1001,Aglomeracja Łódzka,LdZgieMielcz,CO,1g,0.466190788,0.154,3.9,2.9385,8706,99.38,1.01
2019,łódzkie,PL1002,strefa łódzka,LdPioTrKraPr,CO,1g,0.493192638,0.183,5.128,3.598625,8612,98.31,1.01
