Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging time,Mean [µg/m3],Min [µg/m3],Max [µg/m3],L>200 (S1),19 max (S1) [µg/m3],Perc. 99.8 (S1) [µg/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,opolskie,PL1601,miasto Opole,OpOpoleOsAKr,NO2,1g,16.226360823,1.08995,140.102,0,82.6545,83.4044,8668,98.94,1.02
2017,opolskie,PL1602,strefa opolska,OpKKozBSmial,NO2,1g,15.942294438,0.1,103.034,0,78.6974,78.9337,8651,98.75,1.01
2017,opolskie,PL1602,strefa opolska,OpZdziePiast,NO2,1g,15.456924555,0.4,110.874,0,86.7108,87.6415,8530,97.37,0.98
2017,podkarpackie,PL1801,miasto Rzeszów,PkRzeszRejta,NO2,1g,17.572836242,1.20994,140.068,0,95.1092,95.2845,8715,99.48,1
2017,podkarpackie,PL1802,strefa podkarpacka,PkJasloSikor,NO2,1g,12.462708922,1.16238,87.6128,0,66.21,66.6126,8485,96.86,1.01
2017,podkarpackie,PL1802,strefa podkarpacka,PkKrempnaMPN,NO2,1g,5.186423793,0.06374,35.2833,0,29.0539,29.7932,8592,98.08,1
2017,podkarpackie,PL1802,strefa podkarpacka,PkMielBierna,NO2,1g,19.466682558,2.54084,157.97,0,87.8212,88.5155,8681,99.09,1
2017,podkarpackie,PL1802,strefa podkarpacka,PkNiskoSzkla,NO2,1g,12.031189429,0.02602,94.3014,0,67.7841,67.7884,8619,98.39,1.02
2017,podkarpackie,PL1802,strefa podkarpacka,PkPrzemGrunw,NO2,1g,12.713155163,0.50712,129.546,0,87.4451,87.6283,8657,98.82,1.01
2017,podlaskie,PL2001,Aglomeracja Białostocka,PdBialPulPie,NO2,1g,9.245675881,0,70.5,0,49.8,50.4,7886,90.02,1.23
2017,podlaskie,PL2001,Aglomeracja Białostocka,PdBialWaszyn,NO2,1g,13.079151698,0.7,93.6,0,68.3,68.3,8629,98.5,1
2017,podlaskie,PL2002,strefa podlaska,PdAugustoZdrMOB,NO2,1g,10.053637833,0,74,0,38.9,47.6,2474,28.24,0.41
2017,podlaskie,PL2002,strefa podlaska,PdBorsukowiz,NO2,1g,3.342572759,0,28.6,0,21.8,22.1,8590,98.05,0.99
2017,podlaskie,PL2002,strefa podlaska,PdLomSikorsk,NO2,1g,13.45234984,0,104.9,0,70.9,71.4,8724,99.58,1
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaKacze02,NO2,1g,14.740410801,1.9758,75.5,0,61.8956,62.2326,8614,98.33,1.01
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaLeczk08,NO2,1g,16.938452997,2.1,110.606,0,77.1677,77.572,8325,95.03,1.05
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaOstrz05,NO2,1g,14.861484823,2.1512,108.187,0,78.3,80.3,7643,87.24,0.8
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaPoWie01,NO2,1g,19.370685899,1.9514,102.085,0,86.1,86.1756,8574,97.87,1.01
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaWyzwo03,NO2,1g,16.88365208,1.9611,127.834,0,103.4,105,8149,93.02,1.12
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdyPoreb04,NO2,1g,12.600632906,1.9532,98.0721,0,71.093,72.9636,7719,88.11,1.23
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdySzaf09N,NO2,1g,13.5936972,1.9575,138.25,0,77.0552,77.4394,8430,96.23,1.02
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdyWendy10,NO2,1g,19.263805752,2.066,119.428,0,85.8211,86.2779,8501,97.04,1
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmSopBitPl06,NO2,1g,12.714713911,2.0525,94.4973,0,70.1002,70.6127,8619,98.39,1.01
2017,pomorskie,PL2202,strefa pomorska,PmKosTargo12,NO2,1g,15.542024062,1.79048,79.1348,0,62.5793,62.7018,8565,97.77,1.01
2017,pomorskie,PL2202,strefa pomorska,PmLebaRabkaE,NO2,24g,4.224242424,0.3,25.3,,,,363,99.45,0.99
2017,pomorskie,PL2202,strefa pomorska,PmLebMalcz16,NO2,1g,10.716741339,0.51549,73.4767,0,48.7555,48.9836,8252,94.2,0.92
2017,pomorskie,PL2202,strefa pomorska,PmLinieKos17,NO2,1g,5.711440896,0.08534,44.3788,0,31.0313,36.0152,4886,55.77,1.3
2017,pomorskie,PL2202,strefa pomorska,PmMalMicki15,NO2,1g,14.099569538,0.3423,75.638,0,53.5597,54.7944,6515,74.37,1.55
2017,pomorskie,PL2202,strefa pomorska,PmSlupKniazi,NO2,1g,11.96036301,0.66814,71.3946,0,51.7042,51.9363,8604,98.21,0.99
2017,pomorskie,PL2202,strefa pomorska,PmStaGdaLubi,NO2,1g,13.820953194,1.48593,122.146,0,58.1223,65.3108,4721,53.89,1.03
2017,śląskie,PL2401,Aglomeracja Górnośląska,SlDabro1000L,NO2,1g,27.173291617,1.94577,149.904,0,121.447,121.792,8726,99.61,1
2017,śląskie,PL2401,Aglomeracja Górnośląska,SlGliwicMewy,NO2,1g,22.590339491,0.52,131.03,0,104.533,104.989,8656,98.81,1.01
2017,śląskie,PL2401,Aglomeracja Górnośląska,SlKatoKossut,NO2,1g,29.179719121,2.1595,177.677,0,121.033,125.58,8637,98.59,0.98
2017,śląskie,PL2401,Aglomeracja Górnośląska,SlKatoPlebA4,NO2,1g,57.482007231,1.93224,245.033,4,154.867,155.547,8671,98.98,1.02
2017,śląskie,PL2401,Aglomeracja Górnośląska,SlSosnoLubel,NO2,1g,25.406635733,3.13515,135.02,0,106.349,106.377,8712,99.45,1.01
2017,śląskie,PL2401,Aglomeracja Górnośląska,SlTychyTolst,NO2,1g,21.465079396,1.13445,124.627,0,94.734,97.8339,8745,99.82,1
2017,śląskie,PL2401,Aglomeracja Górnośląska,SlZabSkloCur,NO2,1g,24.655302876,1.8573,159.521,0,108.904,110.494,8735,99.71,1
2017,śląskie,PL2402,Aglomeracja Rybnicko-Jastrzębska,SlRybniBorki,NO2,1g,22.970204018,0.38306,138.974,0,103.971,108.239,8681,99.09,1.01
2017,śląskie,PL2403,miasto Bielsko-Biała,SlBielKossak,NO2,1g,20.74189806,0.13225,159.311,0,112.773,112.803,8723,99.57,1
2017,śląskie,PL2404,miasto Częstochowa,SlCzestoArmK,NO2,1g,36.080630554,3.03158,215.854,3,141.665,143.638,8743,99.8,1
2017,śląskie,PL2404,miasto Częstochowa,SlCzestoBacz,NO2,1g,19.395419219,0.42117,138.951,0,101.104,101.173,8459,96.56,1
2017,śląskie,PL2405,strefa śląska,SlCiesMickie,NO2,1g,13.986626855,0.4707,111.614,0,80.3821,80.5844,8731,99.66,1.01
2017,śląskie,PL2405,strefa śląska,SlUstronSana,NO2,1g,15.387050163,1.49728,110.986,0,84.5807,84.6891,8747,99.85,1
2017,śląskie,PL2405,strefa śląska,SlWodzGalczy,NO2,1g,20.586748356,1.05479,134.511,0,95.1873,95.9941,8735,99.71,1.01
2017,śląskie,PL2405,strefa śląska,SlZlotPotLes,NO2,1g,10.437751409,0.01685,75.0996,0,63.6436,64.3282,8665,98.91,1
2017,śląskie,PL2405,strefa śląska,SlZywieKoper,NO2,1g,17.036248997,0.09188,116.273,0,95.19,95.2415,8652,98.76,1.02
2017,świętokrzyskie,PL2601,miasto Kielce,SkKielJagiel,NO2,1g,23.216853017,1.2,159.4,0,118.9,119.8,8586,98.01,1.02
2017,świętokrzyskie,PL2602,strefa świętokrzyska,SkMalo11List,NO2,1g,10.182120427,0,66.8,0,49.2,60.5,2390,27.28,0.31
2017,świętokrzyskie,PL2602,strefa świętokrzyska,SkMaloSlonec,NO2,1g,14.232123412,2.4,48.5,0,40.2,46,2204,25.15,0.01
2017,świętokrzyskie,PL2602,strefa świętokrzyska,SkNowiParkow,NO2,1g,17.751235774,2,104,0,82,82,8699,99.3,1.01
2017,świętokrzyskie,PL2602,strefa świętokrzyska,SkPolaRuszcz,NO2,1g,12.82664268,0.4,127.5,0,75.3,77.1,7643,87.24,1.2
2017,świętokrzyskie,PL2602,strefa świętokrzyska,SkSwietKrzyz,NO2,1g,3.41051782,0,45,0,32.65,33,8642,98.65,1.03
2017,warmińsko-mazurskie,PL2801,miasto Olsztyn,WmOlsPuszkin,NO2,1g,14.090215804,-0.19471,106.024,0,72.6291,75.3094,8594,98.1,1.01
2017,warmińsko-mazurskie,PL2802,miasto Elbląg,WmElbBazynsk,NO2,1g,13.357868712,0,93.2089,0,65.6878,65.767,8720,99.54,1
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmElkStadion,NO2,1g,10.371397592,0,80.8189,0,53.7854,54.4068,8743,99.8,1
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmGoldJacwie,NO2,1g,8.225992365,0,57.2028,0,43.9271,44.702,8732,99.68,1.01
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmOstrPilsud,NO2,1g,15.741583464,0,114.192,0,78.9629,80.4224,8134,92.85,0.99
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,NO2,1g,4.616343292,0.05,26.6598,0,21.0324,21.2942,7925,90.46,1.16
2017,wielkopolskie,PL3001,Aglomeracja Poznańska,WpPoznDabrow,NO2,1g,21.435138062,0.09772,185.827,0,107.787,108.104,8634,98.56,1
2017,wielkopolskie,PL3001,Aglomeracja Poznańska,WpPoznPolank,NO2,1g,20.88138115,0.93905,116.037,0,87.6717,88.2331,8655,98.8,1.01
2017,wielkopolskie,PL3002,miasto Kalisz,WpKaliSawick,NO2,1g,17.11189236,0.46896,108.931,0,82.0044,82.0429,8632,98.53,1.01
2017,wielkopolskie,PL3003,strefa wielkopolska,WpBoroDrapal,NO2,1g,12.495759588,0.24307,83.5103,0,64.4612,65.425,8538,97.46,1.02
2017,wielkopolskie,PL3003,strefa wielkopolska,WpKoniWyszyn,NO2,1g,15.730220598,1.56492,83.4541,0,71.3606,71.6753,8539,97.47,1.03
2017,wielkopolskie,PL3003,strefa wielkopolska,WpPiaskiKrzy,NO2,1g,8.838740878,0.34559,71.6084,0,41.9008,41.9942,8592,98.08,1.01
2017,wielkopolskie,PL3003,strefa wielkopolska,WpPilaKusoci,NO2,1g,14.27084972,0.39228,96.2007,0,68.4619,68.6557,8619,98.39,1.01
2017,zachodniopomorskie,PL3201,Aglomeracja Szczecińska,ZpSzczAndr01,NO2,1g,14.520061677,0.94591,98.3012,0,65.7818,66.0283,8607,98.25,1.01
2017,zachodniopomorskie,PL3201,Aglomeracja Szczecińska,ZpSzczPils02,NO2,1g,22.979307499,0.28946,137.968,0,86.3762,87.0555,8556,97.67,0.99
2017,zachodniopomorskie,PL3202,miasto Koszalin,ZpKoszArKraj,NO2,1g,22.858976016,0.4233,169.764,0,100.739,101.818,8631,98.52,1.01
2017,zachodniopomorskie,PL3203,strefa zachodniopomorska,ZpSzczecPrze,NO2,1g,11.668183213,0.40555,91.9451,0,62.2621,62.3225,8614,98.33,1
2017,zachodniopomorskie,PL3203,strefa zachodniopomorska,ZpWiduBulRyb,NO2,1g,8.842320955,0.09932,70.8927,0,39.2746,39.3352,8554,97.64,1.02
2018,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocAlWisn,NO2,1g,45.566711034,0.1588,183.68,0,136.836,137.05,8664,98.9,1
2018,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocBartni,NO2,1g,16.173462458,0.01912,95.9415,0,62.9802,63.1629,8690,99.2,1
2018,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,NO2,1g,21.793479052,0.26024,116.687,0,87.2897,88.4324,8452,96.48,0.97
2018,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,NO2,1g,21.317764376,1.89129,123.64,0,93.3391,93.7411,8401,95.9,0.94
2018,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,NO2,1g,15.207159213,0.17049,93.2759,0,71.6434,71.7834,8652,98.76,1.01
2018,dolnośląskie,PL0204,strefa dolnośląska,DsCzerStraza,NO2,1g,6.079853894,0,32.4466,0,25.9039,26.1238,8548,97.57,1.02
2018,dolnośląskie,PL0204,strefa dolnośląska,DsDzialoszyn,NO2,1g,10.425220702,0,70.8656,0,41.1032,41.398,8458,96.55,0.96
2018,dolnośląskie,PL0204,strefa dolnośląska,DsDziePilsud,NO2,1g,17.337447291,1.40392,87.9003,0,78.2936,78.393,8633,98.55,1.02
2018,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorOgin,NO2,1g,11.955489132,0,68.3328,0,55.0805,55.0879,8664,98.9,1
2018,dolnośląskie,PL0204,strefa dolnośląska,DsKlodzSzkol,NO2,1g,15.661652144,0,91.5651,0,72.7627,73.7209,8484,96.84,1.04
2018,dolnośląskie,PL0204,strefa dolnośląska,DsLadekMOB,NO2,1g,8.035901335,0,52.7543,0,37.1258,38.505,7499,85.6,1.38
2018,dolnośląskie,PL0204,strefa dolnośląska,DsLubanMOB,NO2,1g,19.076952471,2.43851,90.6121,0,73.1428,74.0564,7883,89.98,1.23
2018,dolnośląskie,PL0204,strefa dolnośląska,DsOlawZolnAK,NO2,1g,17.127613276,1.37542,89.7145,0,68.7765,69.4558,7524,85.89,1.26
2018,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,NO2,1g,8.935050147,0,64.2528,0,36.9616,36.9908,8557,97.68,1.01
2018,dolnośląskie,PL0204,strefa dolnośląska,DsSniezkaObs,NO2,24g,3.965753425,1.6,11.2,,,,365,100,1.01
2018,dolnośląskie,PL0204,strefa dolnośląska,DsZabkPowWar,NO2,1g,14.587029793,0,82.5857,0,61.0029,61.6546,8637,98.59,1.01
2018,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,NO2,1g,17.010739467,0,94.8564,0,75.8039,77.3877,8579,97.93,1.01
2018,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,NO2,1g,28.196657861,1.3,113.8,0,98.7,99.2,8707,99.39,1
2018,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydWarszaw,NO2,1g,24.55728022,4.5,106.2,0,89.8,90,8736,99.72,1
2018,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruKaszow,NO2,1g,20.3118736,1,122,0,86,86,8481,96.81,0.95
2018,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruStorczMOB,NO2,1g,13.778771094,0.1,88.1,0,68.4,69.1,7763,88.61,0.94
2018,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruWSikor,NO2,1g,15.023174824,0,118.5,0,86.8,87.5,8643,98.66,1.02
2018,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclOkrze,NO2,1g,27.635545621,0.1,131.1,0,97.1,97.4,8724,99.58,1
2018,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,NO2,1g,9.764467473,0.5,65.8,0,56,56.2,8685,99.14,1.02
2018,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudPilsud,NO2,1g,21.225466714,1.3,92.4,0,76.3,76.6,8517,97.22,1.05
2018,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpInowSolank,NO2,1g,10.549588719,0,121.1,0,71,72.2,8510,97.14,0.98
2018,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpKoniczynka,NO2,1g,8.411903309,0.8,60.9,0,40.7,40.8,8191,93.5,1.1
