Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [µg/m3],Min [µg/m3],Max [µg/m3],L>50 (S24),36 max (S24) [µg/m3],Perc. 90.4 (S24) [µg/m3],Max (S24) [µg/m3],Number of measurements,Completeness [%],Summer/Winter number
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpBrodKochan,PM10,24g,32.428128252,3.80132688,174.93997903,49,58.20268997,58.20268997,174.93997903,364,99.72,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,PM10,24g,24.61694455,2.8118679,169.92849795,26,43.77911956,44.28897239,169.92849795,359,98.35,1.04
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudPilsud,PM10,1g,33.326980416,0.99216691,1386.3,52,64.044568967,64.870833333,361.908333333,8307,94.82,1.09
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudSienki,PM10,24g,31.314559364,4.12694408,186.44260678,45,56.12158917,56.12158917,186.44260678,365,100,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpInowSolank,PM10,1g,27.390178076,1.0238,244.4774,30,46.806216667,46.806216667,156.284233333,8639,98.61,0.99
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpInowSolank,PM10,24g,26.585859208,4.10030879,153.94440584,27,45.57511367,45.57511367,153.94440584,365,100,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpKoniczynka,PM10,24g,26.270508872,1.80853155,166.77127561,27,47.7057262,47.7057262,166.77127561,365,100,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpNaklSkargi,PM10,24g,39.978128896,5.95086904,216.30742434,87,75.29302495,75.66728166,216.30742434,348,95.34,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,PM10,24g,16.033783863,2.87966725,119.06122219,12,27.91268124,28.96567535,119.06122219,318,87.12,0.76
2017,lubelskie,PL0601,Aglomeracja Lubelska,LbLubObywate,PM10,1g,32.530573761,1,496,47,56.2875,56.2875,167.779166667,8697,99.28,1
2017,lubelskie,PL0601,Aglomeracja Lubelska,LbLubSliwins,PM10,24g,26.958630137,5.2,160.1,30,46.6,46.6,160.1,365,100,1.01
2017,lubelskie,PL0602,strefa lubelska,LbBiaPodOrze,PM10,24g,31.322375691,6.5,153,45,55,55,153,362,99.17,1.02
2017,lubelskie,PL0602,strefa lubelska,LbChelJagiel,PM10,24g,32.424109589,7.6,202.6,46,57.9,57.9,202.6,365,100,1.01
2017,lubelskie,PL0602,strefa lubelska,LbKrasKoszar,PM10,24g,30.48739726,6.2,189.1,49,56,56,189.1,365,100,1.01
2017,lubelskie,PL0602,strefa lubelska,LbPulaKarpin,PM10,24g,26.535277778,4.7,160.2,26,46.2,46.2,160.2,360,98.63,0.98
2017,lubelskie,PL0602,strefa lubelska,LbRadzPodSit,PM10,24g,31.695555556,6,153.9,53,55.1,55.1,153.9,360,98.63,0.98
2017,lubelskie,PL0602,strefa lubelska,LbZamoHrubie,PM10,1g,31.347646103,0.0121,560.232,36,50.823141667,51.890225,155.978217391,8095,92.4,0.87
2017,lubelskie,PL0602,strefa lubelska,LbZamoHrubie,PM10,24g,30.582191781,6.1,156.2,40,52.1,52.1,156.2,365,100,1.01
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,PM10,1g,25.028021591,0.10899,316.942,32,46.323091667,47.3350125,165.740291667,8626,98.47,0.99
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,PM10,24g,28.067346939,5.4,183.7,39,52.5,54.4,183.7,343,93.97,1.14
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzPilsud,PM10,24g,24.821590909,6.5,162.6,31,47.1,47.7,162.6,352,96.43,0.93
2017,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,PM10,1g,22.596730762,0.42669,163.597,23,40.357254167,40.630666667,106.50485,8505,97.08,1.02
2017,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,PM10,24g,24.229050279,5.3,104,29,45.3,45.8,104,358,98.08,0.97
2017,lubuskie,PL0803,strefa lubuska,LuSulecDudka,PM10,1g,25.642837532,0.05568,298.12,28,47.143175,48.185291667,101.622083333,8467,96.65,1.03
2017,lubuskie,PL0803,strefa lubuska,LuSulecDudka,PM10,24g,26.777477477,6.3,106,29,48,48.8,106,333,91.23,0.84
2017,lubuskie,PL0803,strefa lubuska,LuWsKaziWiel,PM10,1g,29.759894274,0.46528,406.124,50,58.379541667,58.505129167,229.518320833,8639,98.61,1.02
2017,lubuskie,PL0803,strefa lubuska,LuWsKaziWiel,PM10,24g,30.906406685,7.1,230.6,49,59.6,61.2,230.6,359,98.35,1.02
2017,lubuskie,PL0803,strefa lubuska,LuZarySzyman,PM10,1g,26.995965496,0.34991,410.36,36,51.5993625,51.5993625,158.240441667,8675,99.02,1
2017,lubuskie,PL0803,strefa lubuska,LuZarySzyman,PM10,24g,25.999726027,6.3,131.8,30,47.8,47.8,131.8,365,100,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzCzerni,PM10,1g,29.091784273,1,375,23,43.75,44.666666667,234.833333333,8177,93.34,1.13
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzGdansk,PM10,1g,37.050617886,0.4,406.7,59,62.6075,62.6075,267.045454545,8610,98.28,1.03
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzJanPaw,PM10,1g,36.401086102,3.083,583.083,59,61.458,62.541333333,252.583,8548,97.57,0.99
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzKilins,PM10,1g,42.061204351,11,340.27,63,68.517083333,73.800416667,271.375833333,7722,88.15,1.24
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzLegion,PM10,24g,40.968991282,9.81818182,246,83,68,68,246,365,100,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzRudzka,PM10,24g,39.596478521,7.54545455,399,67,66,66,399,364,99.72,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdPabiKilins,PM10,24g,36.36977887,7.18181818,220,54,62,65,220,333,91.23,1.13
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdPabiKonsta,PM10,1g,39.252234947,1.561,679.84,63,66.106454545,66.394333333,299.32,8636,98.58,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdZgieMielcz,PM10,1g,27.831847891,1,313,33,49,49.75,164.916666667,8415,96.06,1.02
2017,łódzkie,PL1002,strefa łódzka,LdBelchatEdward,PM10,24g,29.396247018,5,213,35,49,51,213,343,93.97,0.99
2017,łódzkie,PL1002,strefa łódzka,LdBrzeReform,PM10,24g,40.788983051,7.90909091,228,79,72,72.63636364,228,354,96.98,0.96
2017,łódzkie,PL1002,strefa łódzka,LdGajewUjWod,PM10,1g,29.038917893,1,252,30,47.5,47.5,184.375,8428,96.21,0.97
2017,łódzkie,PL1002,strefa łódzka,LdKutnKosciu,PM10,24g,33.238517405,5.63636364,201,48,56.36363636,56.36363636,201,363,99.45,1.01
2017,łódzkie,PL1002,strefa łódzka,LdLowiczSien,PM10,24g,37.704045954,8.09090909,229,67,71,71,229,364,99.72,1
2017,łódzkie,PL1002,strefa łódzka,LdOpocCurieSk,PM10,24g,37.077620397,7.63636364,241,56,64.18181818,68,241,353,96.71,1.04
2017,łódzkie,PL1002,strefa łódzka,LdPioTrKraPr,PM10,1g,38.394149184,3.264,599.04,59,59.475,60.046608696,295.47375,8513,97.18,1.05
2017,łódzkie,PL1002,strefa łódzka,LdPioTrKraPr,PM10,24g,39.893981365,8.54545455,325,72,67.18181818,67.18181818,325,361,98.9,1.02
2017,łódzkie,PL1002,strefa łódzka,LdRadomsRoln,PM10,1g,44.617752009,2.046,941.38,72,73.462666667,81.07,406.40875,7839,89.48,1.17
2017,łódzkie,PL1002,strefa łódzka,LdRadomsRoln,PM10,24g,45.299487456,10.7,394,79,81,82.90909091,394,337,92.32,0.91
2017,łódzkie,PL1002,strefa łódzka,LdRawaNiepod,PM10,24g,33.627423405,5.63636364,180,53,61,61,180,362,99.17,1.01
2017,łódzkie,PL1002,strefa łódzka,LdSieraPolna,PM10,24g,34.297902098,6.54545455,267,55,58.81818182,58.81818182,267,364,99.72,1
2017,łódzkie,PL1002,strefa łódzka,LdSkierKonop,PM10,24g,38.212897571,9,234,62,71,71,234,363,99.45,0.99
2017,łódzkie,PL1002,strefa łódzka,LdToMaSwAnto,PM10,24g,38.948760331,8.27272727,298,63,75,75,298,363,99.45,0.99
2017,łódzkie,PL1002,strefa łódzka,LdUniejTermy,PM10,24g,27.095467954,3,190,27,43.18181818,45,190,339,92.87,0.99
2017,łódzkie,PL1002,strefa łódzka,LdWieluPOW12,PM10,24g,33.104011738,7.1,199,55,62,62,199,364,99.72,1.01
2017,łódzkie,PL1002,strefa łódzka,LdZduWoKrole,PM10,24g,44.968627451,10.27272727,294,90,83,83,294,357,97.8,0.98
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakAlKras,PM10,1g,55.246393521,2.88502,403.999,130,104.204979167,104.204979167,327.223625,8739,99.76,1
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBujaka,PM10,1g,43.346061392,3,480.523,75,80.02365,88.927533333,337.985875,8260,94.29,0.99
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBujaka,PM10,24g,42.081719198,5.4,346.9,72,81.53,81.57,346.9,349,95.61,1.04
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBulwar,PM10,1g,42.102298206,3,382.054,86,83.656929167,83.656929167,303.421041667,8680,99.08,1.01
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBulwar,PM10,24g,43.610788732,6.5,318.7,85,84.57,85.15,318.7,355,97.26,1.01
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakDietla,PM10,1g,48.575877268,3,453.87,103,83.694483333,83.694483333,328.66875,8683,99.12,1
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakOsPias,PM10,1g,38.151108648,3,388.971,66,73.56525,74.292804167,319.016541667,8620,98.4,1
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakOsPias,PM10,24g,38.145180055,5.3,325.2,69,72.55,72.55,325.2,361,98.9,1.02
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakTelime,PM10,1g,40.718262285,3,408.664,72,79.797041667,79.797041667,338.360125,8688,99.17,1
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakTelime,PM10,24g,41.306648045,6.76,350.9,76,81.3,81.53,350.9,358,98.08,0.99
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakWadow,PM10,1g,39.734058611,3,404.108,71,72.984691667,77.006920833,303.522666667,8406,95.95,1
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakWadow,PM10,24g,30.599038462,6.96,167.4,42,54.68,58.6,167.4,312,85.47,1.38
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakZloRog,PM10,1g,43.904993899,3,372.226,87,87.184279167,87.389,299.273666667,8584,97.99,1.02
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakZloRog,PM10,24g,44.988646409,9.11,329.1,89,85.28,85.28,329.1,362,99.17,1.02
2017,małopolskie,PL1202,miasto Tarnów,MpTarBitStud,PM10,1g,30.971200889,3,430.071,52,66.360866667,66.920225,195.194666667,8650,98.74,1
2017,małopolskie,PL1202,miasto Tarnów,MpTarBitStud,PM10,24g,31.794044321,6.74,207.18,53,66.19,66.19,207.18,361,98.9,1.03
2017,małopolskie,PL1202,miasto Tarnów,MpTarRoSitko,PM10,1g,37.678275055,3,441.378,74,76.190383333,76.190383333,240.449833333,8757,99.96,1.01
2017,małopolskie,PL1203,strefa małopolska,MpBochKonfed,PM10,24g,37.920193906,5.48,309.6,65,77.7,77.7,309.6,361,98.9,1.01
2017,małopolskie,PL1203,strefa małopolska,MpBrzeszKosc,PM10,24g,64.330325444,7.7,444.44,130,129.45,136.72,444.44,338,92.6,1.11
2017,małopolskie,PL1203,strefa małopolska,MpGorlKrasin,PM10,24g,27.267205479,5.05,147.6,47,56.67,56.67,147.6,365,100,1.01
2017,małopolskie,PL1203,strefa małopolska,MpMuszynKity,PM10,24g,29.389505814,5.03,235.7,45,61.8,64.52,235.7,344,94.24,1.08
2017,małopolskie,PL1203,strefa małopolska,MpNiepo3Maja,PM10,24g,38.459728097,5,307,71,80.7,81.18,307,331,90.68,0.83
2017,małopolskie,PL1203,strefa małopolska,MpNoSaczNadb,PM10,1g,41.835262878,3,430.315,89,99.297354167,99.297354167,195.978375,8742,99.79,1.01
2017,małopolskie,PL1203,strefa małopolska,MpNoSaczNadb,PM10,24g,43.054459834,5.06,198.8,91,101.8,101.8,198.8,361,98.9,1.01
2017,małopolskie,PL1203,strefa małopolska,MpNoTargPSlo,PM10,1g,48.920100864,2.95269,659.1,110,113.567775,117.142133333,336.001208333,8598,98.15,1.01
2017,małopolskie,PL1203,strefa małopolska,MpNoTargPSlo,PM10,24g,47.411091954,5,321,100,106.47,108.8,321,348,95.34,1.07
2017,małopolskie,PL1203,strefa małopolska,MpOlkuFrNull,PM10,1g,35.06007428,3,513.12,50,62.168372727,62.694654167,272.248636364,8536,97.44,0.98
2017,małopolskie,PL1203,strefa małopolska,MpRabkaOrkan,PM10,24g,34.841208791,3.4,196,66,82.2,82.2,196,364,99.72,1.01
2017,małopolskie,PL1203,strefa małopolska,MpSkawOsOgro,PM10,1g,45.438026137,3,507.255,85,88.347316667,88.347316667,314.430041667,8686,99.15,1.01
2017,małopolskie,PL1203,strefa małopolska,MpSuchaNiesz,PM10,24g,25.021942446,7.49,89.87,9,26.41,46.36,89.87,139,38.08,3.21
2017,małopolskie,PL1203,strefa małopolska,MpTrzebOsZWM,PM10,1g,36.250596162,2.80619,396.545,56,67.839020833,67.839020833,218.108625,8674,99.01,1
2017,małopolskie,PL1203,strefa małopolska,MpTrzebOsZWM,PM10,24g,36.232782369,7.45,225.7,58,67.98,67.98,225.7,363,99.45,0.99
2017,małopolskie,PL1203,strefa małopolska,MpTuchChopin,PM10,24g,42.489201102,6.38,289.4,82,100.7,100.7,289.4,363,99.45,1.02
2017,małopolskie,PL1203,strefa małopolska,MpZakopaSien,PM10,1g,30.511485531,2.48818,316.298,54,70.444983333,70.444983333,149.888529167,8685,99.14,0.99
2017,małopolskie,PL1203,strefa małopolska,MpZakopaSien,PM10,24g,30.174301676,3.7,145.87,55,67.76,68.8,145.87,358,98.08,1.01
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarAKrzywo,PM10,24g,31.228627451,6.35,145.34,39,54.26,54.79,145.34,357,97.8,0.96
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarAlNiepo,PM10,1g,42.050619722,3.47221689,383.96226473,87,73.065441506,73.065441506,168.020872009,8698,99.29,1.02
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarAlNiepo,PM10,24g,41.83760479,6.89,178.53,79,69.48,70.4,178.53,334,91.5,1
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarKondrat,PM10,1g,33.572452466,0.1,267.9028432,50,62.067469867,65.609016533,157.885036533,7462,85.18,0.75
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarMarszal,PM10,1g,38.683882551,3.19881087,399.27300198,71,63.982285874,65.30556442,180.79880625,8591,98.07,1
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarTolstoj,PM10,24g,28.788176796,5.26,131.53,35,50.43,50.43,131.53,362,99.17,1.01
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarWokalna,PM10,1g,31.681303232,4.05,202.57,42,53.1675,53.309583333,127.400833333,8571,97.84,1.02
2017,mazowieckie,PL1402,miasto Płock,MzPlocKroJad,PM10,24g,28.927837079,7.08,156.03,26,47.35,47.35,156.03,356,97.53,1.05
2017,mazowieckie,PL1402,miasto Płock,MzPlocMiReja,PM10,1g,31.539640255,3.69,215.21,36,50.810833333,50.810833333,138.832916667,8722,99.56,1.01
2017,mazowieckie,PL1403,miasto Radom,MzRad25Czerw,PM10,24g,32.853960674,6.17,200.3,46,58.42,58.96,200.3,356,97.53,1.06
2017,mazowieckie,PL1403,miasto Radom,MzRadTochter,PM10,1g,32.414897984,4.04263968,304.7,47,55.349696166,57.102847777,150.547406567,8487,96.88,0.96
2017,mazowieckie,PL1404,strefa mazowiecka,MzGutyDuCzer,PM10,24g,19.025380282,2.36,120.74,14,33.9,34.09,120.74,355,97.26,1.03
2017,mazowieckie,PL1404,strefa mazowiecka,MzKonJezMos,PM10,1g,26.50253605,0.06192474,245.23410262,28,45.496217789,47.947115735,131.347671609,8079,92.22,1.04
2017,mazowieckie,PL1404,strefa mazowiecka,MzKonJezMos,PM10,24g,27.430157729,3.81,149.61,31,46.24,52.95,149.61,317,86.84,0.9
2017,mazowieckie,PL1404,strefa mazowiecka,MzLegZegrzyn,PM10,24g,32.295444126,4.9,246.03,42,55.52,56.25,246.03,349,95.61,0.92
2017,mazowieckie,PL1404,strefa mazowiecka,MzMlawOrdona,PM10,24g,31.727637363,5.99,267.43,48,59.33,59.33,267.43,364,99.72,1
2017,mazowieckie,PL1404,strefa mazowiecka,MzOstroHalle,PM10,24g,26.01709589,2.29,171.26,29,45.18,45.18,171.26,365,100,1.01
2017,mazowieckie,PL1404,strefa mazowiecka,MzOtwoBrzozo,PM10,1g,29.12847729,0.99795781,396.22897263,37,50.839234891,52.161013683,181.286669328,8490,96.91,0.98
2017,mazowieckie,PL1404,strefa mazowiecka,MzOtwoBrzozo,PM10,24g,29.977527473,4.53,290.05,45,55.85,55.85,290.05,364,99.72,1.01
2017,mazowieckie,PL1404,strefa mazowiecka,MzPiasPulask,PM10,24g,32.363833333,7.27,176.98,42,55.07,55.07,176.98,360,98.63,0.98
2017,mazowieckie,PL1404,strefa mazowiecka,MzSiedKonars,PM10,1g,29.038453137,4.00570517,360.27719465,36,50.925362294,50.991899671,151.443768105,8524,97.3,1.05
2017,mazowieckie,PL1404,strefa mazowiecka,MzSiedKonars,PM10,24g,29.201633238,4.72,136.61,34,50.25,50.44,136.61,349,95.61,1.04
2017,mazowieckie,PL1404,strefa mazowiecka,MzZyraRoosev,PM10,1g,35.138647329,3.42,387.27952317,51,57.648333333,59.33223955,176.583333333,8489,96.9,1.03
2017,opolskie,PL1601,miasto Opole,OpOpoleKoszy,PM10,1g,32.424299193,0.71989,438.068,53,62.726616667,62.726616667,267.799833333,8678,99.06,1.01
2017,opolskie,PL1601,miasto Opole,OpOpoleOsAKr,PM10,24g,33.137829912,5,289,48,61,64,289,341,93.42,0.98
2017,opolskie,PL1602,strefa opolska,OpGlubRatusz,PM10,24g,35.361263736,2.5,177,63,73,73,177,364,99.72,1.01
2017,opolskie,PL1602,strefa opolska,OpKKozBSmial,PM10,1g,34.784143571,0.88314,494.529,63,66.840966667,66.840966667,301.054125,8721,99.55,1.01
2017,opolskie,PL1602,strefa opolska,OpKKozBSmial,PM10,24g,32.811594203,6,264,50,61,63,264,345,94.52,1.13
2017,opolskie,PL1602,strefa opolska,OpKluczMicki,PM10,24g,30.122093023,7,191,43,53,56,191,344,94.24,1.14
2017,opolskie,PL1602,strefa opolska,OpNysaRodzie,PM10,24g,27.172566372,2.5,150,41,54,54,150,339,92.87,1.17
2017,opolskie,PL1602,strefa opolska,OpOlesSlowac,PM10,1g,33.896414786,0.2,409.271,60,72.175216667,73.104925,233.772683333,8598,98.15,1.01
2017,opolskie,PL1602,strefa opolska,OpZdziePiast,PM10,1g,39.277369087,0.52402,526.711,82,74.289591667,74.289591667,301.28775,8714,99.47,1
2017,opolskie,PL1602,strefa opolska,OpZdziePiast,PM10,24g,39.261772853,2.5,291,80,74,74,291,361,98.9,1.03
2017,podkarpackie,PL1801,miasto Rzeszów,PkRzeszRejta,PM10,1g,30.377238907,0.9993,408.278,48,55.8361375,55.8361375,215.842391667,8649,98.73,0.99
2017,podkarpackie,PL1801,miasto Rzeszów,PkRzeszRejta,PM10,24g,30.280302198,5.17,212,47,59.8,59.8,212,364,99.72,1
2017,podkarpackie,PL1802,strefa podkarpacka,PkDebiGrottg,PM10,24g,38.107444444,7.19,253,68,73.3,73.3,253,360,98.63,1
2017,podkarpackie,PL1802,strefa podkarpacka,PkIwonZdrRab,PM10,24g,22.697927171,4.42,108,21,40,40,108,357,97.8,1.01
2017,podkarpackie,PL1802,strefa podkarpacka,PkJarosPruch,PM10,24g,38.939481268,6.68,284,72,67.5,67.8,284,347,95.06,0.97
2017,podkarpackie,PL1802,strefa podkarpacka,PkJasloSikor,PM10,1g,29.463803272,0.61404,469.549,46,60.578804348,60.578804348,207.8594,8602,98.19,1
2017,podkarpackie,PL1802,strefa podkarpacka,PkJasloSikor,PM10,24g,28.208444444,5.35,146,45,61,61,146,360,98.63,1.02
